! Start: 10°
! Ende: 120°
! Schritt: 0,01°
! Messzeit: 5s
#2Theta  I (pcs)
10.0000   114
10.0100   119
10.0200   111
10.0300   108
10.0400   110
10.0500   121
10.0600   103
10.0700   119
10.0800   114
10.0900   118
10.1000   113
10.1100   112
10.1200   85
10.1300   102
10.1400   122
10.1500   124
10.1600   121
10.1700   94
10.1800   102
10.1900   105
10.2000   132
10.2100   128
10.2200   91
10.2300   112
10.2400   87
10.2500   106
10.2600   111
10.2700   110
10.2800   103
10.2900   108
10.3000   107
10.3100   106
10.3200   102
10.3300   122
10.3400   121
10.3500   97
10.3600   119
10.3700   93
10.3800   101
10.3900   108
10.4000   106
10.4100   86
10.4200   89
10.4300   98
10.4400   111
10.4500   109
10.4600   113
10.4700   111
10.4800   97
10.4900   109
10.5000   117
10.5100   88
10.5200   103
10.5300   120
10.5400   108
10.5500   115
10.5600   109
10.5700   82
10.5800   95
10.5900   96
10.6000   101
10.6100   113
10.6200   83
10.6300   115
10.6400   114
10.6500   100
10.6600   103
10.6700   82
10.6800   106
10.6900   86
10.7000   104
10.7100   102
10.7200   105
10.7300   94
10.7400   100
10.7500   120
10.7600   109
10.7700   120
10.7800   90
10.7900   91
10.8000   90
10.8100   98
10.8200   116
10.8300   96
10.8400   104
10.8500   109
10.8600   76
10.8700   96
10.8800   98
10.8900   100
10.9000   102
10.9100   106
10.9200   123
10.9300   99
10.9400   93
10.9500   99
10.9600   101
10.9700   97
10.9800   102
10.9900   108
11.0000   105
11.0100   106
11.0200   103
11.0300   93
11.0400   98
11.0500   92
11.0600   92
11.0700   109
11.0800   100
11.0900   90
11.1000   100
11.1100   103
11.1200   79
11.1300   97
11.1400   88
11.1500   87
11.1600   86
11.1700   93
11.1800   85
11.1900   93
11.2000   89
11.2100   89
11.2200   95
11.2300   94
11.2400   93
11.2500   89
11.2600   90
11.2700   104
11.2800   98
11.2900   106
11.3000   107
11.3100   90
11.3200   128
11.3300   103
11.3400   105
11.3500   90
11.3600   88
11.3700   100
11.3800   108
11.3900   87
11.4000   117
11.4100   107
11.4200   97
11.4300   91
11.4400   100
11.4500   83
11.4600   101
11.4700   81
11.4800   91
11.4900   87
11.5000   91
11.5100   103
11.5200   84
11.5300   103
11.5400   86
11.5500   80
11.5600   95
11.5700   92
11.5800   93
11.5900   99
11.6000   81
11.6100   103
11.6200   101
11.6300   77
11.6400   75
11.6500   110
11.6600   92
11.6700   89
11.6800   97
11.6900   103
11.7000   105
