! Start: 45,5°
! Ende: 47,75°
! Schritt: 0,02°
! Messzeit: 8s
#2Theta  I (pcs)
45.5000   54
45.5200   76
45.5400   74
45.5600   75
45.5800   66
45.6000   77
45.6200   80
45.6400   71
45.6600   82
45.6800   74
45.7000   81
45.7200   91
45.7400   80
45.7600   84
45.7800   96
45.8000   80
45.8200   78
45.8400   79
45.8600   79
45.8800   102
45.9000   89
45.9200   79
45.9400   86
45.9600   119
45.9800   104
46.0000   100
46.0200   117
46.0400   79
46.0600   102
46.0800   124
46.1000   112
46.1200   126
46.1400   88
46.1600   124
46.1800   124
46.2000   117
46.2200   140
46.2400   164
46.2600   138
46.2800   134
46.3000   159
46.3200   167
46.3400   153
46.3600   151
46.3800   172
46.4000   198
46.4200   192
46.4400   204
46.4600   240
46.4800   255
46.5000   246
46.5200   263
46.5400   262
46.5600   297
46.5800   322
46.6000   365
46.6200   382
46.6400   394
46.6600   391
46.6800   366
46.7000   368
46.7200   349
46.7400   362
46.7600   321
46.7800   328
46.8000   271
46.8200   284
46.8400   289
46.8600   236
46.8800   246
46.9000   218
46.9200   216
46.9400   186
46.9600   186
46.9800   183
47.0000   192
47.0200   176
47.0400   167
47.0600   150
47.0800   160
47.1000   158
47.1200   155
47.1400   140
47.1600   140
47.1800   141
47.2000   137
47.2200   124
47.2400   120
47.2600   117
47.2800   127
47.3000   123
47.3200   132
47.3400   105
47.3600   114
47.3800   131
47.4000   129
47.4200   113
47.4400   106
47.4600   100
47.4800   120
47.5000   124
47.5200   137
47.5400   116
47.5600   127
47.5800   127
47.6000   97
47.6200   140
47.6400   99
47.6600   121
47.6800   119
47.7000   119
47.7200   97
47.7400   121
