! Start: 27,5°
! Ende: 29,5°
! Schritt: 0,02°
! Messzeit: 8s
#2Theta  I (pcs)
27.5000   117
27.5200   402
27.5400   431
27.5600   545
27.5800   676
27.6000   817
27.6200   976
27.6400   1263
27.6600   1536
27.6800   1907
27.7000   2690
27.7200   3502
27.7400   4702
27.7600   6239
27.7800   7888
27.8000   9147
27.8200   9314
27.8400   7698
27.8600   5871
27.8800   4954
27.9000   3813
27.9200   2431
27.9400   1429
27.9600   954
27.9800   695
28.0000   564
28.0200   521
28.0400   441
28.0600   367
28.0800   337
28.1000   293
28.1200   253
28.1400   266
28.1600   231
28.1800   231
28.2000   212
28.2200   194
28.2400   198
28.2600   162
28.2800   139
28.3000   140
28.3200   150
28.3400   127
28.3600   118
28.3800   116
28.4000   112
28.4200   101
28.4400   105
28.4600   106
28.4800   102
28.5000   92
28.5200   87
28.5400   116
28.5600   79
28.5800   91
28.6000   76
28.6200   88
28.6400   75
28.6600   75
28.6800   81
28.7000   76
28.7200   64
28.7400   66
28.7600   79
28.7800   69
28.8000   89
28.8200   67
28.8400   57
28.8600   56
28.8800   55
28.9000   79
28.9200   61
28.9400   51
28.9600   53
28.9800   55
29.0000   78
29.0200   69
29.0400   61
29.0600   67
29.0800   60
29.1000   57
29.1200   66
29.1400   58
29.1600   60
29.1800   49
29.2000   59
29.2200   40
29.2400   48
29.2600   52
29.2800   60
29.3000   66
29.3200   56
29.3400   46
29.3600   51
29.3800   57
29.4000   61
29.4200   61
29.4400   52
29.4600   55
29.4800   64
29.5000   40
