Position [V]	Intensität [Skt]
0,00000	4,67006
0,00880000	4,67983
0,0176000	4,68960
0,0264000	4,67006
0,0352000	4,66029
0,0440000	4,68960
0,0528000	4,66029
0,0616000	4,62121
0,0704000	4,60167
0,0792000	4,58213
0,0880000	4,56259
0,0968000	4,56259
0,105600	4,54305
0,114400	4,55282
0,123200	4,56259
0,132000	4,57236
0,140800	4,59190
0,149600	4,60167
0,158400	4,59190
0,167200	4,61144
0,176000	4,64075
0,184800	4,63098
0,193600	4,65052
0,202400	4,67983
0,211200	4,68960
0,220000	4,69937
0,228800	4,70914
0,237600	4,71891
0,246400	4,74822
0,255200	4,77753
0,264000	4,79707
0,272800	4,81661
0,281600	4,81661
0,290400	4,84592
0,299200	4,86546
0,308000	4,87523
0,316800	4,88500
0,325600	4,88500
0,334400	4,89477
0,343200	4,90454
0,352000	4,89477
0,360800	4,89477
0,369600	4,90454
0,378400	4,90454
0,387200	4,89477
0,396000	4,89477
0,404800	4,90454
0,413600	4,89477
0,422400	4,88500
0,431200	4,85569
0,440000	4,82638
0,448800	4,79707
0,457600	4,75799
0,466400	4,72868
0,475200	4,68960
0,484000	4,67006
0,492800	4,65052
0,501600	4,63098
0,510400	4,61144
0,519200	4,59190
0,528000	4,55282
0,536800	4,52351
0,545600	4,50397
0,554400	4,49420
0,563200	4,47466
0,572000	4,45512
0,580800	4,45512
0,589600	4,44535
0,598400	4,45512
0,607200	4,46489
0,616000	4,47466
0,624800	4,46489
0,633600	4,48443
0,642400	4,49420
0,651200	4,51374
0,660000	4,54305
0,668800	4,54305
0,677600	4,57236
0,686400	4,61144
0,695200	4,65052
0,704000	4,67983
0,712800	4,72868
0,721600	4,76776
0,730400	4,78730
0,739200	4,82638
0,748000	4,84592
0,756800	4,87523
0,765600	4,90454
0,774400	4,92408
0,783200	4,93385
0,792000	4,96316
0,800800	4,98270
0,809600	4,98270
0,818400	4,98270
0,827200	4,98270
0,836000	4,96316
0,844800	4,93385
0,853600	4,92408
0,862400	4,88500
0,871200	4,84592
0,880000	4,81661
0,888800	4,79707
0,897600	4,77753
0,906400	4,73845
0,915200	4,69937
0,924000	4,66029
0,932800	4,62121
0,941600	4,57236
0,950400	4,53328
0,959200	4,50397
0,968000	4,48443
0,976800	4,45512
0,985600	4,43558
0,994400	4,43558
1,00320	4,42581
1,01200	4,41604
1,02080	4,40627
1,02960	4,43558
1,03840	4,46489
1,04720	4,49420
1,05600	4,51374
1,06480	4,55282
1,07360	4,58213
1,08240	4,61144
1,09120	4,63098
1,10000	4,67006
1,10880	4,69937
1,11760	4,73845
1,12640	4,77753
1,13520	4,82638
1,14400	4,84592
1,15280	4,86546
1,16160	4,87523
1,17040	4,90454
1,17920	4,94362
1,18800	4,96316
1,19680	4,96316
1,20560	4,99247
1,21440	4,99247
1,22320	4,99247
1,23200	4,98270
1,24080	4,97293
1,24960	4,94362
1,25840	4,93385
1,26720	4,91431
1,27600	4,87523
1,28480	4,82638
1,29360	4,78730
1,30240	4,73845
1,31120	4,69937
1,32000	4,65052
1,32880	4,61144
1,33760	4,58213
1,34640	4,54305
1,35520	4,49420
1,36400	4,44535
1,37280	4,42581
1,38160	4,39650
1,39040	4,37696
1,39920	4,37696
1,40800	4,37696
1,41680	4,37696
1,42560	4,39650
1,43440	4,41604
1,44320	4,42581
1,45200	4,45512
1,46080	4,49420
1,46960	4,53328
1,47840	4,60167
1,48720	4,65052
1,49600	4,69937
1,50480	4,71891
1,51360	4,76776
1,52240	4,84592
1,53120	4,89477
1,54000	4,91431
1,54880	4,94362
1,55760	4,98270
1,56640	5,01201
1,57520	5,04132
1,58400	5,05109
1,59280	5,05109
1,60160	5,07063
1,61040	5,07063
1,61920	5,03155
1,62800	5,02178
1,63680	4,98270
1,64560	4,94362
1,65440	4,90454
1,66320	4,85569
1,67200	4,80684
1,68080	4,72868
1,68960	4,67983
1,69840	4,62121
1,70720	4,55282
1,71600	4,51374
1,72480	4,48443
1,73360	4,44535
1,74240	4,39650
1,75120	4,35742
1,76000	4,34765
1,76880	4,34765
1,77760	4,33788
1,78640	4,32811
1,79520	4,33788
1,80400	4,35742
1,81280	4,39650
1,82160	4,43558
1,83040	4,47466
1,83920	4,52351
1,84800	4,58213
1,85680	4,63098
1,86560	4,68960
