Position [V]	Intensität [Skt]
0,00000	3,17525
0,00880000	3,23387
0,0176000	3,31203
0,0264000	3,31203
0,0352000	3,18502
0,0440000	3,08732
0,0528000	3,02870
0,0616000	2,95054
0,0704000	2,89192
0,0792000	2,84307
0,0880000	2,75514
0,0968000	2,70629
0,105600	2,76491
0,114400	2,93100
0,123200	3,02870
0,132000	3,05801
0,140800	2,98962
0,149600	2,89192
0,158400	2,86261
0,167200	2,82353
0,176000	2,80399
0,184800	2,80399
0,193600	2,79422
0,202400	2,78445
0,211200	2,80399
0,220000	2,89192
0,228800	3,04824
0,237600	3,21433
0,246400	3,27295
0,255200	3,22410
0,264000	3,19479
0,272800	3,12640
0,281600	3,17525
0,290400	3,27295
0,299200	3,35111
0,308000	3,38042
0,316800	3,35111
0,325600	3,25341
0,334400	3,13617
0,343200	3,14594
0,352000	3,18502
0,360800	3,21433
0,369600	3,14594
0,378400	3,10686
0,387200	3,15571
0,396000	3,23387
0,404800	3,20456
0,413600	3,29249
0,422400	3,33157
0,431200	3,27295
0,440000	3,21433
0,448800	3,12640
0,457600	3,05801
0,466400	3,09709
0,475200	3,15571
0,484000	3,21433
0,492800	3,26318
0,501600	3,34134
0,510400	3,26318
0,519200	3,25341
0,528000	3,24364
0,536800	3,30226
0,545600	3,43904
0,554400	3,52697
0,563200	3,52697
0,572000	3,54651
0,580800	3,46835
0,589600	3,47812
0,598400	3,51720
0,607200	3,51720
0,616000	3,44881
0,624800	3,34134
0,633600	3,27295
0,642400	3,30226
0,651200	3,35111
0,660000	3,35111
0,668800	3,36088
0,677600	3,37065
0,686400	3,32180
0,695200	3,25341
0,704000	3,06778
0,712800	2,93100
0,721600	2,88215
0,730400	2,93100
0,739200	2,95054
0,748000	3,04824
0,756800	3,02870
0,765600	2,99939
0,774400	2,92123
0,783200	2,89192
0,792000	2,83330
0,800800	2,75514
0,809600	2,62813
0,818400	2,56951
0,827200	2,50112
0,836000	2,44250
0,844800	2,34480
0,853600	2,37411
0,862400	2,36434
0,871200	2,38388
0,880000	2,37411
0,888800	2,46204
0,897600	2,56951
0,906400	2,74537
0,915200	2,81376
0,924000	2,82353
0,932800	2,79422
0,941600	2,68675
0,950400	2,63790
0,959200	2,54997
0,968000	2,55974
0,976800	2,59882
0,985600	2,54997
0,994400	2,45227
1,00320	2,41319
1,01200	2,41319
1,02080	2,42296
1,02960	2,53043
1,03840	2,51089
1,04720	2,45227
1,05600	2,44250
1,06480	2,53043
1,07360	2,65744
1,08240	2,65744
1,09120	2,65744
1,10000	2,70629
1,10880	2,74537
1,11760	2,81376
1,12640	2,82353
1,13520	2,90169
1,14400	2,96031
1,15280	2,98962
1,16160	2,98962
1,17040	2,87238
1,17920	2,74537
1,18800	2,61836
1,19680	2,50112
1,20560	2,43273
1,21440	2,45227
1,22320	2,47181
1,23200	2,45227
1,24080	2,31549
1,24960	2,25687
1,25840	2,29595
1,26720	2,44250
1,27600	2,48158
1,28480	2,46204
1,29360	2,47181
1,30240	2,53043
1,31120	2,54020
1,32000	2,58905
1,32880	2,68675
1,33760	2,75514
1,34640	2,81376
1,35520	2,83330
1,36400	2,85284
1,37280	2,83330
1,38160	2,78445
1,39040	2,83330
1,39920	2,88215
1,40800	2,84307
1,41680	2,85284
1,42560	2,83330
1,43440	2,76491
1,44320	2,67698
1,45200	2,60859
1,46080	2,57928
1,46960	2,57928
1,47840	2,63790
1,48720	2,63790
1,49600	2,57928
1,50480	2,48158
1,51360	2,44250
1,52240	2,48158
1,53120	2,54997
1,54000	2,61836
1,54880	2,68675
1,55760	2,74537
1,56640	2,67698
1,57520	2,61836
1,58400	2,48158
1,59280	2,41319
1,60160	2,43273
1,61040	2,42296
1,61920	2,34480
1,62800	2,35457
1,63680	2,38388
1,64560	2,37411
1,65440	2,32526
1,66320	2,30572
1,67200	2,31549
1,68080	2,36434
1,68960	2,41319
1,69840	2,51089
1,70720	2,64767
1,71600	2,71606
1,72480	2,74537
1,73360	2,76491
1,74240	2,74537
1,75120	2,69652
1,76000	2,58905
1,76880	2,56951
1,77760	2,67698
1,78640	2,66721
1,79520	2,62813
1,80400	2,60859
1,81280	2,59882
1,82160	2,61836
1,83040	2,65744
1,83920	2,69652
1,84800	2,66721
1,85680	2,62813
1,86560	2,50112
1,87440	2,46204
1,88320	2,52066
1,89200	2,51089
1,90080	2,49135
1,90960	2,54997
1,91840	2,61836
1,92720	2,65744
1,93600	2,65744
1,94480	2,58905
1,95360	2,57928
1,96240	2,54020
1,97120	2,54020
1,98000	2,55974
1,98880	2,48158
1,99760	2,41319
2,00640	2,37411
2,01520	2,43273
2,02400	2,53043
2,03280	2,61836
2,04160	2,68675
2,05040	2,62813
2,05920	2,50112
2,06800	2,27641
2,07680	2,18848
2,08560	2,15917
2,09440	2,14940
2,10320	2,12009
2,11200	2,09078
2,12080	2,12009
2,12960	2,14940
2,13840	2,20802
2,14720	2,29595
2,15600	2,32526
2,16480	2,32526
2,17360	2,29595
2,18240	2,31549
2,19120	2,46204
2,20000	2,55974
2,20880	2,62813
2,21760	2,70629
2,22640	2,72583
2,23520	2,79422
2,24400	2,85284
2,25280	2,86261
2,26160	2,83330
2,27040	2,84307
2,27920	2,80399
2,28800	2,72583
2,29680	2,62813
2,30560	2,54997
2,31440	2,51089
2,32320	2,52066
2,33200	2,56951
2,34080	2,62813
2,34960	2,65744
2,35840	2,60859
2,36720	2,53043
2,37600	2,45227
2,38480	2,41319
2,39360	2,48158
2,40240	2,52066
2,41120	2,53043
2,42000	2,50112
2,42880	2,52066
2,43760	2,58905
2,44640	2,58905
2,45520	2,48158
2,46400	2,48158
2,47280	2,43273
2,48160	2,51089
2,49040	2,65744
2,49920	2,73560
2,50800	2,78445
2,51680	2,80399
2,52560	2,91146
2,53440	3,06778
2,54320	3,14594
2,55200	3,18502
2,56080	3,17525
2,56960	3,04824
2,57840	2,93100
2,58720	2,85284
2,59600	2,79422
2,60480	2,82353
2,61360	2,85284
2,62240	2,78445
2,63120	2,67698
2,64000	2,51089
2,64880	2,41319
2,65760	2,41319
2,66640	2,46204
2,67520	2,47181
2,68400	2,49135
2,69280	2,51089
2,70160	2,55974
2,71040	2,64767
2,71920	2,71606
2,72800	2,63790
2,73680	2,66721
2,74560	2,82353
2,75440	2,90169
2,76320	2,92123
2,77200	2,84307
2,78080	2,78445
2,78960	2,62813
2,79840	2,51089
2,80720	2,38388
2,81600	2,30572
2,82480	2,21779
2,83360	2,20802
2,84240	2,21779
2,85120	2,23733
2,86000	2,18848
2,86880	2,12009
2,87760	2,12986
2,88640	2,09078
2,89520	2,14940
2,90400	2,24710
2,91280	2,34480
2,92160	2,46204
2,93040	2,55974
2,93920	2,61836
2,94800	2,56951
2,95680	2,44250
2,96560	2,39365
2,97440	2,33503
2,98320	2,41319
2,99200	2,53043
3,00080	2,54997
3,00960	2,64767
3,01840	2,72583
3,02720	2,77468
3,03600	2,65744
3,04480	2,54997
3,05360	2,62813
3,06240	2,61836
3,07120	2,64767
3,08000	2,76491
3,08880	2,83330
3,09760	2,88215
3,10640	2,83330
3,11520	2,82353
3,12400	2,82353
3,13280	2,67698
3,14160	2,60859
3,15040	2,58905
3,15920	2,52066
3,16800	2,44250
3,17680	2,46204
3,18560	2,54997
3,19440	2,63790
3,20320	2,72583
3,21200	2,71606
3,22080	2,66721
3,22960	2,63790
3,23840	2,56951
3,24720	2,50112
3,25600	2,44250
3,26480	2,47181
3,27360	2,45227
3,28240	2,50112
3,29120	2,48158
3,30000	2,43273
3,30880	2,35457
3,31760	2,30572
3,32640	2,28618
3,33520	2,33503
3,34400	2,35457
3,35280	2,46204
3,36160	2,54997
3,37040	2,62813
