Position [V]	Intensität [Skt]
0,00000	5,00224
0,00880000	4,83615
0,0176000	4,82638
0,0264000	4,79707
0,0352000	4,81661
0,0440000	4,69937
0,0528000	4,52351
0,0616000	4,47466
0,0704000	4,45512
0,0792000	4,44535
0,0880000	4,43558
0,0968000	4,43558
0,105600	4,43558
0,114400	4,44535
0,123200	4,44535
0,132000	4,45512
0,140800	4,46489
0,149600	4,47466
0,158400	4,49420
0,167200	4,51374
0,176000	4,53328
0,184800	4,56259
0,193600	4,60167
0,202400	4,65052
0,211200	4,68960
0,220000	4,73845
0,228800	4,80684
0,237600	4,85569
0,246400	4,92408
0,255200	4,97293
0,264000	5,04132
0,272800	5,09017
0,281600	5,14879
0,290400	5,19764
0,299200	5,23672
0,308000	5,27580
0,316800	5,29534
0,325600	5,31488
0,334400	5,31488
0,343200	5,31488
0,352000	5,29534
0,360800	5,27580
0,369600	5,23672
0,378400	5,17810
0,387200	5,12925
0,396000	5,07063
0,404800	4,99247
0,413600	4,91431
0,422400	4,82638
0,431200	4,74822
0,440000	4,67006
0,448800	4,59190
0,457600	4,51374
0,466400	4,44535
0,475200	4,38673
0,484000	4,34765
0,492800	4,30857
0,501600	4,28903
0,510400	4,28903
0,519200	4,28903
0,528000	4,30857
0,536800	4,34765
0,545600	4,39650
0,554400	4,46489
0,563200	4,53328
0,572000	4,61144
0,580800	4,69937
0,589600	4,78730
0,598400	4,88500
0,607200	4,97293
0,616000	5,06086
0,624800	5,12925
0,633600	5,19764
0,642400	5,25626
0,651200	5,30511
0,660000	5,32465
0,668800	5,33442
0,677600	5,33442
0,686400	5,32465
0,695200	5,27580
0,704000	5,23672
0,712800	5,16833
0,721600	5,09994
0,730400	5,02178
0,739200	4,90454
0,748000	4,81661
0,756800	4,73845
0,765600	4,67006
0,774400	4,61144
0,783200	4,56259
0,792000	4,50397
0,800800	4,45512
0,809600	4,44535
0,818400	4,43558
0,827200	4,47466
0,836000	4,47466
0,844800	4,49420
0,853600	4,55282
0,862400	4,59190
0,871200	4,66029
0,880000	4,72868
0,888800	4,80684
0,897600	4,88500
0,906400	4,94362
0,915200	5,01201
0,924000	5,07063
0,932800	5,10971
0,941600	5,13902
0,950400	5,14879
0,959200	5,15856
0,968000	5,13902
0,976800	5,09994
0,985600	5,06086
0,994400	5,00224
1,00320	4,93385
1,01200	4,86546
1,02080	4,79707
1,02960	4,71891
1,03840	4,66029
1,04720	4,59190
1,05600	4,55282
1,06480	4,50397
1,07360	4,48443
1,08240	4,47466
1,09120	4,49420
1,10000	4,52351
1,10880	4,56259
1,11760	4,62121
1,12640	4,68960
1,13520	4,77753
1,14400	4,86546
1,15280	4,95339
1,16160	5,04132
1,17040	5,12925
1,17920	5,18787
1,18800	5,24649
1,19680	5,28557
1,20560	5,30511
1,21440	5,31488
1,22320	5,28557
1,23200	5,23672
1,24080	5,17810
1,24960	5,09994
1,25840	5,01201
1,26720	4,90454
1,27600	4,78730
1,28480	4,67006
1,29360	4,56259
1,30240	4,46489
1,31120	4,36719
1,32000	4,28903
1,32880	4,24018
1,33760	4,21087
1,34640	4,20110
1,35520	4,22064
1,36400	4,26949
1,37280	4,32811
1,38160	4,42581
1,39040	4,53328
1,39920	4,66029
1,40800	4,79707
1,41680	4,93385
1,42560	5,08040
1,43440	5,19764
1,44320	5,30511
1,45200	5,40281
1,46080	5,46143
1,46960	5,50051
1,47840	5,52005
1,48720	5,50051
1,49600	5,46143
1,50480	5,39304
1,51360	5,29534
1,52240	5,18787
1,53120	5,05109
1,54000	4,91431
1,54880	4,76776
1,55760	4,63098
1,56640	4,49420
1,57520	4,37696
1,58400	4,27926
1,59280	4,20110
1,60160	4,16202
1,61040	4,13271
1,61920	4,15225
1,62800	4,21087
1,63680	4,27926
1,64560	4,36719
1,65440	4,47466
1,66320	4,59190
1,67200	4,72868
1,68080	4,86546
1,68960	4,98270
1,69840	5,09994
1,70720	5,18787
1,71600	5,27580
1,72480	5,32465
1,73360	5,35396
1,74240	5,35396
1,75120	5,32465
1,76000	5,27580
1,76880	5,19764
1,77760	5,11948
1,78640	5,01201
1,79520	4,90454
1,80400	4,79707
1,81280	4,69937
1,82160	4,60167
1,83040	4,53328
1,83920	4,47466
1,84800	4,44535
1,85680	4,43558
1,86560	4,45512
1,87440	4,50397
1,88320	4,55282
1,89200	4,64075
1,90080	4,74822
1,90960	4,82638
1,91840	4,93385
1,92720	5,02178
1,93600	5,10971
1,94480	5,16833
1,95360	5,20741
1,96240	5,23672
1,97120	5,24649
1,98000	5,19764
1,98880	5,13902
1,99760	5,06086
2,00640	4,95339
2,01520	4,84592
2,02400	4,71891
2,03280	4,61144
2,04160	4,49420
2,05040	4,38673
2,05920	4,31834
2,06800	4,25972
2,07680	4,23041
2,08560	4,23041
2,09440	4,27926
2,10320	4,34765
2,11200	4,44535
2,12080	4,56259
2,12960	4,70914
2,13840	4,86546
2,14720	5,02178
2,15600	5,17810
2,16480	5,33442
2,17360	5,46143
2,18240	5,54936
2,19120	5,62752
2,20000	5,64706
2,20880	5,63729
2,21760	5,58844
2,22640	5,49074
2,23520	5,37350
2,24400	5,21718
2,25280	5,04132
2,26160	4,84592
2,27040	4,66029
2,27920	4,46489
2,28800	4,28903
2,29680	4,15225
2,30560	4,01547
2,31440	3,93731
2,32320	3,89823
2,33200	3,88846
2,34080	3,93731
2,34960	4,02524
2,35840	4,16202
2,36720	4,31834
2,37600	4,50397
2,38480	4,69937
2,39360	4,90454
2,40240	5,09994
2,41120	5,28557
2,42000	5,44189
2,42880	5,57867
2,43760	5,66660
2,44640	5,72522
2,45520	5,72522
2,46400	5,68614
2,47280	5,60798
2,48160	5,49074
2,49040	5,35396
2,49920	5,18787
2,50800	5,01201
2,51680	4,82638
2,52560	4,65052
2,53440	4,48443
2,54320	4,34765
2,55200	4,24018
2,56080	4,14248
2,56960	4,12294
2,57840	4,14248
2,58720	4,17179
2,59600	4,25972
2,60480	4,36719
2,61360	4,49420
2,62240	4,62121
2,63120	4,76776
2,64000	4,91431
2,64880	5,05109
2,65760	5,13902
2,66640	5,23672
2,67520	5,28557
2,68400	5,30511
2,69280	5,29534
2,70160	5,24649
2,71040	5,16833
2,71920	5,06086
2,72800	4,94362
2,73680	4,82638
2,74560	4,70914
2,75440	4,59190
2,76320	4,49420
2,77200	4,43558
2,78080	4,37696
2,78960	4,36719
2,79840	4,38673
2,80720	4,44535
2,81600	4,52351
2,82480	4,64075
2,83360	4,77753
2,84240	4,92408
2,85120	5,07063
2,86000	5,21718
2,86880	5,35396
2,87760	5,45166
2,88640	5,52982
2,89520	5,55913
2,90400	5,55913
2,91280	5,51028
2,92160	5,41258
2,93040	5,28557
2,93920	5,10971
2,94800	4,91431
2,95680	4,71891
