Position [V]	Intensität [Skt]
0,00000	4,08386
0,00880000	4,06432
0,0176000	4,05455
0,0264000	4,04478
0,0352000	4,05455
0,0440000	4,05455
0,0528000	4,05455
0,0616000	4,06432
0,0704000	4,06432
0,0792000	4,06432
0,0880000	4,06432
0,0968000	4,06432
0,105600	4,07409
0,114400	4,05455
0,123200	4,05455
0,132000	4,05455
0,140800	4,06432
0,149600	4,06432
0,158400	4,06432
0,167200	4,06432
0,176000	4,07409
0,184800	4,05455
0,193600	4,06432
0,202400	4,06432
0,211200	4,06432
0,220000	4,06432
0,228800	4,05455
0,237600	4,05455
0,246400	4,05455
0,255200	4,05455
0,264000	4,05455
0,272800	4,03501
0,281600	4,03501
0,290400	4,03501
0,299200	4,02524
0,308000	4,02524
0,316800	4,01547
0,325600	4,01547
0,334400	4,00570
0,343200	4,00570
0,352000	4,00570
0,360800	4,00570
0,369600	4,00570
0,378400	4,00570
0,387200	4,00570
0,396000	4,00570
0,404800	4,00570
0,413600	3,99593
0,422400	3,99593
0,431200	3,99593
0,440000	3,99593
0,448800	4,00570
0,457600	3,99593
0,466400	4,00570
0,475200	4,00570
0,484000	4,00570
0,492800	4,01547
0,501600	4,02524
0,510400	4,03501
0,519200	4,03501
0,528000	4,03501
0,536800	4,04478
0,545600	4,04478
0,554400	4,05455
0,563200	4,05455
0,572000	4,05455
0,580800	4,05455
0,589600	4,05455
0,598400	4,05455
0,607200	4,05455
0,616000	4,04478
0,624800	4,04478
0,633600	4,04478
0,642400	4,04478
0,651200	4,04478
0,660000	4,04478
0,668800	4,04478
0,677600	4,04478
0,686400	4,03501
0,695200	4,03501
0,704000	4,03501
0,712800	4,01547
0,721600	4,01547
0,730400	4,00570
0,739200	3,99593
0,748000	4,00570
0,756800	3,99593
0,765600	3,99593
0,774400	4,00570
0,783200	4,00570
0,792000	3,99593
0,800800	3,99593
0,809600	3,99593
0,818400	3,98616
0,827200	3,98616
0,836000	3,98616
0,844800	3,97639
0,853600	3,97639
0,862400	3,97639
0,871200	3,97639
0,880000	3,96662
0,888800	3,97639
0,897600	3,97639
0,906400	3,97639
0,915200	3,98616
0,924000	3,98616
0,932800	3,97639
0,941600	3,98616
0,950400	3,98616
0,959200	3,98616
0,968000	3,97639
0,976800	3,97639
0,985600	3,98616
0,994400	3,98616
1,00320	3,99593
1,01200	4,00570
1,02080	4,01547
1,02960	4,02524
1,03840	4,02524
1,04720	4,03501
1,05600	4,03501
1,06480	4,02524
1,07360	4,02524
1,08240	4,01547
1,09120	4,02524
1,10000	4,02524
1,10880	4,02524
1,11760	4,01547
1,12640	4,02524
1,13520	4,02524
1,14400	4,02524
1,15280	4,01547
1,16160	4,01547
1,17040	4,01547
1,17920	4,00570
1,18800	3,99593
1,19680	4,00570
1,20560	3,99593
1,21440	3,99593
1,22320	3,98616
1,23200	3,97639
1,24080	3,98616
1,24960	3,97639
1,25840	3,97639
1,26720	3,97639
1,27600	3,97639
1,28480	3,96662
1,29360	3,95685
1,30240	3,95685
1,31120	3,95685
1,32000	3,96662
1,32880	3,96662
1,33760	3,97639
1,34640	3,97639
1,35520	3,97639
1,36400	3,98616
1,37280	3,99593
1,38160	3,99593
1,39040	3,99593
1,39920	4,01547
1,40800	4,02524
1,41680	4,03501
1,42560	4,03501
1,43440	4,04478
1,44320	4,04478
1,45200	4,05455
1,46080	4,06432
1,46960	4,06432
1,47840	4,07409
1,48720	4,07409
1,49600	4,07409
1,50480	4,07409
1,51360	4,07409
1,52240	4,07409
1,53120	4,07409
1,54000	4,08386
1,54880	4,07409
1,55760	4,06432
1,56640	4,06432
1,57520	4,05455
1,58400	4,04478
1,59280	4,03501
1,60160	4,02524
1,61040	4,01547
1,61920	4,01547
1,62800	3,99593
1,63680	3,98616
1,64560	3,97639
1,65440	3,96662
1,66320	3,95685
1,67200	3,94708
1,68080	3,93731
1,68960	3,93731
1,69840	3,92754
1,70720	3,92754
1,71600	3,91777
1,72480	3,92754
1,73360	3,92754
1,74240	3,93731
1,75120	3,93731
1,76000	3,94708
1,76880	3,94708
1,77760	3,95685
1,78640	3,96662
1,79520	3,97639
1,80400	3,99593
1,81280	4,00570
1,82160	4,02524
1,83040	4,04478
1,83920	4,05455
1,84800	4,07409
1,85680	4,08386
1,86560	4,09363
1,87440	4,10340
1,88320	4,11317
1,89200	4,12294
1,90080	4,13271
1,90960	4,14248
1,91840	4,14248
1,92720	4,14248
1,93600	4,14248
1,94480	4,13271
1,95360	4,13271
1,96240	4,11317
1,97120	4,10340
1,98000	4,08386
1,98880	4,07409
1,99760	4,05455
2,00640	4,03501
2,01520	4,00570
2,02400	3,97639
2,03280	3,95685
2,04160	3,93731
