Position [V]	Intensität [Skt]
0,00000	3,91777
0,00880000	3,63444
0,0176000	3,47812
0,0264000	3,40973
0,0352000	3,38042
0,0440000	3,38042
0,0528000	3,36088
0,0616000	3,36088
0,0704000	3,36088
0,0792000	3,36088
0,0880000	3,36088
0,0968000	3,36088
0,105600	3,36088
0,114400	3,36088
0,123200	3,36088
0,132000	3,36088
0,140800	3,36088
0,149600	3,36088
0,158400	3,37065
0,167200	3,36088
0,176000	3,36088
0,184800	3,36088
0,193600	3,36088
0,202400	3,36088
0,211200	3,35111
0,220000	3,35111
0,228800	3,35111
0,237600	3,36088
0,246400	3,35111
0,255200	3,35111
0,264000	3,36088
0,272800	3,36088
0,281600	3,36088
0,290400	3,37065
0,299200	3,36088
0,308000	3,36088
0,316800	3,37065
0,325600	3,37065
0,334400	3,37065
0,343200	3,37065
0,352000	3,38042
0,360800	3,38042
0,369600	3,38042
0,378400	3,38042
0,387200	3,38042
0,396000	3,38042
0,404800	3,38042
0,413600	3,38042
0,422400	3,38042
0,431200	3,36088
0,440000	3,36088
0,448800	3,36088
0,457600	3,36088
0,466400	3,36088
0,475200	3,35111
0,484000	3,36088
0,492800	3,37065
0,501600	3,37065
0,510400	3,38042
0,519200	3,38042
0,528000	3,38042
0,536800	3,37065
0,545600	3,37065
0,554400	3,37065
0,563200	3,37065
0,572000	3,36088
0,580800	3,36088
0,589600	3,37065
0,598400	3,37065
0,607200	3,36088
0,616000	3,36088
0,624800	3,37065
0,633600	3,36088
0,642400	3,37065
0,651200	3,36088
0,660000	3,36088
0,668800	3,36088
0,677600	3,36088
0,686400	3,36088
0,695200	3,36088
0,704000	3,36088
0,712800	3,37065
0,721600	3,36088
0,730400	3,37065
0,739200	3,37065
0,748000	3,37065
0,756800	3,37065
0,765600	3,37065
0,774400	3,36088
0,783200	3,36088
0,792000	3,37065
0,800800	3,37065
0,809600	3,37065
0,818400	3,38042
0,827200	3,38042
0,836000	3,37065
0,844800	3,37065
0,853600	3,37065
0,862400	3,37065
0,871200	3,37065
0,880000	3,38042
0,888800	3,37065
0,897600	3,38042
0,906400	3,38042
0,915200	3,38042
0,924000	3,38042
0,932800	3,38042
0,941600	3,38042
0,950400	3,38042
0,959200	3,38042
0,968000	3,37065
0,976800	3,37065
0,985600	3,37065
0,994400	3,37065
1,00320	3,37065
1,01200	3,36088
1,02080	3,36088
1,02960	3,36088
1,03840	3,36088
1,04720	3,36088
1,05600	3,36088
1,06480	3,36088
1,07360	3,36088
1,08240	3,36088
1,09120	3,35111
1,10000	3,36088
1,10880	3,35111
1,11760	3,35111
1,12640	3,36088
1,13520	3,35111
1,14400	3,35111
1,15280	3,36088
1,16160	3,36088
1,17040	3,36088
1,17920	3,36088
1,18800	3,36088
1,19680	3,36088
1,20560	3,36088
1,21440	3,36088
1,22320	3,36088
1,23200	3,37065
1,24080	3,37065
1,24960	3,37065
1,25840	3,37065
1,26720	3,37065
1,27600	3,38042
1,28480	3,38042
1,29360	3,37065
1,30240	3,38042
1,31120	3,38042
1,32000	3,37065
1,32880	3,38042
1,33760	3,38042
1,34640	3,38042
1,35520	3,37065
1,36400	3,37065
1,37280	3,37065
1,38160	3,37065
1,39040	3,37065
1,39920	3,37065
1,40800	3,37065
1,41680	3,37065
1,42560	3,37065
1,43440	3,36088
1,44320	3,36088
1,45200	3,35111
1,46080	3,33157
1,46960	3,34134
1,47840	3,35111
1,48720	3,35111
1,49600	3,34134
