Position [V]	Intensität [Skt]
0,00000	0,810910
0,00880000	0,889070
0,0176000	0,986770
0,0264000	1,09424
0,0352000	1,18217
0,0440000	1,25056
0,0528000	1,30918
0,0616000	1,35803
0,0704000	1,39711
0,0792000	1,41665
0,0880000	1,43619
0,0968000	1,44596
0,105600	1,46550
0,114400	1,46550
0,123200	1,47527
0,132000	1,47527
0,140800	1,47527
0,149600	1,49481
0,158400	1,47527
0,167200	1,48504
0,176000	1,48504
0,184800	1,47527
0,193600	1,48504
0,202400	1,47527
0,211200	1,48504
0,220000	1,48504
0,228800	1,48504
0,237600	1,48504
0,246400	1,48504
0,255200	1,48504
0,264000	1,48504
0,272800	1,48504
0,281600	1,47527
0,290400	1,48504
0,299200	1,48504
0,308000	1,49481
0,316800	1,49481
0,325600	1,50458
0,334400	1,51435
0,343200	1,51435
0,352000	1,51435
0,360800	1,52412
0,369600	1,52412
0,378400	1,52412
0,387200	1,53389
0,396000	1,52412
0,404800	1,53389
0,413600	1,53389
0,422400	1,53389
0,431200	1,53389
0,440000	1,53389
0,448800	1,54366
0,457600	1,54366
0,466400	1,54366
0,475200	1,52412
0,484000	1,52412
0,492800	1,52412
0,501600	1,52412
0,510400	1,52412
0,519200	1,51435
0,528000	1,51435
0,536800	1,51435
0,545600	1,51435
0,554400	1,51435
0,563200	1,50458
0,572000	1,51435
0,580800	1,51435
0,589600	1,50458
0,598400	1,50458
0,607200	1,51435
0,616000	1,51435
0,624800	1,51435
0,633600	1,51435
0,642400	1,51435
0,651200	1,51435
0,660000	1,50458
0,668800	1,51435
0,677600	1,51435
0,686400	1,51435
0,695200	1,50458
0,704000	1,51435
0,712800	1,50458
0,721600	1,51435
0,730400	1,51435
0,739200	1,50458
0,748000	1,51435
0,756800	1,50458
0,765600	1,51435
0,774400	1,51435
0,783200	1,51435
0,792000	1,51435
0,800800	1,51435
0,809600	1,51435
0,818400	1,51435
0,827200	1,51435
0,836000	1,51435
0,844800	1,51435
0,853600	1,51435
0,862400	1,51435
0,871200	1,51435
0,880000	1,51435
0,888800	1,51435
0,897600	1,51435
0,906400	1,51435
0,915200	1,51435
0,924000	1,50458
0,932800	1,51435
0,941600	1,51435
0,950400	1,51435
0,959200	1,51435
0,968000	1,50458
0,976800	1,51435
0,985600	1,50458
0,994400	1,50458
