Position [V]	Intensität [Skt]
0,00000	3,59536
0,00880000	3,60513
0,0176000	3,59536
0,0264000	3,60513
0,0352000	3,60513
0,0440000	3,61490
0,0528000	3,61490
0,0616000	3,60513
0,0704000	3,61490
0,0792000	3,61490
0,0880000	3,61490
0,0968000	3,61490
0,105600	3,61490
0,114400	3,61490
0,123200	3,61490
0,132000	3,61490
0,140800	3,61490
0,149600	3,61490
0,158400	3,61490
0,167200	3,61490
0,176000	3,61490
0,184800	3,61490
0,193600	3,61490
0,202400	3,61490
0,211200	3,61490
0,220000	3,61490
0,228800	3,60513
0,237600	3,60513
0,246400	3,60513
0,255200	3,60513
0,264000	3,59536
0,272800	3,60513
0,281600	3,59536
0,290400	3,59536
0,299200	3,60513
0,308000	3,60513
0,316800	3,60513
0,325600	3,61490
0,334400	3,60513
0,343200	3,60513
0,352000	3,60513
0,360800	3,58559
0,369600	3,58559
0,378400	3,58559
0,387200	3,58559
0,396000	3,57582
0,404800	3,57582
0,413600	3,58559
0,422400	3,57582
0,431200	3,57582
0,440000	3,57582
0,448800	3,58559
0,457600	3,58559
0,466400	3,58559
0,475200	3,58559
0,484000	3,58559
0,492800	3,59536
0,501600	3,57582
0,510400	3,57582
0,519200	3,57582
0,528000	3,56605
0,536800	3,56605
0,545600	3,57582
0,554400	3,56605
0,563200	3,56605
0,572000	3,56605
0,580800	3,56605
0,589600	3,56605
0,598400	3,56605
0,607200	3,56605
0,616000	3,55628
0,624800	3,55628
0,633600	3,56605
0,642400	3,56605
0,651200	3,56605
0,660000	3,56605
0,668800	3,57582
0,677600	3,57582
0,686400	3,58559
0,695200	3,58559
0,704000	3,58559
0,712800	3,58559
0,721600	3,58559
0,730400	3,59536
0,739200	3,59536
0,748000	3,59536
0,756800	3,59536
0,765600	3,59536
0,774400	3,60513
0,783200	3,59536
0,792000	3,59536
0,800800	3,59536
0,809600	3,59536
0,818400	3,59536
0,827200	3,59536
0,836000	3,58559
0,844800	3,58559
0,853600	3,58559
0,862400	3,58559
0,871200	3,57582
0,880000	3,58559
0,888800	3,57582
0,897600	3,57582
0,906400	3,58559
0,915200	3,57582
0,924000	3,56605
0,932800	3,57582
0,941600	3,57582
0,950400	3,58559
0,959200	3,59536
0,968000	3,59536
0,976800	3,58559
0,985600	3,58559
0,994400	3,57582
1,00320	3,56605
1,01200	3,56605
1,02080	3,57582
1,02960	3,56605
1,03840	3,56605
1,04720	3,56605
1,05600	3,56605
1,06480	3,57582
1,07360	3,56605
1,08240	3,56605
1,09120	3,57582
1,10000	3,56605
1,10880	3,57582
1,11760	3,57582
1,12640	3,57582
1,13520	3,57582
1,14400	3,58559
1,15280	3,57582
1,16160	3,58559
1,17040	3,58559
1,17920	3,58559
1,18800	3,60513
1,19680	3,58559
1,20560	3,59536
1,21440	3,59536
1,22320	3,59536
1,23200	3,58559
1,24080	3,58559
1,24960	3,58559
1,25840	3,58559
1,26720	3,58559
1,27600	3,58559
1,28480	3,58559
1,29360	3,58559
1,30240	3,58559
1,31120	3,57582
1,32000	3,56605
1,32880	3,56605
1,33760	3,56605
1,34640	3,57582
1,35520	3,57582
1,36400	3,56605
1,37280	3,56605
1,38160	3,55628
1,39040	3,55628
1,39920	3,56605
1,40800	3,54651
1,41680	3,54651
1,42560	3,54651
1,43440	3,55628
1,44320	3,54651
1,45200	3,54651
1,46080	3,54651
1,46960	3,56605
1,47840	3,54651
1,48720	3,55628
1,49600	3,55628
1,50480	3,54651
1,51360	3,54651
1,52240	3,54651
1,53120	3,54651
1,54000	3,53674
1,54880	3,53674
1,55760	3,53674
1,56640	3,54651
1,57520	3,53674
1,58400	3,53674
1,59280	3,53674
1,60160	3,53674
1,61040	3,53674
1,61920	3,53674
1,62800	3,55628
1,63680	3,56605
1,64560	3,57582
1,65440	3,56605
1,66320	3,56605
1,67200	3,55628
1,68080	3,57582
1,68960	3,57582
1,69840	3,57582
1,70720	3,57582
1,71600	3,58559
1,72480	3,57582
1,73360	3,57582
1,74240	3,57582
1,75120	3,58559
1,76000	3,58559
1,76880	3,58559
1,77760	3,57582
1,78640	3,58559
1,79520	3,57582
1,80400	3,56605
1,81280	3,55628
1,82160	3,56605
1,83040	3,55628
1,83920	3,55628
1,84800	3,54651
1,85680	3,53674
1,86560	3,53674
1,87440	3,53674
1,88320	3,53674
1,89200	3,53674
1,90080	3,53674
1,90960	3,53674
1,91840	3,53674
1,92720	3,53674
1,93600	3,52697
1,94480	3,53674
1,95360	3,53674
1,96240	3,55628
1,97120	3,55628
1,98000	3,55628
1,98880	3,56605
1,99760	3,57582
2,00640	3,58559
2,01520	3,58559
2,02400	3,59536
2,03280	3,60513
2,04160	3,60513
2,05040	3,61490
2,05920	3,61490
2,06800	3,61490
2,07680	3,61490
2,08560	3,61490
2,09440	3,62467
2,10320	3,62467
2,11200	3,61490
2,12080	3,61490
2,12960	3,60513
2,13840	3,59536
2,14720	3,58559
2,15600	3,57582
2,16480	3,55628
2,17360	3,54651
2,18240	3,53674
2,19120	3,52697
