Position [V]	Intensität [Skt]
0,00000	2,79422
0,00880000	2,76491
0,0176000	2,72583
0,0264000	2,68675
0,0352000	2,65744
0,0440000	2,63790
0,0528000	2,60859
0,0616000	2,59882
0,0704000	2,58905
0,0792000	2,57928
0,0880000	2,56951
0,0968000	2,55974
0,105600	2,55974
0,114400	2,55974
0,123200	2,55974
0,132000	2,55974
0,140800	2,55974
0,149600	2,55974
0,158400	2,55974
0,167200	2,54997
0,176000	2,55974
0,184800	2,55974
0,193600	2,54997
0,202400	2,54997
0,211200	2,54020
0,220000	2,54020
0,228800	2,54997
0,237600	2,54020
0,246400	2,54020
0,255200	2,54020
0,264000	2,54020
0,272800	2,54020
0,281600	2,54020
0,290400	2,54020
0,299200	2,54020
0,308000	2,54997
0,316800	2,54997
0,325600	2,54997
0,334400	2,54997
0,343200	2,54997
0,352000	2,54997
0,360800	2,54997
0,369600	2,54997
0,378400	2,54997
0,387200	2,54997
0,396000	2,54997
0,404800	2,54997
0,413600	2,54997
0,422400	2,55974
0,431200	2,55974
0,440000	2,55974
0,448800	2,55974
0,457600	2,55974
0,466400	2,55974
0,475200	2,55974
0,484000	2,55974
0,492800	2,55974
0,501600	2,55974
0,510400	2,55974
0,519200	2,55974
0,528000	2,55974
0,536800	2,54997
0,545600	2,55974
0,554400	2,55974
0,563200	2,55974
0,572000	2,54997
0,580800	2,54997
0,589600	2,54997
0,598400	2,54997
0,607200	2,54997
0,616000	2,54997
0,624800	2,54020
0,633600	2,54997
0,642400	2,54997
0,651200	2,54020
0,660000	2,54997
0,668800	2,54997
0,677600	2,54997
0,686400	2,54997
0,695200	2,54997
0,704000	2,54020
0,712800	2,54997
0,721600	2,54020
0,730400	2,54020
0,739200	2,54020
0,748000	2,54020
0,756800	2,54020
0,765600	2,54020
0,774400	2,54020
0,783200	2,53043
0,792000	2,54020
0,800800	2,54020
0,809600	2,54020
0,818400	2,54020
0,827200	2,53043
0,836000	2,54020
0,844800	2,54020
0,853600	2,54020
0,862400	2,54020
0,871200	2,53043
0,880000	2,54020
0,888800	2,54020
0,897600	2,54020
0,906400	2,54020
0,915200	2,54020
0,924000	2,54997
0,932800	2,54997
0,941600	2,54997
0,950400	2,54020
0,959200	2,54997
0,968000	2,54997
0,976800	2,54997
0,985600	2,54997
0,994400	2,54997
1,00320	2,54997
1,01200	2,54997
1,02080	2,54997
1,02960	2,54997
1,03840	2,54997
1,04720	2,54997
1,05600	2,54997
1,06480	2,54997
1,07360	2,54997
1,08240	2,55974
1,09120	2,55974
1,10000	2,55974
1,10880	2,55974
1,11760	2,54997
1,12640	2,54997
1,13520	2,54997
1,14400	2,54997
1,15280	2,54997
1,16160	2,55974
1,17040	2,55974
1,17920	2,55974
1,18800	2,54997
1,19680	2,55974
1,20560	2,54997
1,21440	2,55974
1,22320	2,54997
1,23200	2,54997
1,24080	2,55974
1,24960	2,54997
1,25840	2,54997
1,26720	2,54997
1,27600	2,54997
1,28480	2,54997
1,29360	2,54997
1,30240	2,54997
1,31120	2,54997
1,32000	2,54997
1,32880	2,54997
1,33760	2,54020
1,34640	2,54997
1,35520	2,54997
1,36400	2,54997
1,37280	2,54997
1,38160	2,54997
1,39040	2,54997
1,39920	2,54020
1,40800	2,55974
1,41680	2,54997
1,42560	2,54997
1,43440	2,54997
1,44320	2,54997
1,45200	2,54997
1,46080	2,54997
1,46960	2,55974
1,47840	2,55974
1,48720	2,55974
1,49600	2,56951
1,50480	2,55974
1,51360	2,55974
1,52240	2,55974
1,53120	2,55974
1,54000	2,54997
1,54880	2,54997
1,55760	2,55974
1,56640	2,54997
1,57520	2,54020
1,58400	2,54020
1,59280	2,55974
1,60160	2,54997
1,61040	2,54020
1,61920	2,54997
1,62800	2,54020
1,63680	2,54020
1,64560	2,54997
1,65440	2,54020
1,66320	2,54997
1,67200	2,54997
1,68080	2,54997
1,68960	2,54997
1,69840	2,54020
1,70720	2,54997
1,71600	2,54997
1,72480	2,54997
1,73360	2,54020
1,74240	2,54020
1,75120	2,54997
1,76000	2,53043
1,76880	2,54020
1,77760	2,54020
1,78640	2,54020
1,79520	2,53043
1,80400	2,54020
1,81280	2,53043
1,82160	2,53043
1,83040	2,54020
1,83920	2,54020
1,84800	2,54020
1,85680	2,54997
1,86560	2,54020
1,87440	2,54997
1,88320	2,54997
1,89200	2,54997
1,90080	2,54997
1,90960	2,55974
1,91840	2,54997
1,92720	2,55974
1,93600	2,54997
1,94480	2,55974
1,95360	2,55974
1,96240	2,55974
1,97120	2,55974
1,98000	2,55974
1,98880	2,54997
1,99760	2,55974
2,00640	2,54997
2,01520	2,54997
2,02400	2,54997
2,03280	2,54020
2,04160	2,54020
2,05040	2,54020
2,05920	2,54020
2,06800	2,54020
2,07680	2,54997
2,08560	2,54020
2,09440	2,54020
2,10320	2,54020
2,11200	2,54020
2,12080	2,54020
2,12960	2,54020
2,13840	2,54020
2,14720	2,54020
2,15600	2,54020
2,16480	2,54020
2,17360	2,54020
2,18240	2,54020
2,19120	2,53043
2,20000	2,54020
2,20880	2,53043
2,21760	2,54020
2,22640	2,54020
2,23520	2,54020
2,24400	2,54020
2,25280	2,54020
2,26160	2,54020
2,27040	2,54020
2,27920	2,54997
2,28800	2,54997
2,29680	2,54997
2,30560	2,54997
2,31440	2,54997
2,32320	2,55974
2,33200	2,55974
2,34080	2,55974
2,34960	2,55974
2,35840	2,55974
2,36720	2,55974
2,37600	2,55974
2,38480	2,55974
2,39360	2,55974
2,40240	2,55974
2,41120	2,55974
2,42000	2,54997
2,42880	2,54997
2,43760	2,54020
2,44640	2,54020
2,45520	2,54020
2,46400	2,54020
2,47280	2,54020
2,48160	2,53043
2,49040	2,53043
2,49920	2,54020
2,50800	2,54020
2,51680	2,54020
2,52560	2,53043
2,53440	2,53043
2,54320	2,54020
2,55200	2,54020
2,56080	2,54020
2,56960	2,54020
2,57840	2,54020
2,58720	2,54020
2,59600	2,54020
2,60480	2,54020
2,61360	2,54020
2,62240	2,54020
2,63120	2,54020
2,64000	2,54997
2,64880	2,55974
2,65760	2,55974
2,66640	2,55974
2,67520	2,55974
2,68400	2,55974
2,69280	2,55974
2,70160	2,55974
2,71040	2,55974
2,71920	2,55974
2,72800	2,56951
2,73680	2,56951
2,74560	2,55974
2,75440	2,55974
2,76320	2,55974
2,77200	2,55974
2,78080	2,55974
2,78960	2,55974
2,79840	2,55974
2,80720	2,54997
2,81600	2,54020
2,82480	2,54020
2,83360	2,54020
2,84240	2,53043
2,85120	2,54020
2,86000	2,53043
2,86880	2,52066
2,87760	2,52066
2,88640	2,51089
2,89520	2,51089
2,90400	2,51089
2,91280	2,51089
2,92160	2,51089
2,93040	2,52066
2,93920	2,51089
2,94800	2,52066
