Position [V]	Intensität [Skt]
0,00000	2,56951
0,00880000	2,56951
0,0176000	2,56951
0,0264000	2,56951
0,0352000	2,56951
0,0440000	2,56951
0,0528000	2,58905
0,0616000	2,59882
0,0704000	2,62813
0,0792000	2,65744
0,0880000	2,67698
0,0968000	2,68675
0,105600	2,69652
0,114400	2,71606
0,123200	2,72583
0,132000	2,72583
0,140800	2,73560
0,149600	2,72583
0,158400	2,73560
0,167200	2,73560
0,176000	2,73560
0,184800	2,73560
0,193600	2,73560
0,202400	2,72583
0,211200	2,72583
0,220000	2,71606
0,228800	2,70629
0,237600	2,70629
0,246400	2,69652
0,255200	2,67698
0,264000	2,65744
0,272800	2,64767
0,281600	2,62813
0,290400	2,60859
0,299200	2,60859
0,308000	2,58905
0,316800	2,56951
0,325600	2,54997
0,334400	2,53043
0,343200	2,51089
0,352000	2,48158
0,360800	2,45227
0,369600	2,43273
0,378400	2,41319
0,387200	2,39365
0,396000	2,36434
0,404800	2,34480
0,413600	2,32526
0,422400	2,30572
0,431200	2,30572
0,440000	2,28618
0,448800	2,28618
0,457600	2,28618
0,466400	2,28618
0,475200	2,28618
0,484000	2,28618
0,492800	2,28618
0,501600	2,30572
0,510400	2,33503
0,519200	2,35457
0,528000	2,37411
0,536800	2,40342
0,545600	2,43273
0,554400	2,47181
0,563200	2,50112
0,572000	2,54020
0,580800	2,56951
0,589600	2,60859
0,598400	2,64767
0,607200	2,68675
0,616000	2,71606
0,624800	2,75514
0,633600	2,78445
0,642400	2,81376
0,651200	2,84307
0,660000	2,86261
0,668800	2,88215
0,677600	2,90169
0,686400	2,91146
0,695200	2,92123
0,704000	2,93100
0,712800	2,92123
0,721600	2,92123
0,730400	2,91146
0,739200	2,89192
0,748000	2,88215
0,756800	2,85284
0,765600	2,82353
0,774400	2,79422
0,783200	2,76491
0,792000	2,71606
0,800800	2,68675
0,809600	2,63790
0,818400	2,58905
0,827200	2,54020
0,836000	2,48158
0,844800	2,44250
0,853600	2,37411
0,862400	2,32526
0,871200	2,27641
0,880000	2,21779
0,888800	2,16894
0,897600	2,12009
0,906400	2,08101
0,915200	2,04193
0,924000	2,01262
0,932800	1,99308
0,941600	1,98331
0,950400	1,96377
0,959200	1,96377
0,968000	1,98331
0,976800	2,00285
0,985600	2,03216
0,994400	2,09078
1,00320	2,14940
1,01200	2,21779
1,02080	2,29595
1,02960	2,38388
1,03840	2,48158
1,04720	2,58905
1,05600	2,69652
1,06480	2,81376
1,07360	2,93100
1,08240	3,04824
1,09120	3,15571
1,10000	3,25341
1,10880	3,34134
1,11760	3,42927
1,12640	3,48789
1,13520	3,53674
1,14400	3,55628
1,15280	3,55628
1,16160	3,53674
1,17040	3,49766
1,17920	3,42927
1,18800	3,34134
1,19680	3,23387
1,20560	3,08732
1,21440	2,94077
1,22320	2,77468
1,23200	2,59882
1,24080	2,42296
1,24960	2,23733
1,25840	2,05170
1,26720	1,88561
1,27600	1,71952
1,28480	1,58274
1,29360	1,46550
1,30240	1,37757
1,31120	1,30918
1,32000	1,27987
1,32880	1,27987
1,33760	1,31895
1,34640	1,38734
1,35520	1,48504
1,36400	1,61205
1,37280	1,77814
1,38160	1,96377
1,39040	2,15917
1,39920	2,36434
1,40800	2,58905
1,41680	2,80399
1,42560	3,01893
1,43440	3,22410
1,44320	3,40973
1,45200	3,57582
1,46080	3,72237
1,46960	3,82007
1,47840	3,90800
1,48720	3,95685
1,49600	3,95685
1,50480	3,91777
1,51360	3,85915
1,52240	3,75168
1,53120	3,62467
1,54000	3,46835
1,54880	3,27295
1,55760	3,07755
1,56640	2,86261
1,57520	2,65744
1,58400	2,45227
1,59280	2,23733
1,60160	2,04193
1,61040	1,88561
1,61920	1,72929
1,62800	1,61205
1,63680	1,53389
1,64560	1,47527
1,65440	1,45573
1,66320	1,45573
1,67200	1,50458
1,68080	1,57297
1,68960	1,66090
1,69840	1,77814
1,70720	1,91492
1,71600	2,06147
1,72480	2,21779
1,73360	2,37411
1,74240	2,54020
1,75120	2,68675
1,76000	2,82353
1,76880	2,96031
1,77760	3,06778
1,78640	3,15571
1,79520	3,23387
1,80400	3,29249
1,81280	3,32180
1,82160	3,33157
1,83040	3,33157
1,83920	3,31203
1,84800	3,27295
1,85680	3,21433
1,86560	3,14594
1,87440	3,06778
1,88320	2,98962
1,89200	2,90169
1,90080	2,82353
1,90960	2,72583
1,91840	2,63790
1,92720	2,55974
1,93600	2,48158
1,94480	2,40342
1,95360	2,33503
1,96240	2,28618
1,97120	2,23733
1,98000	2,19825
1,98880	2,16894
1,99760	2,15917
2,00640	2,13963
2,01520	2,13963
2,02400	2,14940
2,03280	2,16894
2,04160	2,18848
2,05040	2,21779
2,05920	2,26664
2,06800	2,30572
2,07680	2,34480
2,08560	2,40342
2,09440	2,45227
2,10320	2,51089
2,11200	2,55974
2,12080	2,61836
2,12960	2,66721
2,13840	2,72583
2,14720	2,77468
2,15600	2,81376
2,16480	2,85284
2,17360	2,88215
2,18240	2,91146
2,19120	2,92123
2,20000	2,93100
2,20880	2,93100
2,21760	2,92123
2,22640	2,91146
2,23520	2,89192
2,24400	2,86261
2,25280	2,82353
2,26160	2,78445
2,27040	2,74537
2,27920	2,69652
2,28800	2,65744
2,29680	2,60859
2,30560	2,56951
2,31440	2,52066
2,32320	2,49135
2,33200	2,45227
2,34080	2,42296
2,34960	2,40342
2,35840	2,39365
2,36720	2,37411
2,37600	2,37411
2,38480	2,37411
2,39360	2,37411
2,40240	2,39365
2,41120	2,40342
2,42000	2,42296
2,42880	2,43273
2,43760	2,46204
2,44640	2,48158
2,45520	2,51089
2,46400	2,53043
2,47280	2,55974
2,48160	2,57928
2,49040	2,59882
2,49920	2,61836
2,50800	2,63790
2,51680	2,65744
2,52560	2,66721
2,53440	2,68675
2,54320	2,69652
2,55200	2,70629
2,56080	2,70629
2,56960	2,73560
2,57840	2,73560
2,58720	2,73560
2,59600	2,72583
2,60480	2,72583
2,61360	2,71606
2,62240	2,70629
2,63120	2,69652
2,64000	2,67698
2,64880	2,66721
2,65760	2,64767
2,66640	2,63790
2,67520	2,60859
2,68400	2,59882
2,69280	2,57928
2,70160	2,55974
2,71040	2,54020
2,71920	2,53043
2,72800	2,51089
2,73680	2,50112
2,74560	2,50112
2,75440	2,49135
2,76320	2,48158
2,77200	2,48158
