Position [V]	Intensität [Skt]
0,00000	2,26664
0,00880000	2,30572
0,0176000	2,30572
0,0264000	2,32526
0,0352000	2,31549
0,0440000	2,23733
0,0528000	2,25687
0,0616000	2,29595
0,0704000	2,31549
0,0792000	2,32526
0,0880000	2,32526
0,0968000	2,33503
0,105600	2,33503
0,114400	2,32526
0,123200	2,32526
0,132000	2,30572
0,140800	2,30572
0,149600	2,28618
0,158400	2,27641
0,167200	2,26664
0,176000	2,25687
0,184800	2,23733
0,193600	2,22756
0,202400	2,20802
0,211200	2,20802
0,220000	2,19825
0,228800	2,19825
0,237600	2,19825
0,246400	2,20802
0,255200	2,22756
0,264000	2,24710
0,272800	2,27641
0,281600	2,30572
0,290400	2,34480
0,299200	2,39365
0,308000	2,43273
0,316800	2,45227
0,325600	2,49135
0,334400	2,53043
0,343200	2,55974
0,352000	2,56951
0,360800	2,58905
0,369600	2,58905
0,378400	2,58905
0,387200	2,57928
0,396000	2,56951
0,404800	2,54020
0,413600	2,51089
0,422400	2,49135
0,431200	2,46204
0,440000	2,44250
0,448800	2,41319
0,457600	2,39365
0,466400	2,37411
0,475200	2,36434
0,484000	2,35457
0,492800	2,36434
0,501600	2,35457
0,510400	2,36434
0,519200	2,35457
0,528000	2,35457
0,536800	2,34480
0,545600	2,32526
0,554400	2,32526
0,563200	2,30572
0,572000	2,27641
0,580800	2,25687
0,589600	2,21779
0,598400	2,19825
0,607200	2,16894
0,616000	2,15917
0,624800	2,13963
0,633600	2,13963
0,642400	2,14940
0,651200	2,15917
0,660000	2,18848
0,668800	2,21779
0,677600	2,25687
0,686400	2,29595
0,695200	2,32526
0,704000	2,36434
0,712800	2,39365
0,721600	2,40342
0,730400	2,40342
0,739200	2,40342
0,748000	2,37411
0,756800	2,34480
0,765600	2,31549
0,774400	2,25687
0,783200	2,20802
0,792000	2,15917
0,800800	2,12009
0,809600	2,09078
0,818400	2,06147
0,827200	2,06147
0,836000	2,08101
0,844800	2,10055
0,853600	2,13963
0,862400	2,17871
0,871200	2,23733
0,880000	2,28618
0,888800	2,33503
0,897600	2,39365
0,906400	2,43273
0,915200	2,48158
0,924000	2,49135
0,932800	2,50112
0,941600	2,50112
0,950400	2,48158
0,959200	2,47181
0,968000	2,42296
0,976800	2,38388
0,985600	2,34480
0,994400	2,29595
1,00320	2,26664
1,01200	2,22756
1,02080	2,19825
1,02960	2,16894
1,03840	2,15917
1,04720	2,14940
1,05600	2,14940
1,06480	2,14940
1,07360	2,14940
1,08240	2,16894
1,09120	2,16894
1,10000	2,19825
1,10880	2,20802
1,11760	2,23733
1,12640	2,25687
1,13520	2,28618
1,14400	2,32526
1,15280	2,35457
1,16160	2,38388
1,17040	2,41319
1,17920	2,43273
1,18800	2,45227
1,19680	2,46204
1,20560	2,47181
1,21440	2,45227
1,22320	2,44250
1,23200	2,42296
1,24080	2,40342
1,24960	2,36434
1,25840	2,33503
1,26720	2,32526
1,27600	2,29595
1,28480	2,28618
1,29360	2,27641
1,30240	2,28618
1,31120	2,29595
1,32000	2,31549
1,32880	2,33503
1,33760	2,36434
1,34640	2,38388
1,35520	2,40342
1,36400	2,44250
1,37280	2,44250
1,38160	2,46204
1,39040	2,46204
1,39920	2,46204
1,40800	2,45227
1,41680	2,46204
1,42560	2,44250
1,43440	2,44250
1,44320	2,42296
1,45200	2,41319
1,46080	2,40342
1,46960	2,38388
1,47840	2,36434
1,48720	2,35457
1,49600	2,33503
1,50480	2,29595
1,51360	2,23733
1,52240	2,20802
1,53120	2,17871
1,54000	2,15917
1,54880	2,14940
1,55760	2,12986
1,56640	2,14940
1,57520	2,16894
1,58400	2,19825
1,59280	2,23733
1,60160	2,28618
1,61040	2,35457
1,61920	2,40342
1,62800	2,47181
1,63680	2,51089
1,64560	2,53043
1,65440	2,54997
1,66320	2,53043
1,67200	2,50112
1,68080	2,46204
1,68960	2,42296
1,69840	2,34480
1,70720	2,29595
1,71600	2,24710
1,72480	2,18848
1,73360	2,16894
1,74240	2,13963
1,75120	2,14940
1,76000	2,15917
1,76880	2,18848
1,77760	2,21779
1,78640	2,25687
1,79520	2,28618
1,80400	2,30572
1,81280	2,33503
1,82160	2,35457
1,83040	2,36434
1,83920	2,35457
1,84800	2,35457
1,85680	2,33503
1,86560	2,32526
1,87440	2,31549
1,88320	2,28618
1,89200	2,27641
1,90080	2,26664
1,90960	2,24710
1,91840	2,22756
1,92720	2,20802
1,93600	2,17871
1,94480	2,16894
1,95360	2,15917
1,96240	2,14940
1,97120	2,12986
1,98000	2,14940
1,98880	2,14940
1,99760	2,18848
2,00640	2,22756
2,01520	2,26664
2,02400	2,31549
2,03280	2,37411
2,04160	2,42296
2,05040	2,47181
2,05920	2,50112
2,06800	2,52066
2,07680	2,52066
2,08560	2,52066
2,09440	2,50112
2,10320	2,46204
2,11200	2,41319
2,12080	2,38388
2,12960	2,33503
2,13840	2,30572
2,14720	2,28618
2,15600	2,26664
2,16480	2,27641
2,17360	2,27641
2,18240	2,28618
2,19120	2,29595
2,20000	2,31549
2,20880	2,32526
2,21760	2,32526
2,22640	2,32526
2,23520	2,31549
2,24400	2,29595
2,25280	2,27641
2,26160	2,27641
2,27040	2,25687
2,27920	2,25687
2,28800	2,25687
2,29680	2,27641
2,30560	2,29595
2,31440	2,31549
2,32320	2,32526
2,33200	2,33503
2,34080	2,34480
2,34960	2,33503
2,35840	2,32526
2,36720	2,29595
2,37600	2,26664
2,38480	2,22756
2,39360	2,20802
2,40240	2,17871
2,41120	2,16894
2,42000	2,17871
2,42880	2,20802
2,43760	2,25687
2,44640	2,31549
2,45520	2,38388
2,46400	2,45227
2,47280	2,52066
2,48160	2,56951
2,49040	2,61836
2,49920	2,63790
2,50800	2,62813
2,51680	2,61836
2,52560	2,56951
2,53440	2,52066
2,54320	2,46204
2,55200	2,40342
2,56080	2,35457
2,56960	2,32526
2,57840	2,29595
2,58720	2,28618
2,59600	2,30572
2,60480	2,32526
2,61360	2,35457
2,62240	2,37411
2,63120	2,42296
2,64000	2,40342
2,64880	2,43273
2,65760	2,43273
2,66640	2,43273
2,67520	2,41319
2,68400	2,38388
2,69280	2,35457
2,70160	2,33503
2,71040	2,30572
2,71920	2,27641
2,72800	2,26664
2,73680	2,25687
2,74560	2,23733
2,75440	2,23733
2,76320	2,23733
2,77200	2,23733
2,78080	2,22756
2,78960	2,22756
2,79840	2,22756
2,80720	2,22756
2,81600	2,21779
2,82480	2,21779
2,83360	2,21779
2,84240	2,21779
2,85120	2,22756
2,86000	2,23733
2,86880	2,22756
2,87760	2,22756
2,88640	2,22756
2,89520	2,23733
2,90400	2,21779
2,91280	2,21779
2,92160	2,20802
2,93040	2,19825
2,93920	2,19825
2,94800	2,18848
2,95680	2,18848
2,96560	2,18848
2,97440	2,19825
2,98320	2,19825
2,99200	2,20802
3,00080	2,20802
3,00960	2,21779
3,01840	2,19825
3,02720	2,19825
3,03600	2,18848
3,04480	2,17871
3,05360	2,15917
3,06240	2,15917
3,07120	2,15917
3,08000	2,15917
3,08880	2,18848
3,09760	2,20802
3,10640	2,24710
3,11520	2,27641
3,12400	2,31549
3,13280	2,35457
3,14160	2,38388
3,15040	2,40342
3,15920	2,40342
3,16800	2,39365
3,17680	2,37411
3,18560	2,35457
3,19440	2,32526
3,20320	2,29595
3,21200	2,27641
3,22080	2,27641
3,22960	2,28618
3,23840	2,31549
3,24720	2,34480
3,25600	2,39365
3,26480	2,42296
3,27360	2,47181
3,28240	2,50112
3,29120	2,52066
3,30000	2,51089
3,30880	2,50112
3,31760	2,46204
3,32640	2,42296
3,33520	2,37411
3,34400	2,32526
3,35280	2,28618
3,36160	2,25687
3,37040	2,25687
3,37920	2,24710
3,38800	2,27641
3,39680	2,31549
3,40560	2,35457
3,41440	2,40342
3,42320	2,43273
3,43200	2,47181
3,44080	2,47181
3,44960	2,48158
3,45840	2,47181
3,46720	2,45227
3,47600	2,42296
3,48480	2,38388
3,49360	2,34480
3,50240	2,31549
3,51120	2,31549
3,52000	2,29595
3,52880	2,30572
3,53760	2,32526
3,54640	2,36434
3,55520	2,37411
3,56400	2,42296
3,57280	2,44250
3,58160	2,45227
3,59040	2,47181
