Position [V]	Intensität [Skt]
0,00000	4,39650
0,00880000	4,21087
0,0176000	3,95685
0,0264000	3,74191
0,0352000	3,47812
0,0440000	3,14594
0,0528000	2,79422
0,0616000	2,47181
0,0704000	2,18848
0,0792000	1,95400
0,0880000	1,77814
0,0968000	1,65113
0,105600	1,57297
0,114400	1,52412
0,123200	1,51435
0,132000	1,53389
0,140800	1,57297
0,149600	1,64136
0,158400	1,73906
0,167200	1,85630
0,176000	1,99308
0,184800	2,15917
0,193600	2,32526
0,202400	2,53043
0,211200	2,73560
0,220000	2,96031
0,228800	3,17525
0,237600	3,39019
0,246400	3,59536
0,255200	3,78099
0,264000	3,93731
0,272800	4,05455
0,281600	4,14248
0,290400	4,17179
0,299200	4,16202
0,308000	4,11317
0,316800	4,00570
0,325600	3,86892
0,334400	3,69306
0,343200	3,48789
0,352000	3,23387
0,360800	2,97008
0,369600	2,68675
0,378400	2,40342
0,387200	2,11032
0,396000	1,83676
0,404800	1,58274
0,413600	1,35803
0,422400	1,17240
0,431200	1,03562
0,440000	0,957460
0,448800	0,928150
0,457600	0,957460
0,466400	1,04539
0,475200	1,19194
0,484000	1,38734
0,492800	1,62182
0,501600	1,89538
0,510400	2,17871
0,519200	2,48158
0,528000	2,76491
0,536800	3,03847
0,545600	3,26318
0,554400	3,46835
0,563200	3,61490
0,572000	3,72237
0,580800	3,77122
0,589600	3,76145
0,598400	3,71260
0,607200	3,61490
0,616000	3,47812
0,624800	3,30226
0,633600	3,10686
0,642400	2,88215
0,651200	2,63790
0,660000	2,37411
0,668800	2,11032
0,677600	1,85630
0,686400	1,61205
0,695200	1,39711
0,704000	1,21148
0,712800	1,06493
0,721600	0,967230
0,730400	0,928150
0,739200	0,937920
0,748000	1,00631
0,756800	1,13332
0,765600	1,30918
0,774400	1,54366
0,783200	1,80745
0,792000	2,10055
0,800800	2,41319
0,809600	2,73560
0,818400	3,04824
0,827200	3,34134
0,836000	3,60513
0,844800	3,83961
0,853600	4,03501
0,862400	4,16202
0,871200	4,24018
0,880000	4,25972
0,888800	4,22064
0,897600	4,12294
0,906400	3,97639
0,915200	3,77122
0,924000	3,53674
0,932800	3,27295
0,941600	2,97985
0,950400	2,69652
0,959200	2,39365
0,968000	2,12009
0,976800	1,87584
0,985600	1,65113
0,994400	1,48504
1,00320	1,36780
1,01200	1,29941
1,02080	1,27987
1,02960	1,32872
1,03840	1,42642
1,04720	1,56320
1,05600	1,75860
1,06480	1,98331
1,07360	2,23733
1,08240	2,50112
1,09120	2,78445
1,10000	3,04824
1,10880	3,32180
1,11760	3,54651
1,12640	3,72237
1,13520	3,84938
1,14400	3,92754
1,15280	3,93731
1,16160	3,88846
1,17040	3,79076
1,17920	3,61490
1,18800	3,39996
1,19680	3,13617
1,20560	2,85284
1,21440	2,54997
1,22320	2,24710
1,23200	1,95400
1,24080	1,69021
1,24960	1,46550
1,25840	1,28964
1,26720	1,18217
1,27600	1,14309
1,28480	1,16263
1,29360	1,26033
1,30240	1,40688
1,31120	1,61205
1,32000	1,86607
1,32880	2,16894
1,33760	2,48158
1,34640	2,80399
1,35520	3,11663
1,36400	3,39996
1,37280	3,64421
1,38160	3,84938
1,39040	3,98616
1,39920	4,05455
1,40800	4,03501
1,41680	3,94708
1,42560	3,79076
1,43440	3,55628
1,44320	3,27295
1,45200	2,94077
1,46080	2,58905
1,46960	2,22756
1,47840	1,88561
1,48720	1,57297
1,49600	1,29941
1,50480	1,09424
1,51360	0,937920
1,52240	0,859760
1,53120	0,859760
1,54000	0,928150
1,54880	1,06493
1,55760	1,26033
1,56640	1,51435
1,57520	1,79768
1,58400	2,11032
1,59280	2,43273
1,60160	2,74537
1,61040	3,02870
1,61920	3,28272
1,62800	3,49766
1,63680	3,66375
1,64560	3,77122
1,65440	3,80053
1,66320	3,76145
1,67200	3,64421
1,68080	3,47812
1,68960	3,24364
1,69840	2,96031
1,70720	2,66721
1,71600	2,35457
1,72480	2,04193
1,73360	1,75860
1,74240	1,51435
1,75120	1,32872
1,76000	1,19194
1,76880	1,13332
1,77760	1,15286
1,78640	1,24079
1,79520	1,38734
1,80400	1,60228
1,81280	1,86607
1,82160	2,16894
1,83040	2,50112
1,83920	2,84307
1,84800	3,18502
1,85680	3,49766
1,86560	3,78099
1,87440	4,00570
1,88320	4,17179
1,89200	4,25972
1,90080	4,26949
1,90960	4,21087
1,91840	4,07409
1,92720	3,85915
1,93600	3,58559
1,94480	3,28272
1,95360	2,94077
1,96240	2,60859
1,97120	2,27641
1,98000	1,97354
1,98880	1,71952
1,99760	1,53389
2,00640	1,39711
2,01520	1,33849
2,02400	1,34826
2,03280	1,42642
2,04160	1,57297
2,05040	1,77814
2,05920	2,02239
2,06800	2,29595
2,07680	2,58905
2,08560	2,88215
2,09440	3,16548
2,10320	3,40973
2,11200	3,60513
2,12080	3,74191
2,12960	3,81030
2,13840	3,80053
2,14720	3,72237
2,15600	3,57582
2,16480	3,36088
2,17360	3,10686
2,18240	2,80399
2,19120	2,50112
2,20000	2,18848
2,20880	1,90515
2,21760	1,64136
2,22640	1,43619
2,23520	1,29941
2,24400	1,22125
2,25280	1,22125
2,26160	1,29941
2,27040	1,45573
2,27920	1,68044
2,28800	1,95400
2,29680	2,26664
2,30560	2,58905
2,31440	2,91146
2,32320	3,22410
2,33200	3,47812
2,34080	3,68329
2,34960	3,82007
2,35840	3,89823
2,36720	3,87869
2,37600	3,78099
2,38480	3,61490
2,39360	3,39019
2,40240	3,10686
2,41120	2,80399
2,42000	2,45227
2,42880	2,12009
2,43760	1,78791
2,44640	1,50458
2,45520	1,27010
2,46400	1,09424
2,47280	1,01608
2,48160	0,996540
2,49040	1,06493
2,49920	1,20171
2,50800	1,40688
2,51680	1,66090
2,52560	1,95400
2,53440	2,24710
2,54320	2,55974
2,55200	2,82353
2,56080	3,06778
2,56960	3,26318
2,57840	3,40973
2,58720	3,47812
2,59600	3,47812
2,60480	3,40973
2,61360	3,27295
2,62240	3,07755
2,63120	2,84307
2,64000	2,56951
2,64880	2,27641
2,65760	1,96377
2,66640	1,67067
2,67520	1,43619
2,68400	1,22125
2,69280	1,10401
2,70160	1,02585
2,71040	1,02585
2,71920	1,14309
2,72800	1,29941
2,73680	1,53389
2,74560	1,81722
2,75440	2,13963
2,76320	2,49135
2,77200	2,83330
2,78080	3,16548
2,78960	3,45858
2,79840	3,69306
2,80720	3,86892
2,81600	3,95685
2,82480	3,97639
2,83360	3,89823
2,84240	3,76145
2,85120	3,53674
2,86000	3,26318
2,86880	2,96031
2,87760	2,64767
2,88640	2,32526
2,89520	2,03216
2,90400	1,76837
2,91280	1,55343
2,92160	1,40688
2,93040	1,32872
2,93920	1,33849
2,94800	1,42642
2,95680	1,59251
2,96560	1,82699
2,97440	2,12009
2,98320	2,45227
2,99200	2,80399
3,00080	3,16548
3,00960	3,48789
3,01840	3,76145
3,02720	3,97639
3,03600	4,10340
3,04480	4,15225
3,05360	4,12294
3,06240	4,00570
3,07120	3,81030
3,08000	3,56605
3,08880	3,27295
3,09760	2,96031
3,10640	2,61836
3,11520	2,28618
3,12400	1,98331
3,13280	1,71952
3,14160	1,50458
3,15040	1,35803
3,15920	1,28964
3,16800	1,28964
3,17680	1,37757
3,18560	1,53389
3,19440	1,74883
3,20320	2,02239
3,21200	2,33503
3,22080	2,65744
3,22960	2,97985
3,23840	3,29249
3,24720	3,54651
3,25600	3,76145
3,26480	3,89823
3,27360	3,95685
3,28240	3,94708
3,29120	3,82007
3,30000	3,63444
3,30880	3,39019
3,31760	3,10686
3,32640	2,77468
3,33520	2,44250
3,34400	2,12009
3,35280	1,81722
3,36160	1,56320
3,37040	1,37757
3,37920	1,27010
3,38800	1,24079
3,39680	1,29941
3,40560	1,43619
3,41440	1,64136
3,42320	1,90515
3,43200	2,21779
3,44080	2,54020
3,44960	2,87238
3,45840	3,18502
3,46720	3,46835
3,47600	3,68329
3,48480	3,82984
3,49360	3,90800
3,50240	3,89823
3,51120	3,80053
3,52000	3,62467
3,52880	3,38042
3,53760	3,08732
3,54640	2,75514
3,55520	2,39365
3,56400	2,04193
3,57280	1,71952
3,58160	1,43619
3,59040	1,22125
3,59920	1,08447
3,60800	1,02585
3,61680	1,05516
3,62560	1,16263
3,63440	1,33849
3,64320	1,57297
3,65200	1,84653
3,66080	2,14940
3,66960	2,45227
3,67840	2,73560
3,68720	2,99939
3,69600	3,19479
3,70480	3,35111
3,71360	3,42927
3,72240	3,43904
3,73120	3,38042
3,74000	3,25341
3,74880	3,07755
3,75760	2,84307
3,76640	2,56951
3,77520	2,28618
3,78400	1,97354
3,79280	1,68044
3,80160	1,42642
3,81040	1,21148
3,81920	1,05516
3,82800	0,967230
3,83680	0,967230
3,84560	1,03562
3,85440	1,19194
3,86320	1,39711
3,87200	1,67067
3,88080	1,99308
3,88960	2,33503
3,89840	2,68675
3,90720	3,02870
3,91600	3,33157
3,92480	3,57582
3,93360	3,77122
3,94240	3,87869
3,95120	3,90800
3,96000	3,83961
3,96880	3,69306
3,97760	3,48789
3,98640	3,21433
3,99520	2,90169
4,00400	2,57928
4,01280	2,24710
4,02160	1,93446
4,03040	1,66090
4,03920	1,44596
4,04800	1,28964
4,05680	1,22125
4,06560	1,23102
4,07440	1,31895
4,08320	1,48504
4,09200	1,71952
4,10080	2,00285
4,10960	2,32526
4,11840	2,67698
4,12720	3,02870
4,13600	3,35111
4,14480	3,65398
4,15360	3,88846
4,16240	4,06432
4,17120	4,16202
4,18000	4,18156
4,18880	4,12294
4,19760	3,97639
4,20640	3,76145
4,21520	3,48789
4,22400	3,18502
4,23280	2,83330
4,24160	2,49135
4,25040	2,16894
4,25920	1,88561
4,26800	1,65113
4,27680	1,48504
4,28560	1,37757
4,29440	1,35803
4,30320	1,41665
4,31200	1,53389
4,32080	1,72929
4,32960	1,95400
4,33840	2,21779
4,34720	2,51089
4,35600	2,80399
4,36480	3,06778
4,37360	3,31203
4,38240	3,49766
4,39120	3,64421
4,40000	3,71260
4,40880	3,71260
4,41760	3,64421
4,42640	3,50743
4,43520	3,30226
4,44400	3,05801
4,45280	2,78445
4,46160	2,48158
4,47040	2,17871
4,47920	1,89538
4,48800	1,64136
4,49680	1,44596
4,50560	1,30918
4,51440	1,25056
4,52320	1,26033
4,53200	1,35803
4,54080	1,52412
4,54960	1,74883
4,55840	2,03216
4,56720	2,34480
4,57600	2,68675
4,58480	3,01893
4,59360	3,33157
4,60240	3,60513
4,61120	3,82007
4,62000	3,96662
4,62880	4,03501
4,63760	4,02524
4,64640	3,93731
4,65520	3,77122
4,66400	3,53674
4,67280	3,24364
4,68160	2,92123
4,69040	2,57928
4,69920	2,22756
4,70800	1,89538
4,71680	1,60228
4,72560	1,36780
4,73440	1,19194
4,74320	1,09424
4,75200	1,08447
4,76080	1,15286
4,76960	1,29941
4,77840	1,51435
4,78720	1,78791
4,79600	2,10055
4,80480	2,44250
4,81360	2,78445
4,82240	3,11663
4,83120	3,41950
4,84000	3,65398
4,84880	3,84938
4,85760	3,96662
4,86640	3,99593
4,87520	3,93731
4,88400	3,80053
4,89280	3,58559
4,90160	3,30226
4,91040	2,97985
4,91920	2,61836
4,92800	2,25687
4,93680	1,89538
4,94560	1,57297
4,95440	1,30918
4,96320	1,09424
4,97200	0,957460
4,98080	0,898840
4,98960	0,908610
4,99840	1,00631
5,00720	1,17240
5,01600	1,38734
5,02480	1,66090
5,03360	1,96377
5,04240	2,26664
5,05120	2,57928
5,06000	2,86261
5,06880	3,10686
5,07760	3,31203
5,08640	3,44881
5,09520	3,52697
5,10400	3,52697
5,11280	3,44881
5,12160	3,30226
5,13040	3,10686
5,13920	2,85284
5,14800	2,56951
5,15680	2,26664
5,16560	1,96377
5,17440	1,68044
5,18320	1,42642
5,19200	1,22125
5,20080	1,08447
5,20960	1,02585
5,21840	1,04539
5,22720	1,14309
5,23600	1,30918
5,24480	1,54366
5,25360	1,83676
5,26240	2,16894
5,27120	2,52066
5,28000	2,87238
5,28880	3,20456
5,29760	3,49766
5,30640	3,74191
5,31520	3,91777
5,32400	4,01547
5,33280	4,03501
5,34160	3,96662
5,35040	3,82984
5,35920	3,61490
5,36800	3,35111
5,37680	3,04824
5,38560	2,71606
5,39440	2,38388
5,40320	2,06147
5,41200	1,77814
5,42080	1,54366
5,42960	1,36780
5,43840	1,27987
5,44720	1,25056
5,45600	1,30918
5,46480	1,44596
5,47360	1,64136
5,48240	1,91492
5,49120	2,22756
5,50000	2,56951
5,50880	2,92123
5,51760	3,26318
5,52640	3,58559
5,53520	3,85915
5,54400	4,07409
5,55280	4,21087
5,56160	4,27926
5,57040	4,25972
5,57920	4,15225
5,58800	3,97639
5,59680	3,73214
5,60560	3,44881
5,61440	3,11663
5,62320	2,78445
5,63200	2,44250
5,64080	2,12986
5,64960	1,84653
5,65840	1,63159
5,66720	1,48504
5,67600	1,40688
5,68480	1,41665
5,69360	1,48504
5,70240	1,62182
5,71120	1,82699
5,72000	2,06147
5,72880	2,33503
5,73760	2,61836
5,74640	2,89192
5,75520	3,16548
5,76400	3,39019
5,77280	3,56605
5,78160	3,69306
5,79040	3,76145
5,79920	3,75168
5,80800	3,68329
5,81680	3,53674
5,82560	3,34134
5,83440	3,09709
5,84320	2,82353
5,85200	2,52066
5,86080	2,21779
5,86960	1,93446
5,87840	1,67067
5,88720	1,46550
5,89600	1,31895
5,90480	1,24079
5,91360	1,23102
5,92240	1,30918
5,93120	1,45573
5,94000	1,68044
5,94880	1,95400
5,95760	2,26664
5,96640	2,59882
5,97520	2,94077
5,98400	3,25341
5,99280	3,54651
6,00160	3,79076
6,01040	3,96662
6,01920	4,06432
6,02800	4,08386
6,03680	4,03501
6,04560	3,88846
6,05440	3,67352
6,06320	3,39019
6,07200	3,07755
6,08080	2,73560
6,08960	2,39365
6,09840	2,05170
6,10720	1,76837
6,11600	1,50458
6,12480	1,32872
6,13360	1,23102
6,14240	1,22125
6,15120	1,28964
6,16000	1,42642
6,16880	1,65113
6,17760	1,91492
6,18640	2,22756
6,19520	2,55974
6,20400	2,88215
6,21280	3,20456
6,22160	3,47812
6,23040	3,71260
6,23920	3,87869
6,24800	3,97639
6,25680	3,99593
6,26560	3,93731
6,27440	3,79076
6,28320	3,57582
6,29200	3,29249
6,30080	2,97008
6,30960	2,62813
6,31840	2,27641
6,32720	1,93446
6,33600	1,63159
6,34480	1,36780
6,35360	1,16263
6,36240	1,04539
6,37120	0,996540
6,38000	1,04539
6,38880	1,17240
6,39760	1,36780
6,40640	1,62182
6,41520	1,92469
6,42400	2,24710
6,43280	2,57928
6,44160	2,90169
6,45040	3,18502
6,45920	3,43904
6,46800	3,62467
6,47680	3,74191
6,48560	3,78099
6,49440	3,75168
6,50320	3,63444
6,51200	3,45858
6,52080	3,22410
6,52960	2,93100
6,53840	2,62813
6,54720	2,28618
6,55600	1,96377
6,56480	1,64136
6,57360	1,36780
6,58240	1,14309
6,59120	0,967230
6,60000	0,869530
6,60880	0,830450
6,61760	0,859760
6,62640	0,967230
6,63520	1,13332
6,64400	1,36780
6,65280	1,65113
6,66160	1,96377
6,67040	2,29595
6,67920	2,62813
6,68800	2,94077
6,69680	3,22410
6,70560	3,45858
6,71440	3,63444
6,72320	3,75168
6,73200	3,79076
6,74080	3,76145
6,74960	3,64421
6,75840	3,46835
6,76720	3,24364
6,77600	2,96031
6,78480	2,64767
6,79360	2,32526
6,80240	2,01262
6,81120	1,71952
6,82000	1,46550
6,82880	1,26033
6,83760	1,12355
6,84640	1,05516
6,85520	1,06493
6,86400	1,15286
6,87280	1,29941
6,88160	1,52412
6,89040	1,79768
6,89920	2,11032
6,90800	2,44250
6,91680	2,78445
6,92560	3,10686
6,93440	3,41950
6,94320	3,68329
6,95200	3,90800
6,96080	4,04478
6,96960	4,12294
6,97840	4,12294
6,98720	4,05455
6,99600	3,90800
7,00480	3,70283
7,01360	3,44881
7,02240	3,16548
7,03120	2,84307
7,04000	2,52066
7,04880	2,20802
7,05760	1,91492
7,06640	1,66090
7,07520	1,46550
7,08400	1,32872
7,09280	1,26033
7,10160	1,27987
7,11040	1,34826
7,11920	1,50458
7,12800	1,70975
7,13680	1,98331
7,14560	2,28618
7,15440	2,62813
7,16320	2,97008
7,17200	3,31203
7,18080	3,62467
7,18960	3,89823
7,19840	4,13271
7,20720	4,27926
7,21600	4,36719
7,22480	4,37696
7,23360	4,30857
7,24240	4,17179
7,25120	3,96662
7,26000	3,70283
7,26880	3,39019
7,27760	3,05801
7,28640	2,73560
7,29520	2,38388
7,30400	2,08101
7,31280	1,81722
7,32160	1,59251
7,33040	1,43619
7,33920	1,32872
7,34800	1,30918
