Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\eisenfolie.txt
Date / time: 14.11.2024, 14:49:44
Sample: Eisenfolie
Comments: 90.4 mV
Channel #	Counts	Counts (folded)
      0	  33560	  67471
      1	  33200	  66677
      2	  33359	  66979
      3	  33536	  67075
      4	  33453	  67012
      5	  33659	  67568
      6	  33807	  67341
      7	  33711	  67351
      8	  33532	  66968
      9	  33775	  67496
     10	  33474	  67399
     11	  33934	  67746
     12	  33402	  67033
     13	  33428	  66710
     14	  33569	  67412
     15	  33625	  67140
     16	  33695	  67379
     17	  33529	  67124
     18	  33550	  67062
     19	  33718	  67413
     20	  33969	  67519
     21	  33614	  66974
     22	  33873	  67288
     23	  33507	  67149
     24	  33180	  66905
     25	  33704	  67560
     26	  33612	  66899
     27	  33718	  67530
     28	  33542	  66956
     29	  33761	  67106
     30	  33586	  66917
     31	  33544	  67206
     32	  33736	  67330
     33	  33877	  67228
     34	  33333	  66658
     35	  33624	  67025
     36	  33673	  67096
     37	  33660	  66903
     38	  33465	  66979
     39	  33575	  67360
     40	  33770	  67275
     41	  33408	  66911
     42	  33671	  67070
     43	  33640	  66956
     44	  33545	  67075
     45	  33377	  66769
     46	  33338	  66978
     47	  33439	  66924
     48	  33688	  67104
     49	  33718	  67314
     50	  33551	  67205
     51	  33887	  67820
     52	  33641	  66983
     53	  33603	  67027
     54	  33630	  67012
     55	  33665	  67010
     56	  33486	  66986
     57	  33389	  67102
     58	  33349	  66520
     59	  33433	  67228
     60	  33146	  66917
     61	  33508	  66638
     62	  33382	  67063
     63	  33573	  67090
     64	  33319	  66712
     65	  33240	  66968
     66	  33507	  67191
     67	  33101	  66479
     68	  33520	  67059
     69	  33578	  67027
     70	  33401	  66761
     71	  33215	  66545
     72	  33685	  67141
     73	  33480	  67183
     74	  33452	  67232
     75	  33786	  67381
     76	  33709	  67377
     77	  33506	  67075
     78	  33485	  66813
     79	  33332	  66235
     80	  33482	  67085
     81	  33480	  67152
     82	  33490	  66920
     83	  33965	  67452
     84	  33460	  67030
     85	  33688	  67438
     86	  33799	  67428
     87	  33685	  67369
     88	  33311	  66751
     89	  33873	  67332
     90	  33732	  67509
     91	  33831	  67313
     92	  33509	  66668
     93	  33481	  66822
     94	  33362	  66657
     95	  33840	  67474
     96	  33565	  66799
     97	  33534	  66971
     98	  33659	  67062
     99	  33953	  67156
    100	  33474	  67272
    101	  33604	  67443
    102	  33677	  67453
    103	  33573	  67393
    104	  33730	  67158
    105	  33558	  67403
    106	  33580	  67141
    107	  33637	  67285
    108	  33488	  67224
    109	  33291	  66962
    110	  33957	  67405
    111	  33275	  67005
    112	  33736	  67239
    113	  33792	  67182
    114	  33723	  67189
    115	  33613	  66866
    116	  33342	  67034
    117	  33855	  67237
    118	  33776	  67156
    119	  33581	  67058
    120	  33497	  67158
    121	  33705	  67201
    122	  33574	  67185
    123	  33396	  67195
    124	  33690	  67302
    125	  33848	  67444
    126	  33323	  67096
    127	  33636	  67263
    128	  33634	  67059
    129	  33531	  66923
    130	  33830	  66852
    131	  33798	  67093
    132	  33900	  67611
    133	  33400	  66585
    134	  33506	  67005
    135	  33667	  67331
    136	  33617	  67405
    137	  33555	  66896
    138	  33545	  66989
    139	  33592	  67143
    140	  33551	  67028
    141	  33841	  67408
    142	  33667	  67063
    143	  33405	  67032
    144	  33808	  67331
    145	  33627	  67058
    146	  33338	  66968
    147	  33411	  67004
    148	  33419	  66610
    149	  33416	  67241
    150	  33767	  67007
    151	  33820	  67323
    152	  33532	  67096
    153	  33719	  67232
    154	  33499	  67108
    155	  33444	  67048
    156	  33688	  67348
    157	  33830	  67416
    158	  33542	  67249
    159	  33850	  67321
    160	  33522	  66847
    161	  33656	  67036
    162	  33555	  67008
    163	  33444	  66940
    164	  33434	  66923
    165	  33365	  66596
    166	  33333	  66847
    167	  33811	  66937
    168	  33626	  67156
    169	  33727	  67102
    170	  33766	  66987
    171	  33880	  67076
    172	  33635	  66889
    173	  33633	  67331
    174	  33575	  67433
    175	  33508	  66737
    176	  33581	  67111
    177	  34029	  67502
    178	  33888	  67274
    179	  33726	  67482
    180	  33680	  67309
    181	  33563	  66617
    182	  33682	  67071
    183	  33544	  66814
    184	  33461	  66737
    185	  33696	  66855
    186	  33428	  66380
    187	  33143	  66696
    188	  33371	  66203
    189	  33678	  67044
    190	  33108	  65680
    191	  32852	  65113
    192	  33214	  65279
    193	  32716	  63465
    194	  32027	  60895
    195	  31006	  58454
    196	  29035	  55771
    197	  27715	  55959
    198	  26987	  57006
    199	  28049	  59542
    200	  30141	  62645
    201	  31561	  63995
    202	  31918	  64223
    203	  32292	  65386
    204	  32977	  66001
    205	  33040	  65957
    206	  33129	  66418
    207	  33286	  66500
    208	  33248	  66494
    209	  33588	  66846
    210	  33223	  66380
    211	  33238	  66700
    212	  33422	  66845
    213	  33284	  66547
    214	  33560	  66967
    215	  33510	  66577
    216	  33181	  66190
    217	  33187	  65910
    218	  33141	  65564
    219	  33013	  64143
    220	  32285	  61917
    221	  31497	  60112
    222	  29924	  58633
    223	  28372	  58799
    224	  28483	  60082
    225	  29881	  61992
    226	  31753	  64577
    227	  32273	  65178
    228	  33082	  66366
    229	  32939	  66232
    230	  33257	  66311
    231	  33417	  66672
    232	  33441	  66802
    233	  33064	  66602
    234	  33667	  66733
    235	  33089	  66451
    236	  33350	  67103
    237	  33661	  67132
    238	  33574	  67126
    239	  33212	  66382
    240	  33901	  67244
    241	  33120	  66089
    242	  33508	  66441
    243	  33213	  65920
    244	  33154	  65544
    245	  33037	  63948
    246	  32691	  63144
    247	  31120	  61389
    248	  30311	  62049
    249	  30577	  63020
    250	  31677	  64564
    251	  32283	  65590
    252	  33199	  66529
    253	  33103	  66504
    254	  33195	  66289
    255	  33461	  66442
    256	  33574	  66789
    257	  33713	  66788
    258	  33386	  66569
    259	  33273	  66568
    260	  33627	  66901
    261	  32840	  65847
    262	  33248	  65947
    263	  33222	  64941
    264	  32761	  63382
    265	  31780	  61612
    266	  30543	  61794
    267	  29937	  62160
    268	  30919	  63687
    269	  32495	  65874
    270	  33198	  66162
    271	  33217	  66309
    272	  33435	  66691
    273	  33341	  66776
    274	  33147	  66337
    275	  33670	  67065
    276	  33665	  67173
    277	  33393	  66507
    278	  33472	  66856
    279	  33514	  66682
    280	  33581	  67157
    281	  33672	  66775
    282	  33396	  66759
    283	  33443	  66229
    284	  33546	  66256
    285	  33021	  65595
    286	  33130	  66019
    287	  32930	  64204
    288	  32714	  63080
    289	  32161	  60976
    290	  30643	  58896
    291	  28774	  57865
    292	  27853	  59339
    293	  29183	  61662
    294	  30880	  63645
    295	  32326	  65410
    296	  33110	  66503
    297	  32913	  66037
    298	  32884	  66127
    299	  33081	  66381
    300	  33179	  66452
    301	  33580	  66746
    302	  33342	  66334
    303	  33392	  66722
    304	  33427	  66719
    305	  33359	  66929
    306	  33414	  66553
    307	  33268	  66301
    308	  33308	  66079
    309	  32952	  65728
    310	  33039	  65443
    311	  32707	  64894
    312	  32656	  64228
    313	  32284	  62857
    314	  31644	  60698
    315	  31193	  58444
    316	  29278	  56327
    317	  27630	  56303
    318	  27088	  57680
    319	  28335	  60290
    320	  29946	  62461
    321	  31624	  64272
    322	  32499	  65161
    323	  32557	  65930
    324	  32795	  65866
    325	  33271	  66706
    326	  33347	  66878
    327	  33171	  66462
    328	  33327	  66806
    329	  33720	  67234
    330	  33324	  66634
    331	  33602	  66961
    332	  33513	  66660
    333	  33650	  67219
    334	  33866	  67440
    335	  33538	  66838
    336	  33292	  66682
    337	  33475	  67442
    338	  33512	  67279
    339	  33870	  67645
    340	  33356	  66885
    341	  33687	  67154
    342	  33689	  67053
    343	  33762	  67371
    344	  33523	  67079
    345	  33614	  67292
    346	  33293	  66855
    347	  33809	  67227
    348	  33392	  66969
    349	  33571	  66733
    350	  33755	  67382
    351	  33590	  67087
    352	  33633	  67184
    353	  33769	  67125
    354	  33204	  66282
    355	  33489	  66804
    356	  33664	  67372
    357	  33372	  66676
    358	  33924	  67053
    359	  33650	  67100
    360	  33272	  66781
    361	  33361	  66863
    362	  33312	  66701
    363	  33774	  67138
    364	  33176	  66284
    365	  33578	  67021
    366	  33559	  67247
    367	  33370	  66894
    368	  33263	  66702
    369	  33367	  66973
    370	  33682	  67131
    371	  33803	  67133
    372	  33500	  66989
    373	  33776	  67254
    374	  33792	  67328
    375	  33684	  67357
    376	  33694	  67160
    377	  33594	  67084
    378	  33652	  66975
    379	  33602	  67208
    380	  33513	  67136
    381	  34118	  67518
    382	  33767	  67488
    383	  33836	  67021
    384	  33614	  67210
    385	  33478	  66731
    386	  33264	  66499
    387	  33506	  67204
    388	  33427	  67046
    389	  33480	  67263
    390	  33674	  67150
    391	  33789	  67548
    392	  33608	  67417
    393	  33634	  67224
    394	  33737	  67560
    395	  33708	  67382
    396	  33547	  66740
    397	  33647	  66996
    398	  33572	  67270
    399	  33434	  66678
    400	  33631	  66999
    401	  33672	  67403
    402	  33689	  66872
    403	  33687	  67126
    404	  33837	  67372
    405	  33347	  66807
    406	  33424	  67209
    407	  33581	  66949
    408	  33408	  67097
    409	  34159	  67732
    410	  33385	  66503
    411	  33442	  66972
    412	  33798	  67605
    413	  33361	  66843
    414	  33402	  67194
    415	  33842	  67263
    416	  33431	  67037
    417	  33848	  67545
    418	  33484	  66960
    419	  33471	  67034
    420	  33802	  66970
    421	  33416	  67042
    422	  33327	  66785
    423	  33950	  67913
    424	  33617	  67103
    425	  33454	  67193
    426	  33473	  66891
    427	  33622	  67094
    428	  33600	  67297
    429	  33429	  66639
    430	  33566	  67007
    431	  33519	  67331
    432	  33421	  67241
    433	  33356	  66826
    434	  33800	  67560
    435	  33683	  66971
    436	  33740	  67349
    437	  33574	  66899
    438	  33818	  67132
    439	  33465	  67410
    440	  33484	  67040
    441	  33146	  66387
    442	  33396	  66910
    443	  33257	  66619
    444	  33547	  66771
    445	  33529	  66924
    446	  33537	  67005
    447	  33736	  67055
    448	  33899	  67343
    449	  33414	  66822
    450	  33672	  67348
    451	  33423	  66948
    452	  33492	  66805
    453	  33577	  67373
    454	  33339	  66815
    455	  33487	  66840
    456	  33484	  66802
    457	  33671	  67560
    458	  33326	  66835
    459	  33597	  67385
    460	  33495	  67292
    461	  33495	  67126
    462	  33685	  67172
    463	  33273	  66725
    464	  33558	  67124
    465	  33781	  67231
    466	  33476	  67221
    467	  33723	  67431
    468	  33558	  66941
    469	  33496	  67046
    470	  33768	  67274
    471	  33534	  67231
    472	  32887	  66451
    473	  33489	  67100
    474	  33579	  66956
    475	  33525	  67471
    476	  33391	  66817
    477	  33492	  66958
    478	  33250	  67012
    479	  33514	  66908
    480	  33809	  67184
    481	  33432	  66977
    482	  33691	  67064
    483	  33850	  67790
    484	  33546	  66943
    485	  33842	  67581
    486	  33841	  67597
    487	  33501	  67308
    488	  33796	  67230
    489	  33608	  67262
    490	  33582	  67222
    491	  33434	  66945
    492	  33664	  67413
    493	  33532	  67113
    494	  33490	  67256
    495	  34081	  67677
    496	  33469	  67289
    497	  33384	  66949
    498	  33424	  67317
    499	  33817	  67450
    500	  33606	  67024
    501	  33583	  67241
    502	  33366	  67116
    503	  33496	  67351
    504	  33340	  67068
    505	  33383	  66412
    506	  33555	  67182
    507	  33557	  66963
    508	  33695	  67485
    509	  33814	  67313
    510	  33948	  67419
    511	  33439	  66899
    512	  33460	      0
    513	  33471	      0
    514	  33499	      0
    515	  33790	      0
    516	  33406	      0
    517	  33627	      0
    518	  33029	      0
    519	  33728	      0
    520	  33855	      0
    521	  33750	      0
    522	  33658	      0
    523	  33418	      0
    524	  33633	      0
    525	  33893	      0
    526	  33565	      0
    527	  33820	      0
