TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-13.0254	37870	-13.0254	37839	-13.0254	37839
-13.0242	37514	-13.0242	37839	-13.0242	37839
-13.0225	37605	-13.0225	37839	-13.0225	37839
-13.0203	38242	-13.0203	37839	-13.0203	37839
-13.0176	37923	-13.0176	37839	-13.0176	37839
-13.0144	37664	-13.0144	37838.9	-13.0144	37838.9
-13.0107	38027	-13.0107	37838.9	-13.0107	37838.9
-13.0065	37916	-13.0065	37838.9	-13.0065	37838.9
-13.0019	37991	-13.0019	37838.9	-13.0019	37838.9
-12.9967	37812	-12.9967	37838.9	-12.9967	37838.9
-12.9911	38093	-12.9911	37838.9	-12.9911	37838.9
-12.985	38041	-12.985	37838.8	-12.985	37838.8
-12.9784	37556	-12.9784	37838.8	-12.9784	37838.8
-12.9713	37664	-12.9713	37838.8	-12.9713	37838.8
-12.9637	38054	-12.9637	37838.7	-12.9637	37838.7
-12.9556	38021	-12.9556	37838.7	-12.9556	37838.7
-12.947	37930	-12.947	37838.7	-12.947	37838.7
-12.938	37872	-12.938	37838.6	-12.938	37838.6
-12.9284	37889	-12.9284	37838.6	-12.9284	37838.6
-12.9184	38189	-12.9184	37838.6	-12.9184	37838.6
-12.9079	37607	-12.9079	37838.5	-12.9079	37838.5
-12.8969	37753	-12.8969	37838.5	-12.8969	37838.5
-12.8854	37874	-12.8854	37838.4	-12.8854	37838.4
-12.8734	37725	-12.8734	37838.4	-12.8734	37838.4
-12.861	37724	-12.861	37838.3	-12.861	37838.3
-12.848	37995	-12.848	37838.3	-12.848	37838.3
-12.8346	37853	-12.8346	37838.2	-12.8346	37838.2
-12.8207	37662	-12.8207	37838.1	-12.8207	37838.1
-12.8063	37912	-12.8063	37838.1	-12.8063	37838.1
-12.7915	38056	-12.7915	37838	-12.7915	37838
-12.7761	37661	-12.7761	37837.9	-12.7761	37837.9
-12.7603	37792	-12.7603	37837.9	-12.7603	37837.9
-12.744	37572	-12.744	37837.8	-12.744	37837.8
-12.7272	37947	-12.7272	37837.7	-12.7272	37837.7
-12.7099	37893	-12.7099	37837.6	-12.7099	37837.6
-12.6921	37813	-12.6921	37837.6	-12.6921	37837.6
-12.6739	37811	-12.6739	37837.5	-12.6739	37837.5
-12.6552	38093	-12.6552	37837.4	-12.6552	37837.4
-12.636	38007	-12.636	37837.3	-12.636	37837.3
-12.6164	37668	-12.6164	37837.2	-12.6164	37837.2
-12.5962	37820	-12.5962	37837.1	-12.5962	37837.1
-12.5756	37672	-12.5756	37837	-12.5756	37837
-12.5545	37732	-12.5545	37836.9	-12.5545	37836.9
-12.533	37927	-12.533	37836.8	-12.533	37836.8
-12.511	37999	-12.511	37836.7	-12.511	37836.7
-12.4885	37910	-12.4885	37836.6	-12.4885	37836.6
-12.4655	37723	-12.4655	37836.4	-12.4655	37836.4
-12.4421	37611	-12.4421	37836.3	-12.4421	37836.3
-12.4181	37918	-12.4181	37836.2	-12.4181	37836.2
-12.3938	38068	-12.3938	37836	-12.3938	37836
-12.3689	37776	-12.3689	37835.9	-12.3689	37835.9
-12.3436	37651	-12.3436	37835.7	-12.3436	37835.7
-12.3179	38018	-12.3179	37835.6	-12.3179	37835.6
-12.2916	38048	-12.2916	37835.4	-12.2916	37835.4
-12.2649	37905	-12.2649	37835.3	-12.2649	37835.3
-12.2378	37518	-12.2378	37835.1	-12.2378	37835.1
-12.2102	37686	-12.2102	37834.9	-12.2102	37834.9
-12.1821	38245	-12.1821	37834.8	-12.1821	37834.8
-12.1535	37659	-12.1535	37834.6	-12.1535	37834.6
-12.1245	37553	-12.1245	37834.4	-12.1245	37834.4
-12.0951	37927	-12.0951	37834.2	-12.0951	37834.2
-12.0652	37733	-12.0652	37834	-12.0652	37834
-12.0348	37786	-12.0348	37833.7	-12.0348	37833.7
-12.004	37812	-12.004	37833.5	-12.004	37833.5
-11.9727	37995	-11.9727	37833.3	-11.9727	37833.3
-11.941	38006	-11.941	37833	-11.941	37833
-11.9089	37919	-11.9089	37832.8	-11.9089	37832.8
-11.8762	37849	-11.8762	37832.5	-11.8762	37832.5
-11.8432	38024	-11.8432	37832.3	-11.8432	37832.3
-11.8097	37999	-11.8097	37832	-11.8097	37832
-11.7757	37804	-11.7757	37831.7	-11.7757	37831.7
-11.7413	38038	-11.7413	37831.4	-11.7413	37831.4
-11.7065	37336	-11.7065	37831.1	-11.7065	37831.1
-11.6712	38129	-11.6712	37830.7	-11.6712	37830.7
-11.6355	38125	-11.6355	37830.4	-11.6355	37830.4
-11.5993	37923	-11.5993	37830	-11.5993	37830
-11.5627	37801	-11.5627	37829.7	-11.5627	37829.7
-11.5257	37817	-11.5257	37829.3	-11.5257	37829.3
-11.4883	37271	-11.4883	37828.9	-11.4883	37828.9
-11.4504	37799	-11.4504	37828.5	-11.4504	37828.5
-11.412	37826	-11.412	37828	-11.412	37828
-11.3733	37774	-11.3733	37827.6	-11.3733	37827.6
-11.3341	37419	-11.3341	37827.1	-11.3341	37827.1
-11.2945	37885	-11.2945	37826.6	-11.2945	37826.6
-11.2545	37853	-11.2545	37826.1	-11.2545	37826.1
-11.214	37688	-11.214	37825.5	-11.214	37825.5
-11.1731	37994	-11.1731	37824.9	-11.1731	37824.9
-11.1318	37780	-11.1318	37824.3	-11.1318	37824.3
-11.0901	37426	-11.0901	37823.7	-11.0901	37823.7
-11.048	37900	-11.048	37823	-11.048	37823
-11.0054	37886	-11.0054	37822.3	-11.0054	37822.3
-10.9624	37626	-10.9624	37821.6	-10.9624	37821.6
-10.9191	37973	-10.9191	37820.8	-10.9191	37820.8
-10.8753	38003	-10.8753	37820	-10.8753	37820
-10.8311	38020	-10.8311	37819.1	-10.8311	37819.1
-10.7864	37836	-10.7864	37818.2	-10.7864	37818.2
-10.7414	38032	-10.7414	37817.2	-10.7414	37817.2
-10.696	37553	-10.696	37816.2	-10.696	37816.2
-10.6502	37832	-10.6502	37815.1	-10.6502	37815.1
-10.604	37758	-10.604	37813.9	-10.604	37813.9
-10.5573	37721	-10.5573	37812.7	-10.5573	37812.7
-10.5103	37845	-10.5103	37811.3	-10.5103	37811.3
-10.4629	37798	-10.4629	37809.9	-10.4629	37809.9
-10.4151	37920	-10.4151	37808.4	-10.4151	37808.4
-10.3669	37764	-10.3669	37806.8	-10.3669	37806.8
-10.3183	37772	-10.3183	37805.1	-10.3183	37805.1
-10.2693	37609	-10.2693	37803.2	-10.2693	37803.2
-10.2199	37821	-10.2199	37801.3	-10.2199	37801.3
-10.1702	37778	-10.1702	37799.1	-10.1702	37799.1
-10.1201	37477	-10.1201	37796.8	-10.1201	37796.8
-10.0695	38158	-10.0695	37794.3	-10.0695	37794.3
-10.0186	37645	-10.0186	37791.6	-10.0186	37791.6
-9.96738	38311	-9.96738	37788.6	-9.96738	37788.6
-9.91573	37911	-9.91573	37785.4	-9.91573	37785.4
-9.8637	37995	-9.8637	37781.9	-9.8637	37781.9
-9.81131	37639	-9.81131	37778	-9.81131	37778
-9.75855	37751	-9.75855	37773.7	-9.75855	37773.7
-9.70542	37867	-9.70542	37769	-9.70542	37769
-9.65193	37761	-9.65193	37763.8	-9.65193	37763.8
-9.59807	37816	-9.59807	37758	-9.59807	37758
-9.54385	37599	-9.54385	37751.6	-9.54385	37751.6
-9.48927	37921	-9.48927	37744.3	-9.48927	37744.3
-9.43433	37860	-9.43433	37736.1	-9.43433	37736.1
-9.37904	37462	-9.37904	37726.8	-9.37904	37726.8
-9.3234	37577	-9.3234	37716.3	-9.3234	37716.3
-9.2674	37666	-9.2674	37704.2	-9.2674	37704.2
-9.21106	37613	-9.21106	37690.2	-9.21106	37690.2
-9.15436	37724	-9.15436	37673.9	-9.15436	37673.9
-9.09733	37321	-9.09733	37654.8	-9.09733	37654.8
-9.03995	37687	-9.03995	37632.3	-9.03995	37632.3
-8.98223	37507	-8.98223	37605.3	-8.98223	37605.3
-8.92417	37525	-8.92417	37572.7	-8.92417	37572.7
-8.86578	37535	-8.86578	37532.8	-8.86578	37532.8
-8.80705	37628	-8.80705	37483.3	-8.80705	37483.3
-8.748	37374	-8.748	37420.8	-8.748	37420.8
-8.68861	37640	-8.68861	37340.5	-8.68861	37340.5
-8.62889	37251	-8.62889	37235.2	-8.62889	37235.2
-8.56885	36813	-8.56885	37093.6	-8.56885	37093.6
-8.50849	37444	-8.50849	36898.1	-8.50849	36898.1
-8.44781	36722	-8.44781	36619.9	-8.44781	36619.9
-8.38681	36114	-8.38681	36211.1	-8.38681	36211.1
-8.32549	35407	-8.32549	35594	-8.32549	35594
-8.26386	34444	-8.26386	34656.2	-8.26386	34656.2
-8.20192	33378	-8.20192	33316.5	-8.20192	33316.5
-8.13967	32410	-8.13967	31843.1	-8.13967	31843.1
-8.07711	32214	-8.07711	31249.2	-8.07711	31249.2
-8.01425	32579	-8.01425	32176.4	-8.01425	32176.4
-7.95109	33527	-7.95109	33704.6	-7.95109	33704.6
-7.88763	34888	-7.88763	34966.1	-7.88763	34966.1
-7.82387	35737	-7.82387	35821.5	-7.82387	35821.5
-7.75982	36325	-7.75982	36379.1	-7.75982	36379.1
-7.69547	37070	-7.69547	36747.6	-7.69547	36747.6
-7.63084	36828	-7.63084	36998.3	-7.63084	36998.3
-7.56592	37381	-7.56592	37174.3	-7.56592	37174.3
-7.50071	37226	-7.50071	37301.6	-7.50071	37301.6
-7.43522	37476	-7.43522	37396.1	-7.43522	37396.1
-7.36945	37143	-7.36945	37467.8	-7.36945	37467.8
-7.3034	37715	-7.3034	37523.3	-7.3034	37523.3
-7.23708	37627	-7.23708	37567	-7.23708	37567
-7.17049	37516	-7.17049	37601.9	-7.17049	37601.9
-7.10362	37537	-7.10362	37630.1	-7.10362	37630.1
-7.03649	37593	-7.03649	37653.2	-7.03649	37653.2
-6.96909	37587	-6.96909	37672.2	-6.96909	37672.2
-6.90143	37849	-6.90143	37687.9	-6.90143	37687.9
-6.83352	37910	-6.83352	37701	-6.83352	37701
-6.76534	37944	-6.76534	37712	-6.76534	37712
