Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\fe_3O_4.txt
Date / time: 18.11.2024, 14:33:24
Sample: Fe_3O_4
Comments: 80.0 mV
Channel #	Counts	Counts (folded)
      0	  74225	 148560
      1	  74741	 148727
      2	  74534	 148600
      3	  73962	 147658
      4	  73954	 147210
      5	  74270	 148273
      6	  74098	 148268
      7	  74407	 148681
      8	  74351	 148136
      9	  74073	 148447
     10	  74282	 148856
     11	  73766	 148055
     12	  74553	 148147
     13	  74289	 148798
     14	  74343	 148707
     15	  73973	 148090
     16	  74075	 148098
     17	  74226	 148223
     18	  74651	 149030
     19	  74260	 148430
     20	  74386	 148283
     21	  74182	 148290
     22	  74307	 148421
     23	  74273	 148376
     24	  74295	 148052
     25	  74332	 148556
     26	  74698	 148709
     27	  73983	 147943
     28	  74238	 148711
     29	  74359	 148427
     30	  74000	 147573
     31	  74190	 148684
     32	  74259	 148401
     33	  74142	 148384
     34	  74079	 148452
     35	  73894	 148104
     36	  74085	 148033
     37	  74532	 148843
     38	  74190	 148725
     39	  74453	 148771
     40	  74592	 148705
     41	  73984	 147925
     42	  74196	 148327
     43	  74572	 148388
     44	  74532	 148771
     45	  73771	 148001
     46	  73509	 147915
     47	  73846	 147920
     48	  73833	 148297
     49	  74384	 148117
     50	  74389	 148311
     51	  74225	 148158
     52	  74288	 148542
     53	  73820	 147328
     54	  74068	 147599
     55	  74325	 148446
     56	  74608	 148268
     57	  74636	 148995
     58	  74192	 148166
     59	  74147	 148660
     60	  74392	 147959
     61	  73749	 147510
     62	  73897	 147589
     63	  74066	 148216
     64	  74056	 148691
     65	  73982	 147844
     66	  73931	 148155
     67	  74505	 148982
     68	  74035	 147730
     69	  73973	 147634
     70	  74620	 148128
     71	  74396	 148474
     72	  74022	 148123
     73	  74527	 148556
     74	  74315	 148256
     75	  74268	 148151
     76	  74105	 148602
     77	  74073	 148157
     78	  74108	 147830
     79	  74363	 148369
     80	  73941	 147774
     81	  74166	 148070
     82	  74094	 148233
     83	  74276	 148146
     84	  74417	 148269
     85	  73994	 148893
     86	  74470	 148488
     87	  73774	 147910
     88	  73783	 148032
     89	  74250	 147779
     90	  74380	 148294
     91	  74113	 147816
     92	  74178	 148019
     93	  74287	 147951
     94	  74097	 147959
     95	  74521	 148930
     96	  73883	 147637
     97	  73851	 148003
     98	  74179	 148519
     99	  73961	 148110
    100	  73755	 147411
    101	  74149	 148631
    102	  74526	 148540
    103	  74489	 148452
    104	  74193	 147809
    105	  73851	 148036
    106	  74479	 147998
    107	  74333	 148673
    108	  74020	 147431
    109	  74162	 148078
    110	  73953	 148126
    111	  74182	 147925
    112	  73832	 147973
    113	  74256	 148268
    114	  73695	 147623
    115	  74199	 147749
    116	  74426	 148707
    117	  73949	 147770
    118	  73877	 147425
    119	  74415	 148648
    120	  74226	 147994
    121	  73735	 148087
    122	  74087	 147780
    123	  73693	 147517
    124	  73871	 147343
    125	  74226	 148288
    126	  74104	 148099
    127	  74028	 147298
    128	  73968	 147845
    129	  73640	 147535
    130	  73789	 147698
    131	  73514	 147172
    132	  73734	 147012
    133	  74089	 147446
    134	  73942	 147062
    135	  73539	 146979
    136	  73671	 145963
    137	  73715	 145929
    138	  73597	 145157
    139	  73085	 143850
    140	  72750	 143062
    141	  72808	 141577
    142	  71836	 138661
    143	  71631	 136795
    144	  70703	 134664
    145	  68878	 133820
