TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line	Subspectrum3-x_line	Subspectrum3-y_line
-13.0254	148409	-13.0254	148384	-13.0254	148396	-13.0254	148406
-13.0242	147990	-13.0242	148384	-13.0242	148396	-13.0242	148406
-13.0225	148585	-13.0225	148384	-13.0225	148396	-13.0225	148406
-13.0203	148774	-13.0203	148384	-13.0203	148396	-13.0203	148406
-13.0176	148531	-13.0176	148384	-13.0176	148396	-13.0176	148406
-13.0144	148112	-13.0144	148384	-13.0144	148396	-13.0144	148406
-13.0107	148454	-13.0107	148384	-13.0107	148396	-13.0107	148406
-13.0065	148629	-13.0065	148384	-13.0065	148396	-13.0065	148405
-13.0019	148987	-13.0019	148384	-13.0019	148396	-13.0019	148405
-12.9967	149227	-12.9967	148384	-12.9967	148396	-12.9967	148405
-12.9911	148867	-12.9911	148384	-12.9911	148396	-12.9911	148405
-12.985	148636	-12.985	148384	-12.985	148396	-12.985	148405
-12.9784	148458	-12.9784	148384	-12.9784	148396	-12.9784	148405
-12.9713	148067	-12.9713	148384	-12.9713	148396	-12.9713	148405
-12.9637	148538	-12.9637	148384	-12.9637	148396	-12.9637	148405
-12.9556	148124	-12.9556	148384	-12.9556	148396	-12.9556	148405
-12.947	148041	-12.947	148384	-12.947	148396	-12.947	148405
-12.938	148612	-12.938	148384	-12.938	148396	-12.938	148405
-12.9284	147627	-12.9284	148383	-12.9284	148396	-12.9284	148405
-12.9184	147770	-12.9184	148383	-12.9184	148396	-12.9184	148405
-12.9079	148872	-12.9079	148383	-12.9079	148396	-12.9079	148405
-12.8969	148061	-12.8969	148383	-12.8969	148395	-12.8969	148405
-12.8854	147959	-12.8854	148383	-12.8854	148395	-12.8854	148405
-12.8734	148357	-12.8734	148383	-12.8734	148395	-12.8734	148405
-12.861	148412	-12.861	148383	-12.861	148395	-12.861	148405
-12.848	147823	-12.848	148383	-12.848	148395	-12.848	148405
-12.8346	148517	-12.8346	148383	-12.8346	148395	-12.8346	148405
-12.8207	147984	-12.8207	148382	-12.8207	148395	-12.8207	148405
-12.8063	148157	-12.8063	148382	-12.8063	148395	-12.8063	148405
-12.7915	148605	-12.7915	148382	-12.7915	148395	-12.7915	148405
-12.7761	148639	-12.7761	148382	-12.7761	148395	-12.7761	148405
-12.7603	148416	-12.7603	148382	-12.7603	148395	-12.7603	148405
-12.744	148298	-12.744	148382	-12.744	148395	-12.744	148404
-12.7272	147630	-12.7272	148381	-12.7272	148394	-12.7272	148404
-12.7099	148482	-12.7099	148381	-12.7099	148394	-12.7099	148404
-12.6921	148238	-12.6921	148381	-12.6921	148394	-12.6921	148404
-12.6739	148684	-12.6739	148381	-12.6739	148394	-12.6739	148404
-12.6552	148427	-12.6552	148381	-12.6552	148394	-12.6552	148404
-12.636	148158	-12.636	148380	-12.636	148394	-12.636	148404
-12.6164	148898	-12.6164	148380	-12.6164	148394	-12.6164	148404
-12.5962	148176	-12.5962	148380	-12.5962	148394	-12.5962	148404
-12.5756	148370	-12.5756	148380	-12.5756	148393	-12.5756	148404
-12.5545	148520	-12.5545	148380	-12.5545	148393	-12.5545	148404
-12.533	148330	-12.533	148379	-12.533	148393	-12.533	148404
-12.511	149063	-12.511	148379	-12.511	148393	-12.511	148403
-12.4885	147904	-12.4885	148379	-12.4885	148393	-12.4885	148403
-12.4655	148956	-12.4655	148378	-12.4655	148393	-12.4655	148403
