Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\gelbes_bls.txt
Date / time: 20.11.2024, 10:01:45
Sample: Gelbes Bls
Comments: 20,0 mV
Channel #	Counts	Counts (folded)
      0	  14904	  30410
      1	  15144	  30117
      2	  15249	  30412
      3	  14855	  30160
      4	  15297	  30448
      5	  14953	  29998
      6	  15288	  30174
      7	  14958	  30158
      8	  15067	  30412
      9	  15195	  30485
     10	  15348	  30115
     11	  15183	  30695
     12	  14986	  29890
     13	  15393	  30307
     14	  14971	  30255
     15	  15165	  30421
     16	  15096	  30462
     17	  15070	  30568
     18	  15163	  30236
     19	  15270	  30036
     20	  14881	  30183
     21	  14911	  30184
     22	  15178	  30006
     23	  15012	  29869
     24	  14928	  30238
     25	  14874	  29996
     26	  15059	  30228
     27	  14991	  30427
     28	  15099	  30349
     29	  15244	  30185
     30	  15316	  30432
     31	  15108	  30065
     32	  15235	  30441
     33	  14955	  30181
     34	  15205	  29923
     35	  15019	  30046
     36	  14907	  30017
     37	  14980	  30166
     38	  14820	  30336
     39	  15197	  30099
     40	  15255	  30034
     41	  14934	  30065
     42	  15020	  30325
     43	  14967	  30063
     44	  15247	  30349
     45	  15082	  30059
     46	  15036	  30244
     47	  15033	  30053
     48	  15131	  30097
     49	  14975	  30218
     50	  15052	  30419
     51	  15207	  30352
     52	  15087	  30281
     53	  15144	  30332
     54	  15274	  29989
     55	  15126	  30372
     56	  15044	  29947
     57	  15116	  30599
     58	  14935	  30493
     59	  15184	  29908
     60	  15321	  30185
     61	  14996	  30241
     62	  15143	  30093
     63	  15007	  30430
     64	  15028	  29942
     65	  15206	  30017
     66	  14964	  30387
     67	  15000	  30271
     68	  15232	  29939
     69	  15033	  30346
     70	  14857	  30277
     71	  15130	  30463
     72	  15163	  30410
     73	  15232	  30117
     74	  15288	  30202
     75	  15251	  30378
     76	  15048	  30085
     77	  15347	  30104
     78	  14963	  30274
     79	  15123	  30382
     80	  15234	  30434
     81	  15119	  30045
     82	  15105	  30227
     83	  14913	  30110
     84	  14964	  30276
     85	  15074	  29844
     86	  15207	  29846
     87	  14878	  30498
     88	  14824	  30166
     89	  15359	  30104
     90	  15158	  30345
     91	  15232	  30124
     92	  15202	  30289
     93	  15000	  30224
     94	  15112	  30210
     95	  15056	  30071
     96	  15044	  30037
     97	  15130	  30664
     98	  14998	  30271
     99	  15428	  30233
    100	  15292	  29891
    101	  15044	  29980
    102	  14969	  30335
    103	  14970	  30371
    104	  15208	  29877
    105	  15263	  30498
    106	  14970	  30317
    107	  15259	  30336
    108	  15079	  30327
    109	  15292	  30243
    110	  15214	  30388
    111	  15123	  30139
    112	  15115	  30311
    113	  15065	  30314
    114	  15151	  30256
    115	  15254	  30339
    116	  15068	  30063
    117	  15124	  30446
    118	  15033	  30002
    119	  15283	  30193
    120	  15084	  30353
    121	  15173	  30071
