TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-3.25636	29978	-3.25636	30209.3	-3.25636	30209.3
-3.25605	30220	-3.25605	30209.3	-3.25605	30209.3
-3.25562	30167	-3.25562	30209.3	-3.25562	30209.3
-3.25507	29979	-3.25507	30209.3	-3.25507	30209.3
-3.25439	29951	-3.25439	30209.3	-3.25439	30209.3
-3.2536	30200	-3.2536	30209.3	-3.2536	30209.3
-3.25268	29990	-3.25268	30209.3	-3.25268	30209.3
-3.25164	30184	-3.25164	30209.3	-3.25164	30209.3
-3.25047	30415	-3.25047	30209.2	-3.25047	30209.2
-3.24919	30038	-3.24919	30209.2	-3.24919	30209.2
-3.24778	29907	-3.24778	30209.2	-3.24778	30209.2
-3.24625	30303	-3.24625	30209.2	-3.24625	30209.2
-3.24459	30105	-3.24459	30209.2	-3.24459	30209.2
-3.24282	30403	-3.24282	30209.2	-3.24282	30209.2
-3.24092	29987	-3.24092	30209.2	-3.24092	30209.2
-3.2389	30288	-3.2389	30209.2	-3.2389	30209.2
-3.23676	30335	-3.23676	30209.2	-3.23676	30209.2
-3.23449	30329	-3.23449	30209.1	-3.23449	30209.1
-3.23211	30339	-3.23211	30209.1	-3.23211	30209.1
-3.2296	30051	-3.2296	30209.1	-3.2296	30209.1
-3.22697	30082	-3.22697	30209.1	-3.22697	30209.1
-3.22422	30505	-3.22422	30209.1	-3.22422	30209.1
-3.22135	29864	-3.22135	30209.1	-3.22135	30209.1
-3.21836	30230	-3.21836	30209	-3.21836	30209
-3.21525	30075	-3.21525	30209	-3.21525	30209
-3.21201	30226	-3.21201	30209	-3.21201	30209
-3.20865	30214	-3.20865	30209	-3.20865	30209
-3.20518	30109	-3.20518	30209	-3.20518	30209
-3.20158	30109	-3.20158	30208.9	-3.20158	30208.9
-3.19786	30115	-3.19786	30208.9	-3.19786	30208.9
-3.19402	30181	-3.19402	30208.9	-3.19402	30208.9
-3.19007	30383	-3.19007	30208.9	-3.19007	30208.9
-3.18599	30313	-3.18599	30208.8	-3.18599	30208.8
-3.18179	30132	-3.18179	30208.8	-3.18179	30208.8
-3.17747	30299	-3.17747	30208.8	-3.17747	30208.8
-3.17303	30366	-3.17303	30208.8	-3.17303	30208.8
-3.16848	30237	-3.16848	30208.7	-3.16848	30208.7
-3.1638	30225	-3.1638	30208.7	-3.1638	30208.7
-3.159	30193	-3.159	30208.7	-3.159	30208.7
-3.15409	30259	-3.15409	30208.6	-3.15409	30208.6
-3.14906	29803	-3.14906	30208.6	-3.14906	30208.6
-3.1439	30285	-3.1439	30208.6	-3.1439	30208.6
-3.13863	30041	-3.13863	30208.5	-3.13863	30208.5
-3.13325	30117	-3.13325	30208.5	-3.13325	30208.5
-3.12774	29955	-3.12774	30208.5	-3.12774	30208.5
-3.12211	30482	-3.12211	30208.4	-3.12211	30208.4
-3.11637	30444	-3.11637	30208.4	-3.11637	30208.4
-3.11051	30281	-3.11051	30208.3	-3.11051	30208.3
-3.10454	30147	-3.10454	30208.3	-3.10454	30208.3
-3.09844	30292	-3.09844	30208.3	-3.09844	30208.3
-3.09223	30016	-3.09223	30208.2	-3.09223	30208.2
-3.08591	30189	-3.08591	30208.2	-3.08591	30208.2
-3.07946	30310	-3.07946	30208.1	-3.07946	30208.1
-3.07291	30431	-3.07291	30208.1	-3.07291	30208.1
-3.06623	30082	-3.06623	30208	-3.06623	30208
-3.05944	30247	-3.05944	30208	-3.05944	30208
-3.05254	29955	-3.05254	30207.9	-3.05254	30207.9
-3.04552	30299	-3.04552	30207.9	-3.04552	30207.9
-3.03838	30478	-3.03838	30207.8	-3.03838	30207.8
-3.03114	30137	-3.03114	30207.8	-3.03114	30207.8
-3.02377	30050	-3.02377	30207.7	-3.02377	30207.7
-3.0163	30322	-3.0163	30207.7	-3.0163	30207.7
-3.00871	30047	-3.00871	30207.6	-3.00871	30207.6
-3.001	29863	-3.001	30207.6	-3.001	30207.6
-2.99319	29919	-2.99319	30207.5	-2.99319	30207.5
-2.98526	30091	-2.98526	30207.4	-2.98526	30207.4
-2.97722	30408	-2.97722	30207.4	-2.97722	30207.4
-2.96906	30091	-2.96906	30207.3	-2.96906	30207.3
-2.9608	30440	-2.9608	30207.2	-2.9608	30207.2
-2.95242	30164	-2.95242	30207.2	-2.95242	30207.2
-2.94393	30197	-2.94393	30207.1	-2.94393	30207.1
-2.93533	30143	-2.93533	30207	-2.93533	30207
-2.92662	30118	-2.92662	30207	-2.92662	30207
-2.9178	30164	-2.9178	30206.9	-2.9178	30206.9
-2.90887	30343	-2.90887	30206.8	-2.90887	30206.8
-2.89983	30434	-2.89983	30206.7	-2.89983	30206.7
-2.89069	30465	-2.89069	30206.7	-2.89069	30206.7
-2.88143	30000	-2.88143	30206.6	-2.88143	30206.6
-2.87207	30495	-2.87207	30206.5	-2.87207	30206.5
-2.86259	30127	-2.86259	30206.4	-2.86259	30206.4
-2.85301	30380	-2.85301	30206.3	-2.85301	30206.3
-2.84332	30336	-2.84332	30206.2	-2.84332	30206.2
-2.83352	30268	-2.83352	30206.2	-2.83352	30206.2
-2.82362	30307	-2.82362	30206.1	-2.82362	30206.1
-2.81361	30497	-2.81361	30206	-2.81361	30206
-2.8035	30296	-2.8035	30205.9	-2.8035	30205.9
-2.79328	30450	-2.79328	30205.8	-2.79328	30205.8
