Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\rotes_bls.txt
Date / time: 19.11.2024, 16:07:00
Sample: Rotes Bls
Comments: 8.2 mV
Channel #	Counts	Counts (folded)
      0	  19473	  39280
      1	  19343	  39487
      2	  19656	  39146
      3	  19601	  39219
      4	  19551	  39486
      5	  19650	  39188
      6	  19802	  39117
      7	  19640	  39480
      8	  19520	  39061
      9	  19830	  38658
     10	  19544	  38983
     11	  19314	  39312
     12	  19475	  39148
     13	  19684	  38674
     14	  19678	  38960
     15	  19287	  39124
     16	  19437	  39339
     17	  19522	  39041
     18	  19595	  39201
     19	  19417	  39180
     20	  19589	  39015
     21	  19594	  39228
     22	  19750	  39545
     23	  19618	  39253
     24	  19822	  38823
     25	  19401	  39092
     26	  19434	  38921
     27	  19585	  39610
     28	  19498	  38991
     29	  19852	  39086
     30	  19337	  39123
     31	  19548	  39022
     32	  19592	  39090
     33	  19463	  38952
     34	  19391	  39359
     35	  19785	  38982
     36	  19712	  39062
     37	  19411	  39231
     38	  19481	  39454
     39	  19703	  38802
     40	  19654	  39172
     41	  19215	  38959
     42	  19488	  39095
     43	  19330	  39193
     44	  19434	  38872
     45	  19548	  38604
     46	  19483	  39406
     47	  19258	  39175
     48	  19679	  39228
     49	  19523	  38839
     50	  19535	  39178
     51	  19330	  39255
     52	  19451	  39347
     53	  19634	  38948
     54	  19719	  38983
     55	  19490	  38913
     56	  19491	  38876
     57	  19327	  39054
     58	  19421	  39211
     59	  19407	  39410
     60	  19620	  39133
     61	  19622	  38899
     62	  19465	  39383
     63	  19413	  38923
     64	  19763	  39032
     65	  19536	  38825
     66	  19556	  39314
     67	  19381	  39013
     68	  19508	  38852
     69	  19390	  38958
     70	  19506	  38874
     71	  19524	  38901
     72	  19467	  39330
     73	  19333	  39116
     74	  19648	  38983
     75	  19502	  39093
     76	  19508	  38810
     77	  19611	  39270
     78	  19409	  38998
     79	  19648	  38934
     80	  19448	  39444
     81	  19345	  38836
     82	  19698	  38550
     83	  19407	  39140
     84	  19249	  38881
     85	  19659	  39005
     86	  19681	  38756
     87	  19596	  39225
     88	  19237	  39302
     89	  19545	  39151
     90	  19607	  39140
     91	  19599	  39344
     92	  19599	  38961
     93	  19642	  39002
     94	  19422	  38891
     95	  19548	  38877
     96	  19525	  39141
     97	  19424	  38980
     98	  19507	  38654
     99	  19521	  39042
    100	  19349	  38968
    101	  19647	  39076
    102	  19489	  39431
    103	  19612	  39043
    104	  19755	  38618
    105	  19340	  39113
    106	  19260	  39120
    107	  19356	  38966
    108	  19660	  39052
    109	  19580	  38957
    110	  19411	  39159
    111	  19477	  39027
    112	  19621	  39056
    113	  19498	  39115
    114	  19538	  39342
    115	  19426	  38789
    116	  19618	  39236
    117	  19569	  38819
    118	  19529	  39106
    119	  19502	  39442
    120	  19486	  38973
    121	  19829	  38949
    122	  19646	  39274
    123	  19427	  39194
    124	  19678	  38894
    125	  19485	  38715
    126	  19181	  39388
    127	  19251	  39235
    128	  19778	  38952
    129	  19585	  39215
    130	  19537	  38915
    131	  19528	  39224
    132	  19461	  39262
    133	  19652	  38694
    134	  19404	  38963
    135	  19236	  38702
    136	  19387	  38919
    137	  19339	  38578
    138	  19353	  39092
    139	  19340	  39109
    140	  19470	  38902
    141	  19423	  39076
    142	  19488	  39180
    143	  19497	  39010
    144	  19818	  38905
    145	  19584	  38751
    146	  19510	  38682
    147	  19274	  38872
    148	  19354	  38880
    149	  19420	  39058
    150	  19421	  38990
    151	  19533	  39103
    152	  19372	  38731
    153	  19631	  39190
    154	  19340	  39142
    155	  19463	  38985
    156	  19628	  39132
    157	  19497	  38885
    158	  19541	  38737
    159	  19589	  38760
    160	  19265	  39136
    161	  19410	  39168
    162	  19583	  38821
    163	  19698	  38983
    164	  19437	  38710
    165	  19455	  38986
    166	  19304	  39001
    167	  19407	  39165
    168	  19676	  39319
    169	  19478	  38986
    170	  19584	  39192
    171	  19250	  38866
    172	  19657	  38664
    173	  19449	  38936
    174	  19372	  39191
    175	  19554	  39023
    176	  19678	  38852
    177	  19598	  38880
    178	  19659	  38615
    179	  19345	  39202
    180	  19289	  38905
    181	  19681	  38907
    182	  19343	  38883
    183	  19387	  38872
    184	  19252	  38667
    185	  19545	  38427
    186	  19342	  38796
    187	  19070	  38978
    188	  19348	  38956
    189	  19429	  38687
    190	  19459	  38975
    191	  19348	  38695
    192	  19561	  38656
    193	  19230	  39044
    194	  19261	  38626
    195	  19618	  38822
    196	  19278	  38767
    197	  19409	  39231
    198	  19459	  38991
    199	  19715	  38793
    200	  19494	  38701
    201	  19504	  38955
    202	  19338	  38486
    203	  19578	  39228
    204	  19080	  39091
    205	  19616	  38941
    206	  19504	  38734
    207	  19442	  38933
    208	  19311	  38952
    209	  19346	  38971
    210	  19477	  38817
    211	  19478	  38561
    212	  19385	  38669
    213	  19174	  38739
    214	  19585	  38984
    215	  19284	  38789
    216	  19417	  38846
    217	  19387	  38422
    218	  19559	  38958
    219	  19244	  38574
    220	  19559	  38703
    221	  19217	  38613
    222	  19296	  38430
    223	  19308	  38735
    224	  19237	  38534
    225	  19263	  39054
    226	  19306	  38351
    227	  19355	  38948
    228	  19285	  38318
    229	  19631	  38673
    230	  19386	  38496
    231	  19242	  38373
    232	  19182	  38229
    233	  19141	  38094
    234	  19176	  38153
    235	  19148	  37647
    236	  19186	  38112
    237	  18775	  37982
    238	  19052	  38070
    239	  19085	  38257
    240	  19093	  37941
    241	  18954	  37734
    242	  18859	  37845
    243	  18948	  38120
    244	  18921	  37301
    245	  18986	  37629
    246	  18561	  37561
    247	  18779	  36943
    248	  18606	  37068
    249	  18294	  37125
    250	  18328	  37222
    251	  18778	  37012
    252	  18687	  36567
    253	  18434	  36412
    254	  18131	  36564
    255	  18240	  35957
    256	  18268	  35585
    257	  17859	  35716
    258	  17763	  35677
    259	  17888	  35294
    260	  17903	  35291
    261	  17719	  35449
    262	  17664	  34840
    263	  17661	  34833
    264	  17557	  35065
    265	  17465	  34650
    266	  17350	  34634
    267	  17470	  34710
    268	  17301	  34540
    269	  17370	  34546
    270	  17241	  34822
    271	  17193	  34694
    272	  17430	  35034
    273	  17274	  34834
    274	  17846	  35126
    275	  17364	  35223
    276	  17510	  35297
    277	  17779	  35475
    278	  17621	  35401
    279	  17466	  35567
    280	  17682	  35721
    281	  17733	  35715
    282	  17968	  35639
    283	  17957	  35681
    284	  17930	  35520
    285	  17793	  36009
    286	  17657	  35343
    287	  18037	  35849
    288	  17782	  35757
    289	  17839	  35705
    290	  17875	  35779
    291	  17787	  35311
    292	  17830	  35435
    293	  17648	  35541
    294	  17761	  35259
    295	  17780	  34990
    296	  17709	  35246
    297	  17522	  34591
    298	  17725	  34804
    299	  17344	  35100
    300	  17511	  35084
    301	  17568	  34564
    302	  17496	  35077
    303	  17277	  35046
    304	  17518	  35028
    305	  17624	  35036
    306	  17833	  35349
    307	  17491	  35321
    308	  17743	  35801
    309	  17621	  35811
    310	  17964	  35992
    311	  17862	  35966
    312	  17969	  36126
    313	  17947	  36097
    314	  17957	  36761
    315	  18118	  36538
    316	  18286	  36370
    317	  18079	  37056
    318	  18174	  36953
    319	  18472	  37209
    320	  18688	  36864
    321	  18668	  37165
    322	  18367	  37206
    323	  18740	  37669
    324	  18736	  37399
    325	  18916	  37607
    326	  18764	  37749
    327	  18917	  38168
    328	  18983	  38252
    329	  19089	  37753
    330	  19079	  37327
    331	  18746	  38304
    332	  18622	  37734
    333	  19086	  37971
    334	  18774	  38056
    335	  18749	  37958
    336	  18911	  38345
    337	  18986	  38259
    338	  19064	  38449
    339	  19205	  38256
    340	  19342	  38519
    341	  19117	  38260
    342	  19118	  38466
    343	  19007	  38461
    344	  19310	  38749
    345	  19077	  38402
    346	  19375	  38502
    347	  19149	  38705
    348	  19250	  38465
    349	  19303	  38543
    350	  19241	  38621
    351	  19201	  38847
    352	  19305	  38732
    353	  19341	  38727
    354	  19374	  38592
    355	  19384	  38511
    356	  19212	  38441
    357	  19206	  38626
    358	  19190	  38652
    359	  19325	  38429
    360	  19488	  38806
    361	  19221	  39000
    362	  19253	  38537
    363	  19635	  38725
    364	  19222	  38777
    365	  19298	  38992
    366	  19225	  38933
    367	  19501	  38900
    368	  19525	  38961
    369	  19361	  38488
    370	  19517	  38798
    371	  19212	  39009
    372	  19336	  38721
    373	  19526	  38861
    374	  19344	  38828
    375	  19609	  38861
    376	  19453	  38756
    377	  19440	  38787
    378	  19428	  38664
    379	  19290	  38519
    380	  19308	  38856
    381	  19234	  38973
    382	  19236	  38756
    383	  19463	  39021
    384	  19487	  38981
    385	  19538	  38780
    386	  19474	  38893
    387	  19486	  38981
    388	  19352	  38809
    389	  19442	  38936
    390	  19574	  38765
    391	  19588	  38742
    392	  19373	  39080
    393	  19408	  38820
    394	  19495	  39149
    395	  19247	  38706
    396	  19543	  39058
    397	  19323	  38762
    398	  19486	  39128
    399	  19317	  39269
    400	  19547	  38592
    401	  19622	  38609
    402	  19222	  38943
    403	  19366	  39017
    404	  19458	  38688
    405	  19726	  38826
    406	  19301	  38857
    407	  19434	  38972
    408	  19522	  39036
    409	  19495	  38692
    410	  19512	  38825
    411	  19475	  38802
    412	  19226	  38639
    413	  19498	  38987
    414	  19332	  38706
    415	  19520	  38965
    416	  19262	  38728
    417	  19515	  38612
    418	  19283	  39176
    419	  19233	  38600
    420	  19489	  38683
    421	  19301	  38888
    422	  19323	  38852
    423	  19298	  38644
    424	  19238	  39041
    425	  19352	  38857
    426	  19506	  38781
    427	  19690	  39114
    428	  19326	  38787
    429	  19692	  38875
    430	  19453	  39272
    431	  19378	  38675
    432	  19702	  38993
    433	  19271	  39225
    434	  19441	  38939
    435	  19685	  39074
    436	  19453	  38909
    437	  19456	  39158
    438	  19349	  39128
    439	  19537	  39088
    440	  19723	  38722
    441	  19653	  39197
    442	  19427	  39031
    443	  19846	  39162
    444	  19709	  38994
    445	  19618	  39245
    446	  19396	  39469
    447	  19636	  38955
    448	  19613	  39011
    449	  19491	  39045
    450	  19538	  39127
    451	  19434	  39144
    452	  19457	  39209
    453	  19546	  39111
    454	  19614	  38906
    455	  19618	  38974
    456	  19478	  39533
    457	  19513	  39241
    458	  19754	  38744
    459	  19612	  39329
    460	  19333	  38731
    461	  19628	  38648
    462	  19487	  39184
    463	  19273	  39283
    464	  19593	  39537
    465	  19700	  39093
    466	  19698	  39006
    467	  19593	  39107
    468	  19553	  38803
    469	  19659	  39280
    470	  19453	  39155
    471	  19629	  39056
    472	  19618	  38948
    473	  19628	  39007
    474	  19400	  38836
    475	  19557	  39015
    476	  19337	  39061
