TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-1.3351	39082	-1.3351	39024.5	-1.3351	39024.5
-1.33498	38928	-1.33498	39024.4	-1.33498	39024.4
-1.3348	39070	-1.3348	39024.4	-1.3348	39024.4
-1.33458	39110	-1.33458	39024.4	-1.33458	39024.4
-1.3343	38705	-1.3343	39024.3	-1.3343	39024.3
-1.33397	39132	-1.33397	39024.3	-1.33397	39024.3
-1.3336	39147	-1.3336	39024.2	-1.3336	39024.2
-1.33317	38989	-1.33317	39024.1	-1.33317	39024.1
-1.33269	38673	-1.33269	39024	-1.33269	39024
-1.33217	39122	-1.33217	39023.9	-1.33217	39023.9
-1.33159	39131	-1.33159	39023.8	-1.33159	39023.8
-1.33096	39040	-1.33096	39023.7	-1.33096	39023.7
-1.33028	39261	-1.33028	39023.6	-1.33028	39023.6
-1.32956	39159	-1.32956	39023.5	-1.32956	39023.5
-1.32878	39005	-1.32878	39023.3	-1.32878	39023.3
-1.32795	38806	-1.32795	39023.2	-1.32795	39023.2
-1.32707	38755	-1.32707	39023	-1.32707	39023
-1.32614	39241	-1.32614	39022.8	-1.32614	39022.8
-1.32516	39031	-1.32516	39022.7	-1.32516	39022.7
-1.32414	38793	-1.32414	39022.5	-1.32414	39022.5
-1.32306	39018	-1.32306	39022.3	-1.32306	39022.3
-1.32193	38912	-1.32193	39022	-1.32193	39022
-1.32075	39196	-1.32075	39021.8	-1.32075	39021.8
-1.31953	39189	-1.31953	39021.6	-1.31953	39021.6
-1.31825	38958	-1.31825	39021.4	-1.31825	39021.4
-1.31692	38852	-1.31692	39021.1	-1.31692	39021.1
-1.31555	39164	-1.31555	39020.8	-1.31555	39020.8
-1.31412	39315	-1.31412	39020.6	-1.31412	39020.6
-1.31265	38731	-1.31265	39020.3	-1.31265	39020.3
-1.31112	38825	-1.31112	39020	-1.31112	39020
-1.30955	39276	-1.30955	39019.7	-1.30955	39019.7
-1.30793	39142	-1.30793	39019.4	-1.30793	39019.4
-1.30625	38804	-1.30625	39019.1	-1.30625	39019.1
-1.30453	38984	-1.30453	39018.7	-1.30453	39018.7
-1.30276	39061	-1.30276	39018.4	-1.30276	39018.4
-1.30094	39015	-1.30094	39018	-1.30094	39018
-1.29907	38836	-1.29907	39017.6	-1.29907	39017.6
-1.29716	39007	-1.29716	39017.3	-1.29716	39017.3
-1.29519	38948	-1.29519	39016.9	-1.29519	39016.9
-1.29318	39056	-1.29318	39016.4	-1.29318	39016.4
-1.29111	39155	-1.29111	39016	-1.29111	39016
-1.289	39280	-1.289	39015.6	-1.289	39015.6
-1.28684	38803	-1.28684	39015.1	-1.28684	39015.1
-1.28463	39107	-1.28463	39014.7	-1.28463	39014.7
-1.28237	39006	-1.28237	39014.2	-1.28237	39014.2
-1.28007	39093	-1.28007	39013.7	-1.28007	39013.7
-1.27771	39537	-1.27771	39013.2	-1.27771	39013.2
-1.27531	39283	-1.27531	39012.7	-1.27531	39012.7
-1.27286	39184	-1.27286	39012.2	-1.27286	39012.2
-1.27036	38648	-1.27036	39011.7	-1.27036	39011.7
