Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\stahl.txt
Date / time: 13.11.2024, 10:58:30
Sample: Edelstahlfolie
Comments: Stainlesssteel 20.2 mV
Channel #	Counts	Counts (folded)
      0	   2128	   4312
      1	   2097	   4178
      2	   2144	   4348
      3	   2102	   4161
      4	   2116	   4280
      5	   2161	   4304
      6	   2122	   4335
      7	   2089	   4234
      8	   2152	   4231
      9	   2045	   4190
     10	   2130	   4273
     11	   2117	   4351
     12	   2122	   4310
     13	   2072	   4147
     14	   2142	   4297
     15	   2109	   4176
     16	   2152	   4255
     17	   2086	   4230
     18	   2055	   4189
     19	   2101	   4239
     20	   2168	   4291
     21	   2107	   4209
     22	   2213	   4360
     23	   2151	   4279
     24	   2155	   4337
     25	   2022	   4097
     26	   2081	   4255
     27	   2160	   4312
     28	   2210	   4341
     29	   2059	   4257
     30	   2136	   4168
     31	   2162	   4241
     32	   2096	   4149
     33	   2120	   4353
     34	   2144	   4391
     35	   2085	   4154
     36	   2162	   4263
     37	   2162	   4207
     38	   2136	   4285
     39	   2137	   4233
     40	   2083	   4252
     41	   2121	   4270
     42	   2086	   4230
     43	   2092	   4168
     44	   2082	   4216
     45	   2102	   4228
     46	   2122	   4290
     47	   2196	   4432
     48	   2121	   4193
     49	   2137	   4266
     50	   2181	   4340
     51	   2176	   4290
     52	   2095	   4222
     53	   2110	   4268
     54	   2160	   4290
     55	   2112	   4249
     56	   2118	   4366
     57	   2033	   4148
     58	   2055	   4189
     59	   2078	   4154
     60	   2104	   4300
     61	   2079	   4248
     62	   2203	   4314
     63	   2098	   4227
     64	   2135	   4360
     65	   2091	   4267
     66	   2186	   4300
     67	   2178	   4266
     68	   2120	   4281
     69	   2051	   4167
     70	   2136	   4240
     71	   2084	   4230
     72	   2053	   4249
     73	   2132	   4297
     74	   2129	   4210
     75	   2126	   4286
     76	   2115	   4228
     77	   2104	   4249
     78	   2159	   4284
     79	   2184	   4367
     80	   2071	   4264
     81	   2133	   4176
     82	   2059	   4119
     83	   2199	   4273
     84	   2143	   4283
     85	   2210	   4360
     86	   2036	   4203
