TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-3.28892	4174	-3.28892	4258.84	-3.28892	4258.84
-3.28861	4328	-3.28861	4258.83	-3.28861	4258.83
-3.28817	4361	-3.28817	4258.83	-3.28817	4258.83
-3.28762	4246	-3.28762	4258.83	-3.28762	4258.83
-3.28694	4398	-3.28694	4258.83	-3.28694	4258.83
-3.28613	4330	-3.28613	4258.83	-3.28613	4258.83
-3.2852	4385	-3.2852	4258.82	-3.2852	4258.82
-3.28415	4247	-3.28415	4258.82	-3.28415	4258.82
-3.28298	4271	-3.28298	4258.82	-3.28298	4258.82
-3.28168	4183	-3.28168	4258.81	-3.28168	4258.81
-3.28025	4252	-3.28025	4258.81	-3.28025	4258.81
-3.27871	4223	-3.27871	4258.8	-3.27871	4258.8
-3.27704	4204	-3.27704	4258.8	-3.27704	4258.8
-3.27524	4310	-3.27524	4258.79	-3.27524	4258.79
-3.27333	4420	-3.27333	4258.79	-3.27333	4258.79
-3.27129	4166	-3.27129	4258.78	-3.27129	4258.78
-3.26912	4254	-3.26912	4258.77	-3.26912	4258.77
-3.26684	4275	-3.26684	4258.77	-3.26684	4258.77
-3.26443	4311	-3.26443	4258.76	-3.26443	4258.76
-3.2619	4178	-3.2619	4258.75	-3.2619	4258.75
-3.25924	4197	-3.25924	4258.74	-3.25924	4258.74
-3.25647	4143	-3.25647	4258.74	-3.25647	4258.74
-3.25357	4322	-3.25357	4258.73	-3.25357	4258.73
-3.25054	4280	-3.25054	4258.72	-3.25054	4258.72
-3.2474	4289	-3.2474	4258.71	-3.2474	4258.71
-3.24413	4208	-3.24413	4258.7	-3.24413	4258.7
-3.24074	4210	-3.24074	4258.69	-3.24074	4258.69
-3.23723	4202	-3.23723	4258.67	-3.23723	4258.67
-3.2336	4228	-3.2336	4258.66	-3.2336	4258.66
-3.22984	4225	-3.22984	4258.65	-3.22984	4258.65
-3.22597	4245	-3.22597	4258.64	-3.22597	4258.64
-3.22197	4402	-3.22197	4258.62	-3.22197	4258.62
-3.21785	4274	-3.21785	4258.61	-3.21785	4258.61
-3.21361	4116	-3.21361	4258.6	-3.21361	4258.6
-3.20925	4199	-3.20925	4258.58	-3.20925	4258.58
-3.20476	4268	-3.20476	4258.57	-3.20476	4258.57
-3.20016	4181	-3.20016	4258.55	-3.20016	4258.55
-3.19544	4254	-3.19544	4258.54	-3.19544	4258.54
-3.19059	4307	-3.19059	4258.52	-3.19059	4258.52
-3.18563	4293	-3.18563	4258.5	-3.18563	4258.5
-3.18055	4327	-3.18055	4258.49	-3.18055	4258.49
-3.17534	4232	-3.17534	4258.47	-3.17534	4258.47
-3.17002	4343	-3.17002	4258.45	-3.17002	4258.45
-3.16458	4262	-3.16458	4258.43	-3.16458	4258.43
-3.15902	4229	-3.15902	4258.41	-3.15902	4258.41
-3.15334	4199	-3.15334	4258.39	-3.15334	4258.39
-3.14754	4366	-3.14754	4258.37	-3.14754	4258.37
-3.14162	4231	-3.14162	4258.35	-3.14162	4258.35
-3.13558	4452	-3.13558	4258.33	-3.13558	4258.33
-3.12943	4311	-3.12943	4258.31	-3.12943	4258.31
-3.12316	4192	-3.12316	4258.29	-3.12316	4258.29
-3.11677	4230	-3.11677	4258.26	-3.11677	4258.26
-3.11026	4300	-3.11026	4258.24	-3.11026	4258.24
-3.10364	4280	-3.10364	4258.22	-3.10364	4258.22
-3.09689	4263	-3.09689	4258.19	-3.09689	4258.19
-3.09004	4294	-3.09004	4258.16	-3.09004	4258.16
-3.08306	4144	-3.08306	4258.14	-3.08306	4258.14
-3.07597	4280	-3.07597	4258.11	-3.07597	4258.11
-3.06877	4252	-3.06877	4258.08	-3.06877	4258.08
-3.06145	4028	-3.06145	4258.06	-3.06145	4258.06
-3.05401	4177	-3.05401	4258.03	-3.05401	4258.03
-3.04646	4289	-3.04646	4258	-3.04646	4258
-3.03879	4328	-3.03879	4257.97	-3.03879	4257.97
-3.03101	4282	-3.03101	4257.94	-3.03101	4257.94
-3.02312	4282	-3.02312	4257.91	-3.02312	4257.91
-3.01511	4315	-3.01511	4257.87	-3.01511	4257.87
-3.00699	4272	-3.00699	4257.84	-3.00699	4257.84
-2.99875	4281	-2.99875	4257.81	-2.99875	4257.81
-2.9904	4220	-2.9904	4257.77	-2.9904	4257.77
-2.98194	4357	-2.98194	4257.74	-2.98194	4257.74
-2.97337	4206	-2.97337	4257.7	-2.97337	4257.7
-2.96469	4213	-2.96469	4257.67	-2.96469	4257.67
-2.95589	4177	-2.95589	4257.63	-2.95589	4257.63
-2.94698	4287	-2.94698	4257.59	-2.94698	4257.59
-2.93796	4293	-2.93796	4257.55	-2.93796	4257.55
-2.92883	4301	-2.92883	4257.51	-2.92883	4257.51
-2.91959	4228	-2.91959	4257.47	-2.91959	4257.47
-2.91025	4247	-2.91025	4257.43	-2.91025	4257.43
-2.90078	4344	-2.90078	4257.38	-2.90078	4257.38
-2.89122	4174	-2.89122	4257.34	-2.89122	4257.34
-2.88154	4226	-2.88154	4257.3	-2.88154	4257.3
-2.87175	4152	-2.87175	4257.25	-2.87175	4257.25
-2.86186	4161	-2.86186	4257.2	-2.86186	4257.2
-2.85186	4248	-2.85186	4257.16	-2.85186	4257.16
-2.84175	4280	-2.84175	4257.11	-2.84175	4257.11
-2.83153	4212	-2.83153	4257.06	-2.83153	4257.06
-2.82121	4249	-2.82121	4257.01	-2.82121	4257.01
-2.81078	4193	-2.81078	4256.95	-2.81078	4256.95
-2.80025	4218	-2.80025	4256.9	-2.80025	4256.9
-2.78961	4247	-2.78961	4256.85	-2.78961	4256.85
-2.77886	4438	-2.77886	4256.79	-2.77886	4256.79
-2.76801	4270	-2.76801	4256.73	-2.76801	4256.73
-2.75706	4338	-2.75706	4256.67	-2.75706	4256.67
-2.746	4291	-2.746	4256.61	-2.746	4256.61
-2.73484	4218	-2.73484	4256.55	-2.73484	4256.55
-2.72358	4267	-2.72358	4256.49	-2.72358	4256.49
-2.71221	4303	-2.71221	4256.43	-2.71221	4256.43
-2.70074	4202	-2.70074	4256.36	-2.70074	4256.36
-2.68917	4313	-2.68917	4256.3	-2.68917	4256.3
-2.6775	4291	-2.6775	4256.23	-2.6775	4256.23
-2.66573	4243	-2.66573	4256.16	-2.66573	4256.16
-2.65386	4275	-2.65386	4256.09	-2.65386	4256.09
-2.64188	4268	-2.64188	4256.01	-2.64188	4256.01
-2.62981	4326	-2.62981	4255.94	-2.62981	4255.94
-2.61764	4308	-2.61764	4255.86	-2.61764	4255.86
-2.60537	4248	-2.60537	4255.78	-2.60537	4255.78
-2.593	4211	-2.593	4255.7	-2.593	4255.7
-2.58054	4269	-2.58054	4255.62	-2.58054	4255.62
-2.56797	4288	-2.56797	4255.54	-2.56797	4255.54
-2.55531	4281	-2.55531	4255.45	-2.55531	4255.45
-2.54256	4315	-2.54256	4255.36	-2.54256	4255.36
-2.52971	4348	-2.52971	4255.27	-2.52971	4255.27
-2.51676	4324	-2.51676	4255.18	-2.51676	4255.18
-2.50372	4210	-2.50372	4255.09	-2.50372	4255.09
-2.49059	4244	-2.49059	4254.99	-2.49059	4254.99
-2.47736	4292	-2.47736	4254.89	-2.47736	4254.89
-2.46403	4158	-2.46403	4254.79	-2.46403	4254.79
-2.45062	4163	-2.45062	4254.68	-2.45062	4254.68
-2.43711	4380	-2.43711	4254.58	-2.43711	4254.58
-2.42351	4277	-2.42351	4254.47	-2.42351	4254.47
-2.40982	4329	-2.40982	4254.36	-2.40982	4254.36
-2.39604	4108	-2.39604	4254.24	-2.39604	4254.24
-2.38217	4191	-2.38217	4254.12	-2.38217	4254.12
-2.36821	4196	-2.36821	4254	-2.36821	4254
-2.35416	4178	-2.35416	4253.88	-2.35416	4253.88
-2.34002	4186	-2.34002	4253.75	-2.34002	4253.75
-2.32579	4198	-2.32579	4253.62	-2.32579	4253.62
-2.31148	4209	-2.31148	4253.48	-2.31148	4253.48
-2.29707	4252	-2.29707	4253.35	-2.29707	4253.35
-2.28259	4239	-2.28259	4253.21	-2.28259	4253.21
-2.26801	4214	-2.26801	4253.06	-2.26801	4253.06
-2.25335	4266	-2.25335	4252.91	-2.25335	4252.91
-2.23861	4170	-2.23861	4252.76	-2.23861	4252.76
-2.22378	4235	-2.22378	4252.6	-2.22378	4252.6
-2.20887	4220	-2.20887	4252.44	-2.20887	4252.44
-2.19387	4169	-2.19387	4252.27	-2.19387	4252.27
-2.1788	4206	-2.1788	4252.1	-2.1788	4252.1
-2.16364	4262	-2.16364	4251.92	-2.16364	4251.92
-2.14839	4229	-2.14839	4251.74	-2.14839	4251.74
-2.13307	4217	-2.13307	4251.56	-2.13307	4251.56
-2.11767	4260	-2.11767	4251.36	-2.11767	4251.36
-2.10219	4290	-2.10219	4251.17	-2.10219	4251.17
-2.08663	4232	-2.08663	4250.96	-2.08663	4250.96
-2.07098	4141	-2.07098	4250.75	-2.07098	4250.75
-2.05527	4265	-2.05527	4250.54	-2.05527	4250.54
-2.03947	4238	-2.03947	4250.31	-2.03947	4250.31
-2.0236	4301	-2.0236	4250.09	-2.0236	4250.09
-2.00765	4271	-2.00765	4249.85	-2.00765	4249.85
-1.99163	4157	-1.99163	4249.6	-1.99163	4249.6
-1.97553	4268	-1.97553	4249.35	-1.97553	4249.35
-1.95935	4221	-1.95935	4249.09	-1.95935	4249.09
-1.94311	4179	-1.94311	4248.82	-1.94311	4248.82
-1.92679	4225	-1.92679	4248.55	-1.92679	4248.55
-1.91039	4255	-1.91039	4248.26	-1.91039	4248.26
-1.89393	4233	-1.89393	4247.97	-1.89393	4247.97
-1.87739	4278	-1.87739	4247.66	-1.87739	4247.66
-1.86079	4176	-1.86079	4247.34	-1.86079	4247.34
-1.84411	4397	-1.84411	4247.02	-1.84411	4247.02
-1.82736	4281	-1.82736	4246.68	-1.82736	4246.68
-1.81055	4324	-1.81055	4246.33	-1.81055	4246.33
-1.79366	4189	-1.79366	4245.96	-1.79366	4245.96
-1.77671	4363	-1.77671	4245.59	-1.77671	4245.59
-1.7597	4228	-1.7597	4245.2	-1.7597	4245.2
-1.74261	4181	-1.74261	4244.79	-1.74261	4244.79
-1.72546	4353	-1.72546	4244.37	-1.72546	4244.37
-1.70825	4292	-1.70825	4243.94	-1.70825	4243.94
-1.69097	4179	-1.69097	4243.49	-1.69097	4243.49
-1.67363	4317	-1.67363	4243.02	-1.67363	4243.02
-1.65622	4272	-1.65622	4242.53	-1.65622	4242.53
-1.63875	4364	-1.63875	4242.02	-1.63875	4242.02
-1.62122	4178	-1.62122	4241.5	-1.62122	4241.5
-1.60363	4183	-1.60363	4240.95	-1.60363	4240.95
-1.58598	4239	-1.58598	4240.37	-1.58598	4240.37
-1.56827	4419	-1.56827	4239.78	-1.56827	4239.78
-1.5505	4369	-1.5505	4239.16	-1.5505	4239.16
-1.53267	4192	-1.53267	4238.51	-1.53267	4238.51
-1.51479	4258	-1.51479	4237.83	-1.51479	4237.83
-1.49684	4244	-1.49684	4237.12	-1.49684	4237.12
-1.47885	4248	-1.47885	4236.39	-1.47885	4236.39
-1.46079	4267	-1.46079	4235.61	-1.46079	4235.61
-1.44268	4139	-1.44268	4234.8	-1.44268	4234.8
-1.42452	4301	-1.42452	4233.96	-1.42452	4233.96
-1.4063	4285	-1.4063	4233.07	-1.4063	4233.07
-1.38803	4269	-1.38803	4232.14	-1.38803	4232.14
-1.36971	4236	-1.36971	4231.16	-1.36971	4231.16
-1.35133	4307	-1.35133	4230.14	-1.35133	4230.14
-1.33291	4242	-1.33291	4229.06	-1.33291	4229.06
-1.31443	4370	-1.31443	4227.93	-1.31443	4227.93
-1.29591	4204	-1.29591	4226.73	-1.29591	4226.73
-1.27733	4250	-1.27733	4225.47	-1.27733	4225.47
-1.25871	4238	-1.25871	4224.14	-1.25871	4224.14
-1.24004	4373	-1.24004	4222.74	-1.24004	4222.74
-1.22132	4325	-1.22132	4221.26	-1.22132	4221.26
-1.20256	4301	-1.20256	4219.69	-1.20256	4219.69
-1.18375	4330	-1.18375	4218.03	-1.18375	4218.03
-1.1649	4333	-1.1649	4216.27	-1.1649	4216.27
-1.14601	4271	-1.14601	4214.4	-1.14601	4214.4
-1.12707	4270	-1.12707	4212.41	-1.12707	4212.41
-1.10809	4132	-1.10809	4210.29	-1.10809	4210.29
-1.08906	4211	-1.08906	4208.04	-1.08906	4208.04
-1.07	4111	-1.07	4205.63	-1.07	4205.63
-1.05089	4167	-1.05089	4203.06	-1.05089	4203.06
-1.03175	4247	-1.03175	4200.3	-1.03175	4200.3
-1.01257	4227	-1.01257	4197.35	-1.01257	4197.35
-0.993348	4261	-0.993348	4194.18	-0.993348	4194.18
-0.974089	4078	-0.974089	4190.78	-0.974089	4190.78
-0.954794	4173	-0.954794	4187.1	-0.954794	4187.1
-0.935464	4217	-0.935464	4183.14	-0.935464	4183.14
-0.916097	4220	-0.916097	4178.85	-0.916097	4178.85
-0.896697	4103	-0.896697	4174.2	-0.896697	4174.2
-0.877263	4135	-0.877263	4169.15	-0.877263	4169.15
-0.857795	4104	-0.857795	4163.65	-0.857795	4163.65
-0.838295	4208	-0.838295	4157.65	-0.838295	4157.65
-0.818764	4147	-0.818764	4151.09	-0.818764	4151.09
-0.799202	4263	-0.799202	4143.89	-0.799202	4143.89
-0.77961	4196	-0.77961	4135.96	-0.77961	4135.96
-0.759988	4090	-0.759988	4127.22	-0.759988	4127.22
-0.740338	4127	-0.740338	4117.54	-0.740338	4117.54
-0.72066	4086	-0.72066	4106.8	-0.72066	4106.8
-0.700955	4085	-0.700955	4094.82	-0.700955	4094.82
-0.681224	4088	-0.681224	4081.42	-0.681224	4081.42
-0.661467	3933	-0.661467	4066.38	-0.661467	4066.38
-0.641684	4068	-0.641684	4049.43	-0.641684	4049.43
-0.621878	4046	-0.621878	4030.24	-0.621878	4030.24
-0.602049	3970	-0.602049	4008.42	-0.602049	4008.42
-0.582196	3970	-0.582196	3983.52	-0.582196	3983.52
-0.562322	3873	-0.562322	3954.96	-0.562322	3954.96
-0.542427	3860	-0.542427	3922.09	-0.542427	3922.09
-0.522511	3915	-0.522511	3884.11	-0.522511	3884.11
-0.502575	3783	-0.502575	3840.11	-0.502575	3840.11
-0.482621	3819	-0.482621	3789.02	-0.482621	3789.02
-0.462648	3732	-0.462648	3729.74	-0.462648	3729.74
-0.442658	3682	-0.442658	3661.15	-0.442658	3661.15
-0.422652	3672	-0.422652	3582.37	-0.422652	3582.37
-0.402629	3498	-0.402629	3493.1	-0.402629	3493.1
-0.382591	3403	-0.382591	3394.06	-0.382591	3394.06
-0.362539	3299	-0.362539	3287.6	-0.362539	3287.6
-0.342473	3183	-0.342473	3177.99	-0.342473	3177.99
-0.322395	3023	-0.322395	3071.17	-0.322395	3071.17
-0.302304	2930	-0.302304	2973.75	-0.302304	2973.75
-0.282202	2894	-0.282202	2891.4	-0.282202	2891.4
-0.262089	2866	-0.262089	2827.67	-0.262089	2827.67
-0.241966	2733	-0.241966	2783.44	-0.241966	2783.44
-0.221834	2843	-0.221834	2757.32	-0.221834	2757.32
-0.201694	2803	-0.201694	2746.53	-0.201694	2746.53
-0.181546	2643	-0.181546	2748.12	-0.181546	2748.12
-0.161392	2815	-0.161392	2760.23	-0.161392	2760.23
-0.141231	2780	-0.141231	2782.4	-0.141231	2782.4
-0.121065	2759	-0.121065	2814.96	-0.121065	2814.96
-0.100895	2819	-0.100895	2858.3	-0.100895	2858.3
-0.08072	2919	-0.08072	2912.72	-0.08072	2912.72
