# Zeit t    Druck p
29.000000	970.000000
30.000000	860.000000
32.000000	700.000000
34.000000	590.000000
36.000000	500.000000
38.000000	410.000000
40.000000	350.000000
42.000000	300.000000
45.000000	260.000000
50.000000	190.000000
55.000000	140.000000
60.000000	110.000000
70.000000	69.000000
80.000000	50.000000
90.000000	35.000000
100.000000	25.000000
110.000000	18.000000
120.000000	13.000000
130.0       8.5
140.000000	5.400000
145.0       4.1
150.0       2.9
155.0       1.8
156.0       1.6
157.0       1.4
158.0       1.2
159.0       0.98
160.000000	0.780000
161.0       0.55
162.0       0.47
163.0       0.28
164.0       0.24
165.0       0.20
170.0       0.14
180.000000	0.093000
190.0       0.068
200.000000	0.056000
210.0       0.047
220.000000	0.041000
230.0       0.036
240.000000	0.032000
250.000000	0.029000
260.000000	0.026000
270.000000	0.024000
280.000000	0.022000
300.000000	0.019000
320.000000	0.017000
340.000000	0.015000
360.000000	0.013000
380.000000	0.012000
400.000000	0.011000
420.000000	0.010000
440.000000	0.009200
460.000000	0.008500
480.000000	0.007900
