Probentemperatur Tp	Hallspannung UH	Probenspannung Up
Tp/C	UH/mV	Up/V

35,6	113,0	4,74
36,4	112,4	4,73
37,2	112,4	4,73
38,1	112,4	4,71
39,8	112,5	4,68
41,2	112,8	4,64
42,5	113,1	4,61
44,8	113,9	4,53
46,4	114,3	4,47
48,1	114,6	4,39
49,5	114,9	4,31
52,3	114,8	4,17
54,0	114,6	4,08
56,7	113,9	3,90
58,3	113,1	3,78
60,1	111,5	3,65
61,9	109,8	3,52
64,5	106,0	3,31
66,4	102,9	3,17
68,2	99,4	3,04
70,0	95,7	2,91
72,6	89,4	2,71
74,2	84,9	2,58
75,8	80,8	2,46
78,3	74,2	2,29
79,9	69,8	2,18
81,6	65,4	2,08
83,9	59,2	1,94
85,5	55,3	1,85
87,1	51,6	1,76
89,3	46,6	1,64
90,8	43,3	1,57
92,3	40,4	1,50
94,6	36,4	1,40
95,9	34,0	1,34
97,4	31,5	1,28
99,5	28,7	1,19
100,9	26,7	1,14
102,3	25,0	1,10
104,4	22,7	1,03
105,7	21,4	0,99
107,0	20,1	0,95
108,4	18,9	0,91
110,3	17,3	0,86
111,5	16,4	0,83
112,7	15,6	0,80
114,5	14,4	0,76
115,8	13,6	0,73
117,1	12,9	0,70
118,8	12,0	0,67
120,0	11,4	0,64
121,2	10,8	0,62
122,3	10,4	0,60
124,0	9,6	0,57
125,3	9,2	0,56
126,9	8,7	0,53
127,9	8,3	0,52
128,9	8,0	0,50
130,5	7,5	0,48
131,6	7,2	0,46
132,7	7,0	0,45
134,2	6,6	0,43
135,1	6,4	0,42
136,2	6,1	0,41
137,6	5,8	0,40
138,7	5,6	0,39
139,6	5,4	0,38
140,8	5,2	0,36
141,5	5,0	0,35
142,0	5,0	0,35
142,6	4,8	0,34
142,9	4,7	0,33
143,3	4,6	0,33
143,5	4,6	0,32
143,5	4,5	0,32
143,5	4,6	0,32
143,6	4,5	0,32
