Probentemperatur Tp	Hallspannung UH	Probenspannung Up
Tp/C	UH/mV	Up/V

27,3	-77,9	1,68
27,6	-77,9	1,69
28,1	-78,1	1,69
28,8	-78,3	1,70
30,4	-78,7	1,71
31,6	-79,3	1,72
33,0	-79,8	1,74
35,7	-80,9	1,77
37,6	-81,7	1,79
39,5	-82,5	1,81
42,8	-83,8	1,85
44,9	-84,6	1,87
47,2	-85,5	1,90
49,6	-86,3	1,92
52,8	-87,6	1,96
55,1	-88,3	1,98
57,5	-89,0	2,00
59,9	-89,6	2,02
63,6	-90,3	2,03
65,9	-90,5	2,04
69,2	-90,5	2,04
71,3	-90,4	2,04
73,6	-90,0	2,03
75,7	-89,4	2,01
79,1	-88,0	1,97
81,3	-86,9	1,94
83,3	-85,7	1,90
86,3	-83,2	1,83
88,4	-81,4	1,78
90,4	-79,3	1,73
93,3	-76,0	1,64
95,4	-73,7	1,57
97,4	-71,4	1,51
99,3	-69,1	1,45
101,9	-65,6	1,36
103,8	-63,2	1,30
105,4	-61,0	1,24
108,1	-57,8	1,16
109,7	-55,8	1,11
111,3	-53,7	1,06
113,0	-51,6	1,01
115,5	-48,7	0,94
117,2	-46,9	0,90
118,8	-45,2	0,86
121,1	-42,9	0,81
122,4	-41,4	0,77
123,9	-39,9	0,74
125,9	-37,9	0,69
127,4	-36,7	0,67
128,8	-35,5	0,64
130,7	-33,8	0,60
132,2	-32,7	0,58
133,6	-31,7	0,56
134,9	-30,7	0,54
136,8	-29,4	0,51
138,0	-28,4	0,49
139,3	-27,6	0,48
