Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 14:41:29
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -160,728
Schilddrift / K/min   =   0,739
Probentemperatur / �C = -167,688
Probendrift / K/min   =   0,452
t / s	T_Probe /
0,0000	-167,69
0,49000	-167,69
0,86300	-167,69
1,2420	-167,69
1,8690	-167,69
2,2340	-167,69
2,8310	-167,69
3,2020	-167,69
3,5630	-167,69
4,1860	-167,69
4,5570	-167,64
5,0420	-167,62
5,4220	-167,62
5,9130	-167,85
6,2980	-167,52
6,6580	-167,57
7,0190	-167,57
7,3790	-167,55
7,8570	-167,76
8,2300	-167,76
8,7210	-167,45
9,0930	-167,83
9,4500	-167,83
9,8110	-167,62
10,293	-167,76
10,665	-167,76
11,157	-167,59
11,530	-167,74
11,902	-167,74
12,273	-167,78
12,658	-167,62
13,017	-167,62
13,379	-167,50
13,751	-167,50
14,122	-167,74
14,493	-167,62
14,864	-167,62
15,237	-167,59
15,609	-167,59
15,970	-167,69
16,330	-167,57
16,682	-167,57
17,146	-167,71
17,505	-167,69
17,877	-167,69
18,237	-167,66
18,621	-167,66
18,981	-167,69
19,341	-167,45
19,822	-167,71
20,194	-167,71
20,563	-167,43
21,045	-167,71
21,418	-167,71
21,788	-167,43
22,268	-167,69
22,640	-167,69
23,011	-167,43
23,480	-167,64
23,852	-167,64
24,225	-167,50
24,598	-167,50
24,968	-167,64
25,340	-167,57
25,896	-167,66
26,244	-167,66
26,732	-167,40
27,106	-167,74
27,705	-167,59
28,065	-167,59
28,425	-167,55
28,798	-167,55
29,156	-167,64
29,529	-167,47
30,120	-167,69
30,478	-167,69
30,847	-167,43
31,304	-167,62
31,675	-167,62
32,048	-167,52
32,420	-167,52
32,791	-167,62
33,163	-167,40
33,534	-167,40
33,908	-167,64
34,278	-167,43
34,662	-167,43
35,022	-167,43
35,383	-167,43
35,744	-167,62
36,104	-167,45
36,583	-167,45
36,955	-167,59
37,327	-167,36
37,696	-167,36
38,052	-167,69
38,528	-167,52
38,900	-167,52
39,271	-167,62
39,657	-167,47
40,029	-167,47
40,400	-167,29
40,796	-167,29
41,168	-167,59
41,539	-167,45
41,911	-167,45
42,284	-167,55
42,655	-167,45
43,027	-167,45
43,399	-167,31
43,879	-167,57
44,251	-167,57
44,623	-167,40
44,995	-167,40
45,367	-167,52
45,737	-167,43
46,110	-167,43
46,495	-167,55
46,855	-167,36
47,227	-167,36
47,600	-167,31
47,995	-167,31
48,367	-167,57
48,717	-167,40
49,076	-167,40
