Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:03:34
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -130,135
Schilddrift / K/min   =   0,519
Probentemperatur / �C = -130,620
Probendrift / K/min   =   0,468
t / s	T_Probe / C
0,0000	-130,62
0,37200	-130,62
0,75000	-130,62
1,1090	-130,50
1,8770	-130,50
2,2280	-130,50
2,8600	-130,50
3,2110	-130,50
3,8470	-130,50
4,2220	-130,50
4,5960	-130,50
4,9690	-130,50
5,3570	-130,50
5,7160	-130,50
6,0760	-130,50
6,4350	-130,50
6,9330	-130,50
7,3140	-130,50
7,7110	-130,50
8,1940	-130,50
8,5690	-130,50
8,9580	-130,50
9,3170	-130,50
9,9540	-130,50
10,306	-130,50
10,817	-130,50
11,168	-130,50
11,670	-130,50
12,029	-130,50
12,391	-131,03
12,762	-130,47
13,217	-131,01
13,842	-130,52
14,202	-130,52
14,560	-130,69
14,944	-130,67
15,304	-130,62
15,666	-130,52
16,026	-130,52
16,384	-130,81
16,745	-130,60
17,105	-130,60
17,465	-130,57
17,824	-130,57
18,183	-130,81
18,545	-130,60
18,905	-130,60
19,265	-130,57
19,624	-130,57
19,983	-130,81
20,344	-130,60
20,705	-130,60
21,064	-130,57
21,424	-130,57
21,783	-130,81
22,144	-130,60
22,505	-130,60
22,864	-130,57
23,224	-130,57
23,568	-130,81
23,969	-130,57
24,328	-130,57
24,700	-130,43
25,060	-130,43
25,420	-130,77
25,781	-130,52
26,141	-130,52
26,501	-130,52
26,861	-130,52
27,220	-130,74
27,581	-130,52
27,941	-130,52
28,301	-130,52
28,661	-130,52
29,019	-130,72
29,381	-130,57
29,733	-130,57
30,093	-130,62
30,453	-130,62
30,820	-130,84
31,181	-130,57
31,540	-130,57
31,894	-130,52
32,261	-130,52
32,774	-130,86
33,134	-130,47
33,518	-130,47
33,879	-130,74
34,239	-130,50
34,599	-130,50
34,958	-130,89
35,403	-130,64
35,763	-130,64
36,123	-130,72
36,483	-130,72
36,836	-130,81
37,204	-130,60
37,564	-130,60
37,924	-130,77
38,416	-130,79
38,776	-130,79
39,135	-130,69
39,519	-130,69
39,879	-130,77
40,239	-130,50
40,598	-130,50
40,958	-130,89
41,403	-130,64
41,763	-130,64
42,135	-130,69
42,519	-130,69
42,878	-130,81
43,240	-130,52
43,600	-130,52
43,958	-130,84
44,415	-130,60
44,775	-130,60
45,134	-130,69
45,518	-130,69
45,879	-130,77
46,238	-130,50
46,598	-130,50
46,957	-130,86
47,403	-130,62
47,763	-130,62
48,123	-130,64
48,483	-130,64
48,844	-130,77
49,204	-130,57
49,587	-130,57
49,930	-130,72
50,329	-130,72
50,690	-130,67
51,049	-130,47
51,409	-130,47
51,781	-130,72
52,145	-130,55
52,517	-130,55
52,890	-130,47
53,258	-130,47
53,626	-130,74
53,997	-130,43
54,518	-130,67
54,879	-130,52
55,240	-130,30
55,612	-130,30
55,982	-130,69
56,342	-130,47
56,702	-130,47
57,063	-130,33
57,423	-130,33
57,783	-130,62
58,274	-130,40
58,634	-130,40
58,995	-130,52
59,355	-130,28
59,715	-130,28
60,060	-130,28
60,435	-130,28
60,795	-130,55
61,154	-130,23
61,514	-130,23
61,874	-130,23
62,234	-130,23
62,594	-130,50
62,956	-130,21
63,328	-130,21
63,711	-130,16
64,108	-130,16
64,478	-130,40
64,839	-130,13
65,211	-130,13
65,581	-130,43
65,943	-130,21
66,303	-130,21
66,663	-130,09
67,035	-130,09
67,418	-130,33
67,776	-130,01
68,124	-130,01
68,508	-129,94
68,880	-129,94
69,254	-130,28
69,612	-129,96
69,972	-129,96
70,333	-130,23
70,705	-130,23
71,067	-130,18
71,437	-129,92
71,797	-129,92
72,152	-130,21
72,599	-129,96
72,971	-129,96
73,343	-130,01
73,703	-130,01
74,068	-130,06
74,435	-129,75
74,795	-129,75
75,171	-130,09
75,540	-129,87
75,900	-129,87
76,245	-129,62
76,605	-129,62
76,960	-129,89
77,364	-129,70
77,724	-129,70
78,084	-129,53
78,444	-129,53
78,805	-129,82
79,164	-129,53
79,524	-129,53
79,884	-129,48
80,244	-129,48
80,603	-129,75
80,964	-129,45
81,308	-129,45
81,673	-129,36
82,033	-129,36
82,394	-129,60
82,745	-129,36
83,244	-129,36
83,604	-129,21
83,964	-129,28
84,324	-129,28
84,684	-129,24
85,044	-129,24
85,396	-129,50
85,765	-129,24
86,125	-129,24
86,478	-129,11
86,843	-129,11
87,204	-129,43
87,566	-129,14
87,938	-129,14
88,440	-128,99
88,800	-129,43
89,159	-129,43
89,519	-129,26
89,879	-129,26
90,240	-129,26
90,600	-128,99
91,116	-128,87
91,476	-129,11
91,837	-128,70
92,197	-128,70
92,557	-129,14
92,917	-129,14
93,277	-128,90
93,643	-128,73
94,015	-128,73
94,510	-129,02
94,872	-128,80
95,232	-128,80
95,592	-128,94
95,945	-128,63
96,313	-128,63
96,678	-128,58
97,038	-128,58
97,396	-128,80
97,895	-128,70
98,292	-128,70
98,651	-128,75
99,143	-128,48
99,611	-128,73
99,972	-128,73
100,33	-128,63
100,69	-128,63
101,05	-128,63
101,41	-128,41
101,78	-128,41
102,16	-128,58
102,56	-128,48
102,92	-128,48
103,29	-128,19
103,79	-128,60
104,16	-128,60
104,53	-128,29
104,92	-128,29
105,28	-128,48
105,64	-128,12
106,01	-128,12
106,40	-128,43
106,76	-128,22
107,11	-128,22
107,50	-128,07
107,86	-128,07
108,22	-128,34
108,57	-128,00
108,94	-128,00
109,31	-128,09
109,81	-128,34
110,17	-128,34
110,53	-128,17
110,93	-128,19
111,29	-128,19
111,65	-127,83
112,02	-127,83
112,39	-128,19
112,76	-127,97
113,14	-127,97
113,51	-127,83
113,87	-127,83
114,25	-128,09
114,64	-127,85
115,01	-127,85
115,38	-128,09
115,75	-127,95
116,11	-127,95
116,47	-127,73
116,84	-127,73
117,22	-128,02
117,58	-127,66
117,95	-127,66
118,32	-127,68
118,76	-127,90
119,14	-127,90
119,49	-127,53
119,89	-127,53
120,25	-127,83
120,61	-127,63
120,98	-127,63
121,36	-127,85
121,75	-127,73
122,11	-127,73
122,48	-127,53
122,85	-127,53
123,23	-127,80
123,58	-127,49
123,96	-127,49
124,32	-127,61
124,69	-127,61
125,06	-127,73
125,43	-127,46
125,80	-127,46
126,17	-127,83
126,55	-127,51
126,92	-127,51
127,29	-127,27
127,65	-127,27
128,02	-127,63
128,40	-127,32
128,77	-127,32
129,14	-127,56
129,51	-127,56
129,88	-127,58
130,26	-127,29
130,62	-127,29
130,98	-127,61
131,35	-127,39
131,71	-127,39
132,07	-127,24
132,43	-127,24
132,77	-127,53
133,14	-127,17
133,50	-127,17
133,86	-127,24
134,22	-127,24
134,58	-127,44
135,07	-127,22
135,43	-127,22
135,79	-127,39
136,15	-127,15
136,51	-127,15
136,87	-127,12
137,24	-127,12
137,60	-127,39
137,96	-127,10
138,32	-127,10
138,68	-127,02
139,04	-127,02
139,38	-127,34
139,76	-127,10
140,12	-127,10
140,46	-126,98
140,84	-126,98
141,20	-127,29
141,56	-127,02
141,90	-127,02
142,26	-126,93
142,62	-126,93
142,98	-127,24
143,35	-127,10
143,71	-127,10
144,07	-126,88
144,43	-126,88
144,79	-127,24
145,17	-126,93
145,53	-126,93
145,90	-126,85
146,26	-126,85
146,63	-127,19
147,00	-126,88
147,50	-127,12
147,87	-127,12
148,23	-126,73
148,59	-126,73
148,95	-127,19
149,34	-126,95
149,71	-126,95
150,08	-126,76
150,44	-126,76
150,80	-127,07
151,17	-126,83
151,53	-126,83
151,88	-126,76
152,24	-126,76
152,61	-127,12
152,97	-126,81
153,32	-126,81
153,69	-126,78
154,04	-126,78
154,41	-127,05
154,77	-126,78
155,12	-126,78
155,49	-126,76
155,98	-126,98
156,34	-126,98
156,71	-126,66
157,09	-126,66
157,45	-126,90
157,81	-126,71
158,17	-126,71
158,51	-126,93
158,89	-126,93
159,25	-126,88
159,61	-126,64
