Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:34:54
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -63,454
Schilddrift / K/min   =  -0,031
Probentemperatur / �C = -56,204
Probendrift / K/min   =  -0,191
t / s	T_Probe / C
0,0000	-55,777
0,36800	-55,777
0,73100	-56,078
1,2560	-56,330
1,6280	-56,330
1,9880	-56,254
2,3500	-55,953
2,7190	-55,953
3,0710	-55,802
3,4390	-55,802
3,8020	-56,204
4,1760	-55,877
4,5480	-55,877
4,9190	-55,953
5,2910	-55,953
5,6630	-56,380
6,0350	-55,928
6,4070	-55,928
6,7770	-56,154
7,1510	-55,978
7,5220	-55,978
7,8910	-55,752
8,3850	-56,380
8,7580	-56,380
9,1380	-55,752
9,5220	-55,752
9,8820	-56,305
10,247	-55,852
10,619	-55,852
10,981	-56,330
11,351	-55,978
11,722	-55,978
12,091	-55,802
12,443	-55,802
12,805	-56,405
13,174	-55,978
13,535	-55,978
14,038	-55,978
14,421	-55,978
14,805	-55,978
15,177	-55,978
15,560	-55,978
15,944	-56,505
16,447	-55,752
16,807	-56,782
17,167	-56,782
17,534	-56,279
18,033	-56,380
18,405	-56,380
18,776	-56,229
19,149	-56,028
19,520	-56,028
19,894	-55,852
20,266	-55,852
20,637	-56,380
21,009	-55,903
21,381	-55,903
21,753	-56,380
22,206	-56,305
22,566	-56,305
22,927	-56,229
23,385	-56,380
23,757	-56,380
24,126	-55,827
24,509	-55,827
24,871	-56,330
25,233	-55,928
25,605	-55,928
25,975	-56,455
26,360	-56,028
26,732	-56,028
27,105	-55,953
27,501	-55,953
27,872	-56,355
28,244	-56,028
28,747	-56,430
29,131	-56,430
29,501	-55,752
29,861	-55,752
30,222	-56,330
30,586	-55,852
30,958	-55,852
31,328	-56,078
31,796	-56,355
32,168	-56,355
32,540	-56,028
32,994	-56,405
33,367	-56,405
33,751	-56,078
34,207	-56,430
34,579	-56,430
34,949	-56,305
35,309	-56,305
35,672	-56,355
36,043	-56,078
36,416	-56,078
36,786	-56,480
37,147	-56,179
37,518	-56,179
37,904	-55,978
38,300	-55,978
38,670	-56,455
39,043	-56,078
39,415	-56,078
39,786	-56,505
40,146	-56,204
40,530	-56,204
40,903	-55,978
41,300	-55,978
41,670	-56,405
42,042	-56,053
42,414	-56,053
42,786	-56,531
43,147	-56,204
43,519	-56,204
43,892	-55,978
44,264	-55,978
44,635	-56,531
45,008	-56,003
45,380	-56,003
45,742	-56,455
46,242	-56,405
46,614	-56,405
46,986	-56,405
47,357	-56,254
47,717	-56,254
48,079	-56,003
48,451	-56,003
48,821	-56,505
49,183	-56,003
49,567	-56,003
49,938	-56,104
50,335	-56,355
50,705	-56,505
51,067	-56,028
51,439	-56,028
51,808	-56,556
52,171	-56,078
52,542	-56,078
52,914	-56,104
53,287	-56,104
53,658	-56,405
54,029	-56,154
54,401	-56,154
54,772	-56,556
55,157	-56,254
55,517	-56,254
55,878	-56,028
56,250	-56,028
56,645	-56,531
57,018	-56,104
57,390	-56,104
