Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:10:05
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  -2,661
Schilddrift / K/min   =  -0,437
Probentemperatur / �C =   2,688
Probendrift / K/min   =  -0,771
t / s	T_Probe / C
0,0000	2,1501
0,37000	2,7647
0,74200	2,7647
1,1150	2,0477
1,4830	2,5854
1,8430	2,5854
2,2160	2,6879
2,6120	2,6879
2,9890	1,9965
3,3460	2,7647
3,7180	2,7647
4,0920	1,8941
4,4870	2,3806
4,8590	2,3806
5,2290	2,9183
5,6010	2,9183
5,9760	2,1501
6,3440	2,6622
6,7160	2,6622
7,0810	1,9453
7,5230	2,3037
7,8840	2,3037
8,3760	2,2269
8,7370	2,0221
9,0970	2,0221
9,4570	2,0221
9,8170	2,0221
10,176	2,0989
10,532	2,5854
10,883	2,5854
11,377	1,9965
11,720	1,9709
12,085	1,9709
12,437	2,2013
12,937	2,0221
13,309	2,0221
13,667	2,1757
14,021	2,1757
14,400	2,2269
14,757	2,6622
15,323	2,1757
15,695	2,1757
16,068	2,2781
16,428	2,2781
16,917	2,0733
17,288	2,7135
17,674	2,4062
18,047	2,4062
18,415	2,8415
18,811	2,8415
19,189	1,9965
19,544	2,7135
19,916	2,7135
20,302	1,8685
20,674	2,3037
21,046	2,3037
21,416	2,7903
21,813	2,7903
22,188	2,0221
22,543	2,7135
22,927	2,7135
23,302	1,8685
23,674	2,4062
24,046	2,4062
24,416	2,7903
24,812	2,7903
25,188	2,0221
25,543	2,7391
25,927	2,7391
26,302	1,8685
26,673	2,4062
27,046	2,4062
27,416	2,7903
27,812	2,7903
28,188	1,9965
28,542	2,6879
28,915	2,6879
29,302	1,9197
29,650	2,3037
30,021	2,3037
30,395	2,5342
30,755	2,5342
31,099	1,9197
31,458	2,5854
31,818	2,5854
32,311	2,7391
32,686	1,8429
33,058	1,8429
33,414	2,8159
33,774	2,8159
34,138	2,0989
34,482	2,5598
34,835	2,5598
35,189	2,6110
35,685	1,8429
36,057	1,8429
