Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:29:44
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  23,624
Schilddrift / K/min   =  -0,770
Probentemperatur / �C =  28,576
Probendrift / K/min   =   0,165
t / s	T_Probe / C
0,0000	28,576
0,38400	28,834
0,76800	28,653
1,1400	28,653
1,5120	29,376
1,8850	29,376
2,2560	28,524
2,6410	29,195
3,0130	29,195
3,3720	28,395
3,8160	28,782
4,1990	28,782
4,5720	28,834
4,9680	28,601
5,3280	28,601
5,6920	29,324
6,0400	29,324
6,5270	28,369
6,9010	29,014
7,2730	29,014
7,6450	28,472
8,0050	29,169
8,3770	29,169
8,7360	28,834
9,0970	28,834
9,4490	28,472
9,8160	29,092
10,176	29,092
10,536	28,601
10,896	28,601
11,256	28,447
11,617	29,066
12,095	29,066
12,467	28,576
12,853	29,272
13,225	29,272
13,595	28,395
13,968	28,937
14,340	28,937
14,711	29,324
15,072	29,324
15,433	28,498
15,791	29,066
16,143	29,066
16,501	29,092
16,852	29,092
17,200	28,369
17,556	29,092
17,908	29,092
18,265	29,221
18,625	29,221
18,975	28,421
19,416	28,885
19,775	28,885
20,148	28,756
20,520	28,756
20,890	28,524
21,263	29,040
21,635	29,040
21,996	28,421
22,357	29,014
22,717	29,014
23,081	29,118
23,578	28,317
23,950	28,317
24,322	29,324
24,694	29,324
25,067	28,498
25,427	29,169
25,799	29,169
26,170	28,343
26,613	28,550
26,985	28,550
27,340	28,834
27,813	28,447
28,186	28,447
28,571	28,885
28,967	29,918
29,337	28,395
29,712	29,272
30,084	29,272
30,454	28,421
30,851	29,014
31,223	29,014
31,593	28,369
31,966	28,859
32,350	28,859
32,735	29,169
33,079	29,169
33,454	28,498
33,814	29,118
34,174	29,118
34,533	28,550
34,905	28,550
35,277	28,369
35,650	29,092
36,022	29,092
36,394	28,369
36,778	28,859
37,162	28,859
37,547	29,143
37,918	29,143
38,289	28,524
38,663	28,988
39,036	28,988
39,405	28,343
39,778	28,885
40,162	28,885
40,533	29,118
40,895	29,118
41,247	28,498
41,595	28,937
41,943	28,937
42,298	28,963
42,659	28,963
43,016	28,292
43,379	28,885
43,738	28,885
44,100	29,247
44,460	29,247
44,817	28,266
45,179	28,937
45,531	28,937
45,886	29,118
46,246	29,118
46,605	28,343
46,978	28,885
47,338	28,885
47,697	29,324
48,057	29,324
48,417	28,266
48,778	28,859
49,256	28,859
49,642	29,169
50,013	28,885
50,397	28,885
50,769	28,576
51,190	28,472
51,562	28,472
51,934	29,014
52,331	30,021
52,702	28,472
53,066	29,118
53,414	29,118
53,768	28,292
54,212	28,782
54,584	28,782
54,971	28,730
55,411	28,292
55,771	28,292
56,132	28,808
56,503	28,808
56,877	28,421
57,249	29,040
57,621	29,040
57,992	28,343
58,364	28,834
58,736	28,834
59,123	29,247
59,471	29,247
59,840	28,343
60,201	29,066
60,561	29,066
60,922	28,679
61,282	28,679
61,632	28,317
61,996	28,937
62,492	28,937
62,864	29,040
63,236	29,092
63,620	29,092
63,996	28,240
64,352	28,859
64,736	28,859
65,110	29,247
65,482	29,247
65,833	28,421
66,191	29,014
66,550	29,014
66,908	29,092
67,269	29,092
67,628	28,317
67,988	29,066
68,348	29,066
68,716	29,014
69,082	29,014
69,440	28,317
69,802	28,988
70,162	28,988
70,521	28,885
70,881	28,885
71,240	28,369
71,608	29,118
71,973	29,118
72,333	28,911
72,811	28,447
73,171	28,447
73,532	28,937
73,929	29,969
74,300	28,472
74,673	29,272
75,045	29,272
75,415	28,421
75,800	29,118
76,183	29,118
76,556	28,937
76,917	28,937
77,268	28,576
77,625	29,169
77,977	29,169
78,333	28,498
78,693	28,498
79,195	28,524
79,580	29,221
79,964	28,756
80,309	28,756
80,671	29,427
81,032	29,427
81,390	28,524
81,775	29,118
82,147	29,118
82,520	29,427
82,891	29,427
83,265	28,756
83,634	29,324
84,007	29,324
84,368	28,601
84,752	28,859
85,112	28,911
85,473	29,453
85,833	29,453
86,192	28,705
86,684	29,247
87,056	29,247
87,427	28,834
87,800	29,272
88,172	29,272
88,543	29,092
88,915	29,092
89,287	28,834
89,658	29,324
90,030	29,324
90,404	28,730
90,775	29,350
91,147	29,350
91,518	29,582
91,987	28,937
92,359	28,937
92,730	29,582
93,113	29,324
93,487	28,963
93,847	29,427
94,219	29,427
94,590	28,834
94,974	29,350
95,359	29,350
95,731	29,711
96,103	29,711
96,474	29,040
96,848	29,531
97,220	29,531
97,590	28,859
97,974	29,427
98,346	29,427
98,718	29,815
99,090	29,815
99,474	29,118
99,848	29,711
100,20	29,711
100,55	28,963
100,93	28,963
101,30	29,272
101,66	29,737
102,01	29,737
102,38	29,118
102,76	29,556
103,13	29,556
103,51	30,021
103,88	30,021
104,25	29,169
104,62	29,763
105,00	29,763
105,37	29,143
105,94	29,298
106,30	29,298
106,66	29,376
107,02	29,944
107,38	29,944
107,74	29,298
108,13	29,298
108,48	29,324
108,85	30,073
109,42	29,221
109,79	29,221
110,17	29,556
110,69	29,453
111,06	29,453
111,42	29,556
111,79	29,969
112,27	29,969
112,63	30,047
112,99	30,124
113,35	30,124
113,72	30,150
114,19	29,582
114,68	29,582
115,06	30,357
115,43	30,408
116,03	29,427
116,38	29,427
116,74	29,918
117,13	29,918
117,48	29,608
117,83	30,357
118,19	30,357
118,56	29,531
119,03	29,815
119,41	29,815
119,91	29,763
120,28	30,021
120,66	30,021
121,03	29,660
121,40	30,253
121,77	30,253
122,14	30,150
122,51	30,150
122,89	29,866
123,26	30,434
123,63	30,434
124,00	29,789
124,37	30,460
124,75	30,460
125,12	30,744
125,50	30,744
125,86	29,969
126,23	30,589
126,61	30,589
126,98	29,866
127,36	30,331
127,73	30,331
128,10	30,847
128,49	30,847
128,87	29,995
129,25	30,822
129,77	29,918
130,15	29,918
130,50	31,028
130,87	31,028
131,24	30,021
131,86	30,718
132,22	30,150
132,59	30,150
132,97	30,150
133,41	30,279
133,77	30,279
134,13	30,331
134,50	30,331
134,87	30,305
135,23	30,951
135,62	30,951
135,99	30,150
136,36	30,744
136,72	30,744
137,08	31,106
137,45	31,106
137,83	30,305
138,18	30,873
138,55	30,873
138,91	30,899
139,29	30,899
139,68	30,537
140,28	31,183
140,66	30,305
141,02	30,305
141,38	30,434
141,76	30,899
142,12	30,899
142,48	31,286
142,84	31,286
143,21	30,357
143,58	31,157
143,96	31,157
144,33	31,106
144,70	31,106
145,07	30,692
145,43	31,312
145,81	31,312
146,18	30,460
146,56	30,976
146,93	30,976
147,30	31,493
147,68	31,493
148,05	30,641
148,42	31,338
148,79	31,338
149,16	30,641
149,55	30,667
149,92	30,822
150,28	31,416
150,65	31,416
151,03	30,718
151,40	31,261
151,77	31,261
152,13	31,106
152,62	30,770
152,98	30,770
153,34	30,976
153,79	30,899
154,17	30,899
154,55	31,390
155,15	30,951
155,50	30,951
155,86	31,028
156,24	31,571
156,61	31,571
156,96	31,054
157,55	31,183
157,95	32,475
158,56	31,751
158,93	31,751
159,30	32,010
159,70	32,010
160,07	30,951
160,42	31,648
160,78	31,648
161,15	31,002
161,50	31,002
161,87	31,080
162,36	31,726
162,81	30,976
163,19	30,976
163,56	31,390
164,02	31,183
164,39	31,183
164,76	31,157
165,13	31,157
165,51	31,157
165,88	31,803
166,25	31,803
166,62	31,028
167,00	31,571
167,37	31,571
167,74	31,545
168,11	31,545
168,48	31,209
168,85	31,751
169,23	31,751
169,60	31,131
169,97	31,674
170,34	31,674
170,72	32,036
171,09	32,036
171,46	31,286
171,83	31,906
172,20	31,906
172,57	31,106
172,95	31,571
173,32	31,571
173,69	31,958
174,06	31,958
174,43	31,209
174,81	31,958
175,18	31,958
175,55	31,390
176,00	31,312
176,37	31,312
176,73	31,829
177,09	31,829
177,45	31,286
177,81	31,984
178,17	31,984
178,53	31,364
178,89	31,364
179,25	31,312
179,61	32,087
179,97	32,087
180,47	31,390
180,84	31,286
181,21	31,286
181,59	31,338
181,96	31,803
182,33	31,803
182,70	32,216
183,07	32,216
183,44	31,416
183,80	32,036
184,18	32,036
184,54	31,700
184,92	31,700
185,28	31,493
185,64	32,165
186,12	31,467
186,49	31,467
186,87	32,294
187,24	32,294
187,61	31,390
187,98	32,113
188,35	32,113
188,73	32,113
189,12	31,881
189,49	31,622
189,85	32,268
190,22	32,268
190,57	31,519
190,95	31,932
191,31	31,932
191,67	32,216
192,16	31,416
192,53	31,416
192,89	32,526
193,24	32,526
193,61	31,596
193,97	32,139
194,33	32,139
194,70	32,397
195,18	31,441
195,55	31,441
195,93	32,294
196,30	32,294
196,67	31,674
197,04	32,165
197,41	32,165
197,78	31,545
198,16	32,036
198,53	32,036
198,90	32,449
199,27	32,449
199,65	31,622
200,02	32,268
200,39	32,268
200,76	31,571
201,15	31,596
201,52	31,751
201,89	32,371
202,26	32,371
202,62	31,596
202,98	32,294
203,34	32,294
203,70	32,371
204,06	32,371
204,42	31,571
204,78	32,242
205,27	32,242
205,65	32,320
206,02	32,371
206,38	32,371
206,75	31,622
207,12	31,622
207,48	31,726
207,85	32,397
208,22	32,397
208,60	31,674
208,97	32,294
209,34	32,294
209,71	32,604
210,09	32,604
210,44	31,803
210,82	32,397
211,19	32,397
211,56	31,648
212,02	31,829
212,39	31,829
212,74	31,829
213,12	31,829
213,49	31,906
213,85	32,423
214,21	32,423
214,57	31,726
214,96	32,165
215,33	32,165
215,70	32,630
216,07	32,630
216,44	31,777
216,80	32,294
217,17	32,294
217,52	31,777
217,88	31,777
218,24	31,751
218,61	32,346
218,97	32,346
219,32	31,881
219,80	31,751
220,16	31,751
220,53	32,036
220,88	32,036
221,24	31,751
221,60	32,397
221,96	32,397
222,32	31,932
222,82	31,751
223,19	31,751
223,56	31,958
224,01	31,881
224,39	31,881
224,76	31,881
225,13	31,881
225,50	31,881
225,88	32,526
226,25	32,526
226,62	31,726
226,98	32,294
227,34	32,294
227,70	32,552
228,06	32,552
228,42	31,726
228,77	32,423
229,26	32,423
229,63	32,604
229,99	32,578
230,36	32,578
230,74	32,191
231,11	32,191
231,48	31,881
231,85	32,449
232,22	32,449
232,59	31,777
232,95	32,423
233,31	32,423
233,68	32,630
234,04	32,630
234,40	31,855
234,76	32,501
235,24	32,501
235,61	32,681
235,98	32,526
236,35	32,526
236,72	32,423
237,18	31,984
237,55	31,984
237,92	32,552
238,31	32,552
238,65	31,958
239,01	32,656
239,38	32,656
239,74	31,829
240,12	31,829
240,48	31,932
240,84	32,681
241,20	32,681
241,57	31,932
241,96	32,268
242,31	32,268
242,68	32,681
243,18	31,777
243,69	31,777
244,07	32,759
244,44	32,630
244,81	32,630
245,18	31,726
245,56	32,346
245,93	32,346
246,29	32,681
246,66	32,681
247,03	31,906
247,40	32,578
247,78	32,578
248,15	31,932
248,52	31,932
248,89	31,932
249,25	32,604
249,61	32,604
250,10	31,855
250,47	32,216
250,85	32,216
251,22	31,829
251,59	32,371
251,95	32,371
252,32	32,242
252,69	32,242
253,07	32,010
253,42	32,475
253,78	32,475
254,14	31,855
254,51	31,855
254,88	31,932
255,23	32,578
255,60	32,578
255,97	31,984
256,33	32,242
256,82	32,242
257,19	32,552
257,57	32,526
257,94	32,526
258,31	32,733
258,68	32,733
259,05	31,958
259,43	32,526
259,80	32,526
260,17	31,777
260,55	32,242
260,93	32,242
261,30	32,733
261,67	32,733
262,04	31,881
262,41	32,423
262,77	32,423
263,13	31,777
263,52	31,777
263,88	31,906
264,23	32,630
264,60	32,630
264,95	31,932
265,30	31,932
265,65	32,268
266,01	32,475
266,37	32,475
266,71	31,958
267,06	31,958
267,44	31,958
267,81	31,958
268,18	31,958
268,69	31,958
269,05	31,958
269,55	31,958
269,93	31,958
270,42	31,958
270,78	31,958
271,38	31,958
271,74	31,958
272,24	31,958
272,60	31,958
273,20	31,958
273,57	31,958
274,20	31,958
274,57	31,958
275,10	31,958
275,47	31,958
275,84	31,958
276,45	31,958
276,81	31,958
277,19	31,958
277,81	31,958
278,18	31,958
278,55	31,958
278,91	31,958
279,29	31,958
279,78	31,958
280,14	31,958
280,75	31,958
281,11	31,958
281,59	31,958
281,96	31,958
282,45	31,958
282,82	31,958
283,43	31,958
283,80	31,958
284,29	31,958
284,66	31,958
285,03	31,958
285,52	31,958
285,88	31,958
286,63	31,958
287,00	31,958
287,37	31,958
288,01	31,958
288,38	31,958
288,75	31,958
289,12	32,320
289,75	32,836
290,12	31,157
290,51	31,441
290,87	31,984
291,22	32,578
291,58	32,578
291,94	31,674
292,30	31,674
292,66	31,984
293,16	32,552
293,54	31,493
293,91	31,751
294,29	32,630
294,66	32,630
295,03	31,803
295,40	32,423
295,77	32,423
296,14	31,984
296,50	31,984
296,87	31,829
297,22	32,449
297,58	32,449
297,94	31,700
298,30	31,700
298,66	31,984
299,01	32,449
299,37	32,449
299,73	31,829
