Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:55:39
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  55,914
Schilddrift / K/min   =  -0,779
Probentemperatur / �C =  62,087
Probendrift / K/min   =  -0,792
t / s	T_Probe / C
0,0000	62,843
0,35900	62,843
0,73200	62,191
1,0920	62,869
1,4520	62,869
1,8100	62,035
2,1820	62,035
2,5550	62,348
2,9280	62,947
3,2880	62,947
3,6460	62,061
4,0200	62,739
4,3800	62,739
4,7420	62,973
5,1020	62,973
5,4590	62,243
5,8130	62,921
6,1810	62,921
6,5400	62,895
6,8930	62,895
7,2590	62,035
7,6120	62,686
7,9720	62,686
8,4720	62,921
8,8300	62,035
9,2020	62,035
9,5740	63,052
9,9460	63,052
10,320	62,191
10,692	62,895
11,075	62,895
11,433	62,061
11,818	62,582
12,190	62,582
12,563	63,078
12,958	63,078
13,330	62,139
13,703	62,895
14,063	62,895
14,426	61,930
14,820	62,452
15,180	62,452
15,540	62,921
15,911	62,921
16,271	62,217
16,632	62,739
16,993	62,739
17,351	62,921
17,711	62,921
18,069	62,113
18,442	62,686
18,814	62,686
19,173	62,791
19,545	62,791
19,919	62,191
20,278	62,817
20,638	62,817
21,009	61,983
21,381	61,983
21,753	62,113
22,125	62,791
22,497	62,791
22,873	61,957
23,242	62,765
23,598	62,765
23,946	62,765
24,310	62,765
24,681	62,165
25,043	62,660
25,426	62,660
25,787	62,739
26,171	62,739
26,528	62,061
26,902	62,843
27,274	62,843
27,636	61,826
28,019	62,452
28,379	62,452
28,738	62,843
29,349	61,983
29,720	61,983
30,213	62,269
30,574	62,791
30,956	62,791
31,453	61,904
31,824	62,713
32,200	62,478
32,565	62,321
33,058	62,817
33,421	61,852
33,791	61,852
34,281	62,791
34,644	61,800
35,003	61,800
35,361	62,817
35,733	62,817
36,105	62,139
36,476	62,582
36,849	62,582
37,225	61,930
37,616	62,113
37,988	62,113
38,363	62,973
38,724	62,973
39,085	61,957
39,465	62,817
39,825	62,817
40,173	61,957
40,537	61,957
40,915	61,983
41,289	62,608
41,661	62,608
42,035	61,826
42,416	62,295
42,789	62,295
43,149	62,895
43,510	62,895
43,873	61,957
44,233	62,556
44,593	62,556
44,953	62,608
45,313	62,608
45,683	61,774
46,041	62,634
46,520	62,634
46,893	62,686
47,237	62,686
47,612	62,686
47,983	62,504
48,356	62,504
48,715	62,035
49,089	62,660
49,449	62,660
49,810	61,774
50,170	61,774
50,527	62,061
50,900	62,608
51,272	62,608
51,634	61,696
52,015	62,321
52,387	62,321
52,760	62,817
53,120	62,817
53,494	61,904
53,852	62,660
54,212	62,660
54,571	62,269
54,943	62,269
55,315	61,983
55,688	62,686
56,060	62,686
56,421	61,774
56,862	62,269
57,234	62,269
57,594	62,061
57,954	62,061
58,330	61,904
58,699	62,634
59,071	62,634
59,446	61,722
59,803	62,348
60,176	62,348
60,536	62,634
60,896	62,634
61,257	61,800
61,627	62,556
61,998	62,556
62,372	62,869
62,755	62,869
63,119	61,957
63,500	62,504
63,860	62,504
64,222	61,800
64,662	62,269
65,034	62,269
65,396	62,087
65,901	61,904
66,261	61,904
66,618	62,035
67,062	62,269
67,434	62,269
67,806	62,087
68,179	62,087
68,555	61,930
68,924	62,739
69,296	62,739
69,657	61,800
70,015	62,634
70,387	62,634
70,758	62,791
71,119	62,791
71,483	61,930
71,863	62,660
72,223	62,660
72,585	61,904
72,969	61,904
73,330	61,930
73,699	62,660
74,071	62,660
74,443	61,748
74,803	62,400
75,163	62,400
75,523	62,686
75,883	62,686
76,245	61,878
76,602	62,504
76,974	62,504
77,347	62,739
77,708	62,739
78,061	61,904
78,427	62,582
78,787	62,582
79,148	62,869
79,520	62,869
79,875	61,930
80,231	62,765
80,591	62,765
80,959	62,634
81,311	62,634
81,682	61,878
82,052	62,713
82,412	62,713
82,771	62,634
83,131	62,634
83,494	61,930
83,862	62,556
84,222	62,556
84,582	62,087
84,942	62,087
85,306	62,009
85,675	62,817
86,034	62,817
86,402	62,139
86,885	62,139
87,258	62,139
87,630	62,217
88,015	62,478
88,387	62,478
88,747	62,999
89,107	62,999
89,465	62,165
89,838	62,765
90,197	62,765
90,571	62,973
90,955	62,973
91,313	62,295
91,667	62,947
92,035	62,947
92,386	62,113
92,761	62,113
93,118	62,295
93,479	62,895
93,838	62,895
94,206	62,217
94,567	62,217
94,926	62,348
95,286	63,078
95,646	63,078
96,006	62,217
96,366	62,217
96,727	62,478
97,086	63,104
97,446	63,104
97,807	62,478
98,168	62,478
98,525	62,504
98,893	63,130
99,389	62,374
99,761	62,374
100,12	63,260
100,48	63,260
100,84	62,321
101,22	62,973
101,58	62,973
101,93	63,156
102,29	63,156
102,65	62,400
103,01	63,208
103,37	63,208
103,73	63,286
104,09	63,286
104,45	62,426
104,83	63,286
105,19	63,286
105,55	63,417
105,91	63,417
106,26	62,530
106,62	63,208
106,99	63,208
107,35	63,338
107,71	63,338
108,05	62,713
108,41	63,312
108,77	63,312
109,14	63,495
109,51	63,495
109,88	62,556
110,24	63,338
110,60	63,338
110,96	63,443
111,32	63,443
111,68	62,634
112,04	63,417
112,40	63,417
112,76	63,495
113,13	63,495
113,49	62,608
113,85	63,338
114,21	63,338
114,57	63,182
114,93	63,182
115,29	62,686
115,65	63,391
116,00	63,391
116,37	63,286
116,73	63,286
117,09	62,713
117,45	63,443
117,80	63,443
118,17	63,312
118,53	63,312
118,89	62,947
119,25	63,521
119,61	63,521
119,97	63,469
120,38	63,104
120,75	62,895
121,11	63,808
121,48	63,808
121,84	62,843
122,21	63,599
122,57	63,599
122,93	63,912
123,29	63,912
123,65	62,999
124,01	63,834
124,37	63,834
124,73	63,912
125,23	62,999
125,59	62,999
125,94	64,225
126,31	64,225
126,67	63,025
127,02	63,886
127,39	63,886
127,74	63,990
128,22	63,104
128,58	63,104
128,96	64,356
129,35	64,356
129,71	63,286
130,07	64,043
130,43	64,043
130,79	63,234
131,15	63,234
131,51	63,417
131,87	64,095
132,23	64,095
132,59	63,286
132,95	63,286
133,31	63,417
133,67	64,095
134,03	64,095
134,39	63,417
134,88	63,521
135,25	63,521
135,60	63,651
136,06	63,730
136,42	63,730
136,78	63,651
137,16	63,651
137,53	63,521
137,88	64,382
138,24	64,382
138,60	63,495
138,97	63,495
139,32	63,808
